Gene_symbol	Gene_Ensembl_ID	Dataset	Disease	x_labels	mean	median	sd	plot_api	MONDO	RMTL	EFO
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Prostate (N = 245)	2.24	2.08	1.05		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Skin - Not Sun Exposed (Suprapubic) (N = 604)	13.99	13.12	6.07		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Skin - Sun Exposed (Lower leg) (N = 701)	10.98	10.5	4.54		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Small Intestine - Terminal Ileum (N = 187)	2.74	2.13	2		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Spleen (N = 241)	3.1	2.8	1.43		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Stomach (N = 359)	0.76	0.65	0.46		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Testis (N = 361)	32.59	32.61	10.03		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Thyroid (N = 653)	1.07	0.95	0.6		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Uterus (N = 142)	6.07	4.65	4.41		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Low-grade glioma/astrocytoma	Vagina (N = 156)	3.16	2.98	1.37		MONDO_0016685	Relevant Molecular Target (RMTL version 1.0)	EFO_0005543
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Adamantinomatous Craniopharyngioma (N = 20)	1.47	1.5	0.56		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Adipose - Subcutaneous (N = 663)	1.76	1.66	0.82		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Adipose - Visceral (Omentum) (N = 541)	1.2	1.04	0.65		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Adrenal Gland (N = 258)	0.72	0.63	0.36		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Artery - Aorta (N = 432)	1.45	1.3	0.74		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Artery - Coronary (N = 240)	1.37	1.14	0.95		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Artery - Tibial (N = 663)	0.75	0.61	0.59		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Bladder (N = 21)	1.98	1.85	1.25		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Blood (N = 755)	1.04	0.8	1.81		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Brain - Amygdala (N = 152)	2.29	2.22	0.86		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Brain - Anterior cingulate cortex (BA24) (N = 176)	1.86	1.78	0.65		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Brain - Caudate (basal ganglia) (N = 246)	1.35	1.35	0.5		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Brain - Cerebellum (N = 456)	3.2	2.78	1.91		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Brain - Cortex (N = 255)	1.63	1.53	0.57		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Brain - Frontal Cortex (BA9) (N = 209)	1.61	1.56	0.59		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Brain - Hippocampus (N = 197)	2.21	2.09	1		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Brain - Hypothalamus (N = 202)	1.58	1.45	0.83		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Brain - Nucleus accumbens (basal ganglia) (N = 246)	1.36	1.28	0.69		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Brain - Putamen (basal ganglia) (N = 205)	1.32	1.24	0.58		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Brain - Spinal cord (cervical c-1) (N = 159)	3.34	3.2	1.52		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Brain - Substantia nigra (N = 139)	1.74	1.59	0.96		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Breast - Mammary Tissue (N = 459)	2.27	1.88	1.62		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Cells - Cultured fibroblasts (N = 504)	1.3	1.21	0.6		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Cells - EBV-transformed lymphocytes (N = 174)	2.61	2.33	1.56		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Cervix - Ectocervix (N = 9)	4.63	3.68	2.91		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Cervix - Endocervix (N = 10)	5.14	3.64	4.09		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Colon - Sigmoid (N = 373)	1.67	1.55	0.83		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Colon - Transverse (N = 406)	2.02	1.92	0.87		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Esophagus - Gastroesophageal Junction (N = 375)	1.13	0.99	0.61		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Esophagus - Mucosa (N = 555)	1.16	1.04	0.59		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Esophagus - Muscularis (N = 515)	1.19	1.05	0.65		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Fallopian Tube (N = 9)	3.32	2.8	1.75		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Heart - Atrial Appendage (N = 429)	0.63	0.56	0.36		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Heart - Left Ventricle (N = 432)	0.44	0.34	0.42		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Kidney - Cortex (N = 85)	0.66	0.48	0.75		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Liver (N = 226)	0.17	0.12	0.2		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Lung (N = 578)	1.52	1.31	1.01		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Minor Salivary Gland (N = 162)	2.06	1.84	1.2		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Muscle - Skeletal (N = 803)	0.45	0.34	0.4		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Nerve - Tibial (N = 619)	3	2.89	1.11		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Ovary (N = 180)	5.42	4.51	3.52		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Pancreas (N = 328)	0.33	0.26	0.32		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Pituitary (N = 283)	2.24	2.04	1.12		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Prostate (N = 245)	2.24	2.08	1.05		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Skin - Not Sun Exposed (Suprapubic) (N = 604)	13.99	13.12	6.07		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Skin - Sun Exposed (Lower leg) (N = 701)	10.98	10.5	4.54		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Small Intestine - Terminal Ileum (N = 187)	2.74	2.13	2		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Spleen (N = 241)	3.1	2.8	1.43		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Stomach (N = 359)	0.76	0.65	0.46		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Testis (N = 361)	32.59	32.61	10.03		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Thyroid (N = 653)	1.07	0.95	0.6		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Uterus (N = 142)	6.07	4.65	4.41		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Adamantinomatous Craniopharyngioma	Vagina (N = 156)	3.16	2.98	1.37		MONDO_0002787	Relevant Molecular Target (RMTL version 1.0)	EFO_1000069
GPC2	ENSG00000213420	PBTA	Ewing sarcoma	Ewing sarcoma (N = 10)	5.94	4.57	5.56		MONDO_0012817	Relevant Molecular Target (RMTL version 1.0)	EFO_0000174
GPC2	ENSG00000213420	PBTA	Ewing sarcoma	Adipose - Subcutaneous (N = 663)	1.76	1.66	0.82		MONDO_0012817	Relevant Molecular Target (RMTL version 1.0)	EFO_0000174
GPC2	ENSG00000213420	PBTA	Ewing sarcoma	Adipose - Visceral (Omentum) (N = 541)	1.2	1.04	0.65		MONDO_0012817	Relevant Molecular Target (RMTL version 1.0)	EFO_0000174
GPC2	ENSG00000213420	PBTA	Ewing sarcoma	Adrenal Gland (N = 258)	0.72	0.63	0.36		MONDO_0012817	Relevant Molecular Target (RMTL version 1.0)	EFO_0000174
GPC2	ENSG00000213420	PBTA	Ewing sarcoma	Artery - Aorta (N = 432)	1.45	1.3	0.74		MONDO_0012817	Relevant Molecular Target (RMTL version 1.0)	EFO_0000174
GPC2	ENSG00000213420	PBTA	Ewing sarcoma	Artery - Coronary (N = 240)	1.37	1.14	0.95		MONDO_0012817	Relevant Molecular Target (RMTL version 1.0)	EFO_0000174
GPC2	ENSG00000213420	PBTA	Ewing sarcoma	Artery - Tibial (N = 663)	0.75	0.61	0.59		MONDO_0012817	Relevant Molecular Target (RMTL version 1.0)	EFO_0000174
GPC2	ENSG00000213420	PBTA	Ewing sarcoma	Bladder (N = 21)	1.98	1.85	1.25		MONDO_0012817	Relevant Molecular Target (RMTL version 1.0)	EFO_0000174
GPC2	ENSG00000213420	PBTA	Ewing sarcoma	Blood (N = 755)	1.04	0.8	1.81		MONDO_0012817	Relevant Molecular Target (RMTL version 1.0)	EFO_0000174
GPC2	ENSG00000213420	PBTA	Ewing sarcoma	Brain - Amygdala (N = 152)	2.29	2.22	0.86		MONDO_0012817	Relevant Molecular Target (RMTL version 1.0)	EFO_0000174
GPC2	ENSG00000213420	PBTA	Ewing sarcoma	Brain - Anterior cingulate cortex (BA24) (N = 176)	1.86	1.78	0.65		MONDO_0012817	Relevant Molecular Target (RMTL version 1.0)	EFO_0000174
GPC2	ENSG00000213420	PBTA	Ewing sarcoma	Brain - Caudate (basal ganglia) (N = 246)	1.35	1.35	0.5		MONDO_0012817	Relevant Molecular Target (RMTL version 1.0)	EFO_0000174
GPC2	ENSG00000213420	PBTA	Ewing sarcoma	Brain - Cerebellum (N = 456)	3.2	2.78	1.91		MONDO_0012817	Relevant Molecular Target (RMTL version 1.0)	EFO_0000174
GPC2	ENSG00000213420	PBTA	Ewing sarcoma	Brain - Cortex (N = 255)	1.63	1.53	0.57		MONDO_0012817	Relevant Molecular Target (RMTL version 1.0)	EFO_0000174
GPC2	ENSG00000213420	PBTA	Ewing sarcoma	Brain - Frontal Cortex (BA9) (N = 209)	1.61	1.56	0.59		MONDO_0012817	Relevant Molecular Target (RMTL version 1.0)	EFO_0000174
GPC2	ENSG00000213420	PBTA	Ewing sarcoma	Brain - Hippocampus (N = 197)	2.21	2.09	1		MONDO_0012817	Relevant Molecular Target (RMTL version 1.0)	EFO_0000174
GPC2	ENSG00000213420	PBTA	Ewing sarcoma	Brain - Hypothalamus (N = 202)	1.58	1.45	0.83		MONDO_0012817	Relevant Molecular Target (RMTL version 1.0)	EFO_0000174
GPC2	ENSG00000213420	PBTA	Ewing sarcoma	Brain - Nucleus accumbens (basal ganglia) (N = 246)	1.36	1.28	0.69		MONDO_0012817	Relevant Molecular Target (RMTL version 1.0)	EFO_0000174
GPC2	ENSG00000213420	PBTA	Ewing sarcoma	Brain - Putamen (basal ganglia) (N = 205)	1.32	1.24	0.58		MONDO_0012817	Relevant Molecular Target (RMTL version 1.0)	EFO_0000174
GPC2	ENSG00000213420	PBTA	Ewing sarcoma	Brain - Spinal cord (cervical c-1) (N = 159)	3.34	3.2	1.52		MONDO_0012817	Relevant Molecular Target (RMTL version 1.0)	EFO_0000174
GPC2	ENSG00000213420	PBTA	Ewing sarcoma	Brain - Substantia nigra (N = 139)	1.74	1.59	0.96		MONDO_0012817	Relevant Molecular Target (RMTL version 1.0)	EFO_0000174
GPC2	ENSG00000213420	PBTA	Ewing sarcoma	Breast - Mammary Tissue (N = 459)	2.27	1.88	1.62		MONDO_0012817	Relevant Molecular Target (RMTL version 1.0)	EFO_0000174
GPC2	ENSG00000213420	PBTA	Ewing sarcoma	Cells - Cultured fibroblasts (N = 504)	1.3	1.21	0.6		MONDO_0012817	Relevant Molecular Target (RMTL version 1.0)	EFO_0000174
GPC2	ENSG00000213420	PBTA	Ewing sarcoma	Cells - EBV-transformed lymphocytes (N = 174)	2.61	2.33	1.56		MONDO_0012817	Relevant Molecular Target (RMTL version 1.0)	EFO_0000174
GPC2	ENSG00000213420	PBTA	Ewing sarcoma	Cervix - Ectocervix (N = 9)	4.63	3.68	2.91		MONDO_0012817	Relevant Molecular Target (RMTL version 1.0)	EFO_0000174
GPC2	ENSG00000213420	PBTA	Ewing sarcoma	Cervix - Endocervix (N = 10)	5.14	3.64	4.09		MONDO_0012817	Relevant Molecular Target (RMTL version 1.0)	EFO_0000174
GPC2	ENSG00000213420	PBTA	Ewing sarcoma	Colon - Sigmoid (N = 373)	1.67	1.55	0.83		MONDO_0012817	Relevant Molecular Target (RMTL version 1.0)	EFO_0000174
GPC2	ENSG00000213420	PBTA	Ewing sarcoma	Colon - Transverse (N = 406)	2.02	1.92	0.87		MONDO_0012817	Relevant Molecular Target (RMTL version 1.0)	EFO_0000174
