gene	plot_type	cohort	cancer_group	analysis_type	plot_fname	table_fname
MYCN	tumor_normal_gtex	PBTA	Craniopharyngioma	cohort_cancer_group_level	MYCN_PBTA_Craniopharyngioma_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
MYCN	tumor_normal_gtex	GMKF	Neuroblastoma	cohort_cancer_group_level	MYCN_GMKF_Neuroblastoma_vs_GTEx_cohort_cancer_group_level.png	tumor_normal_gtex_plots_cohort_cancer_group_level.tsv
GPC2	tumor_normal_gtex	all_cohorts	Low-grade glioma/astrocytoma	cancer_group_level	GPC2_Low-grade-glioma-astrocytoma_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
GPC2	tumor_normal_gtex	all_cohorts	Adamantinomatous Craniopharyngioma	cancer_group_level	GPC2_Adamantinomatous-Craniopharyngioma_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
GPC2	tumor_normal_gtex	all_cohorts	Ewing sarcoma	cancer_group_level	GPC2_Ewing-sarcoma_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
GPC2	tumor_normal_gtex	all_cohorts	High-grade glioma/astrocytoma	cancer_group_level	GPC2_High-grade-glioma-astrocytoma_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
GPC2	tumor_normal_gtex	all_cohorts	Ependymoma	cancer_group_level	GPC2_Ependymoma_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
GPC2	tumor_normal_gtex	all_cohorts	CNS Embryonal tumor	cancer_group_level	GPC2_CNS-Embryonal-tumor_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
GPC2	tumor_normal_gtex	all_cohorts	Medulloblastoma	cancer_group_level	GPC2_Medulloblastoma_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
GPC2	tumor_normal_gtex	all_cohorts	Choroid plexus papilloma	cancer_group_level	GPC2_Choroid-plexus-papilloma_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
GPC2	tumor_normal_gtex	all_cohorts	Embryonal tumor with multilayer rosettes	cancer_group_level	GPC2_Embryonal-tumor-with-multilayer-rosettes_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
GPC2	tumor_normal_gtex	all_cohorts	Neurofibroma/Plexiform	cancer_group_level	GPC2_Neurofibroma-Plexiform_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
GPC2	tumor_normal_gtex	all_cohorts	Diffuse midline glioma	cancer_group_level	GPC2_Diffuse-midline-glioma_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
GPC2	tumor_normal_gtex	all_cohorts	Meningioma	cancer_group_level	GPC2_Meningioma_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
GPC2	tumor_normal_gtex	all_cohorts	Sarcoma	cancer_group_level	GPC2_Sarcoma_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
GPC2	tumor_normal_gtex	all_cohorts	Atypical Teratoid Rhabdoid Tumor	cancer_group_level	GPC2_Atypical-Teratoid-Rhabdoid-Tumor_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
GPC2	tumor_normal_gtex	all_cohorts	Diffuse intrinsic pontine glioma	cancer_group_level	GPC2_Diffuse-intrinsic-pontine-glioma_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
GPC2	tumor_normal_gtex	all_cohorts	Schwannoma	cancer_group_level	GPC2_Schwannoma_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
GPC2	tumor_normal_gtex	all_cohorts	Dysembryoplastic neuroepithelial tumor	cancer_group_level	GPC2_Dysembryoplastic-neuroepithelial-tumor_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
GPC2	tumor_normal_gtex	all_cohorts	Teratoma	cancer_group_level	GPC2_Teratoma_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
GPC2	tumor_normal_gtex	all_cohorts	Pineoblastoma	cancer_group_level	GPC2_Pineoblastoma_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
GPC2	tumor_normal_gtex	all_cohorts	Glial-neuronal tumor NOS	cancer_group_level	GPC2_Glial-neuronal-tumor-NOS_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
GPC2	tumor_normal_gtex	all_cohorts	Chordoma	cancer_group_level	GPC2_Chordoma_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
GPC2	tumor_normal_gtex	all_cohorts	Craniopharyngioma	cancer_group_level	GPC2_Craniopharyngioma_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
GPC2	tumor_normal_gtex	all_cohorts	Neuroblastoma	cancer_group_level	GPC2_Neuroblastoma_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
MYCN	tumor_normal_gtex	all_cohorts	Low-grade glioma/astrocytoma	cancer_group_level	MYCN_Low-grade-glioma-astrocytoma_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
MYCN	tumor_normal_gtex	all_cohorts	Adamantinomatous Craniopharyngioma	cancer_group_level	MYCN_Adamantinomatous-Craniopharyngioma_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
MYCN	tumor_normal_gtex	all_cohorts	Ewing sarcoma	cancer_group_level	MYCN_Ewing-sarcoma_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
MYCN	tumor_normal_gtex	all_cohorts	High-grade glioma/astrocytoma	cancer_group_level	MYCN_High-grade-glioma-astrocytoma_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
MYCN	tumor_normal_gtex	all_cohorts	Ependymoma	cancer_group_level	MYCN_Ependymoma_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
MYCN	tumor_normal_gtex	all_cohorts	CNS Embryonal tumor	cancer_group_level	MYCN_CNS-Embryonal-tumor_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
MYCN	tumor_normal_gtex	all_cohorts	Medulloblastoma	cancer_group_level	MYCN_Medulloblastoma_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
MYCN	tumor_normal_gtex	all_cohorts	Choroid plexus papilloma	cancer_group_level	MYCN_Choroid-plexus-papilloma_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
MYCN	tumor_normal_gtex	all_cohorts	Embryonal tumor with multilayer rosettes	cancer_group_level	MYCN_Embryonal-tumor-with-multilayer-rosettes_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
MYCN	tumor_normal_gtex	all_cohorts	Neurofibroma/Plexiform	cancer_group_level	MYCN_Neurofibroma-Plexiform_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
MYCN	tumor_normal_gtex	all_cohorts	Diffuse midline glioma	cancer_group_level	MYCN_Diffuse-midline-glioma_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
MYCN	tumor_normal_gtex	all_cohorts	Meningioma	cancer_group_level	MYCN_Meningioma_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
MYCN	tumor_normal_gtex	all_cohorts	Sarcoma	cancer_group_level	MYCN_Sarcoma_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
MYCN	tumor_normal_gtex	all_cohorts	Atypical Teratoid Rhabdoid Tumor	cancer_group_level	MYCN_Atypical-Teratoid-Rhabdoid-Tumor_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
MYCN	tumor_normal_gtex	all_cohorts	Diffuse intrinsic pontine glioma	cancer_group_level	MYCN_Diffuse-intrinsic-pontine-glioma_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
MYCN	tumor_normal_gtex	all_cohorts	Schwannoma	cancer_group_level	MYCN_Schwannoma_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
MYCN	tumor_normal_gtex	all_cohorts	Dysembryoplastic neuroepithelial tumor	cancer_group_level	MYCN_Dysembryoplastic-neuroepithelial-tumor_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
MYCN	tumor_normal_gtex	all_cohorts	Teratoma	cancer_group_level	MYCN_Teratoma_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
MYCN	tumor_normal_gtex	all_cohorts	Pineoblastoma	cancer_group_level	MYCN_Pineoblastoma_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
MYCN	tumor_normal_gtex	all_cohorts	Glial-neuronal tumor NOS	cancer_group_level	MYCN_Glial-neuronal-tumor-NOS_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
MYCN	tumor_normal_gtex	all_cohorts	Chordoma	cancer_group_level	MYCN_Chordoma_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
MYCN	tumor_normal_gtex	all_cohorts	Craniopharyngioma	cancer_group_level	MYCN_Craniopharyngioma_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
MYCN	tumor_normal_gtex	all_cohorts	Neuroblastoma	cancer_group_level	MYCN_Neuroblastoma_vs_GTEx_cancer_group_level.png	tumor_normal_gtex_plots_cancer_group_level.tsv
