gene	ENSG_id	cohort	cancer_group	x_labels	mean	median	sd	efo_code	mondo_code	uberon_code	plot_api
GPC2	NA	PBTA, GMKF	NA	Low-grade glioma/astrocytoma, PBTA (N = 301)	2.83	2.4	2.09	NA	NA	NA	NA
GPC2	NA	PBTA, GMKF	NA	Medulloblastoma, PBTA (N = 122)	27.58	23.85	18.41	NA	NA	NA	NA
GPC2	NA	PBTA, GMKF	NA	Meningioma, PBTA (N = 29)	0.64	0.54	0.47	NA	NA	NA	NA
GPC2	NA	PBTA, GMKF	NA	Neuroblastoma, GMKF (N = 209)	27.83	26.63	15.74	NA	NA	NA	NA
GPC2	NA	PBTA, GMKF	NA	Neurofibroma/Plexiform, PBTA (N = 21)	0.48	0.45	0.36	NA	NA	NA	NA
GPC2	NA	PBTA, GMKF	NA	Pineoblastoma, PBTA (N = 5)	10.77	5.31	13.28	NA	NA	NA	NA
GPC2	NA	PBTA, GMKF	NA	Sarcoma, PBTA (N = 6)	1.49	0.76	1.9	NA	NA	NA	NA
GPC2	NA	PBTA, GMKF	NA	Schwannoma, PBTA (N = 19)	0.59	0.57	0.2	NA	NA	NA	NA
GPC2	NA	PBTA, GMKF	NA	Teratoma, PBTA (N = 8)	1.83	0.58	2.76	NA	NA	NA	NA
MYCN	NA	PBTA, GMKF	NA	Adamantinomatous Craniopharyngioma, PBTA (N = 20)	6.66	6.38	4.07	NA	NA	NA	NA
MYCN	NA	PBTA, GMKF	NA	Atypical Teratoid Rhabdoid Tumor, PBTA (N = 30)	6.22	1.28	9.89	NA	NA	NA	NA
MYCN	NA	PBTA, GMKF	NA	Chordoma, PBTA (N = 6)	0.36	0.16	0.48	NA	NA	NA	NA
MYCN	NA	PBTA, GMKF	NA	Choroid plexus papilloma, PBTA (N = 16)	1.59	1.1	1.39	NA	NA	NA	NA
MYCN	NA	PBTA, GMKF	NA	CNS Embryonal tumor, PBTA (N = 15)	78.12	17.92	200.24	NA	NA	NA	NA
MYCN	NA	PBTA, GMKF	NA	Craniopharyngioma, PBTA (N = 15)	0.94	0.5	1.36	NA	NA	NA	NA
MYCN	NA	PBTA, GMKF	NA	Diffuse intrinsic pontine glioma, PBTA (N = 10)	3.87	3.24	2.48	NA	NA	NA	NA
MYCN	NA	PBTA, GMKF	NA	Diffuse midline glioma, PBTA (N = 68)	8.4	4.44	13.82	NA	NA	NA	NA
MYCN	NA	PBTA, GMKF	NA	Dysembryoplastic neuroepithelial tumor, PBTA (N = 24)	4.06	3.26	3.23	NA	NA	NA	NA
MYCN	NA	PBTA, GMKF	NA	Embryonal tumor with multilayer rosettes, PBTA (N = 7)	37.86	22.03	51.13	NA	NA	NA	NA
MYCN	NA	PBTA, GMKF	NA	Ependymoma, PBTA (N = 93)	5.06	2.35	13.92	NA	NA	NA	NA
MYCN	NA	PBTA, GMKF	NA	Ewing sarcoma, PBTA (N = 10)	3.6	3.4	3.13	NA	NA	NA	NA
MYCN	NA	PBTA, GMKF	NA	Glial-neuronal tumor NOS, PBTA (N = 7)	4.78	3.42	3.45	NA	NA	NA	NA
MYCN	NA	PBTA, GMKF	NA	High-grade glioma/astrocytoma, PBTA (N = 111)	10.75	3.72	19.45	NA	NA	NA	NA
MYCN	NA	PBTA, GMKF	NA	Low-grade glioma/astrocytoma, PBTA (N = 301)	2.3	1.95	2.15	NA	NA	NA	NA
MYCN	NA	PBTA, GMKF	NA	Medulloblastoma, PBTA (N = 122)	25.3	5.74	53.83	NA	NA	NA	NA
MYCN	NA	PBTA, GMKF	NA	Meningioma, PBTA (N = 29)	0.14	0.1	0.16	NA	NA	NA	NA
MYCN	NA	PBTA, GMKF	NA	Neuroblastoma, GMKF (N = 209)	43.3	18.35	83.74	NA	NA	NA	NA
MYCN	NA	PBTA, GMKF	NA	Neurofibroma/Plexiform, PBTA (N = 21)	0.91	0.22	2.51	NA	NA	NA	NA
MYCN	NA	PBTA, GMKF	NA	Pineoblastoma, PBTA (N = 5)	10.77	14.31	6.76	NA	NA	NA	NA
MYCN	NA	PBTA, GMKF	NA	Sarcoma, PBTA (N = 6)	0.82	0.1	1.76	NA	NA	NA	NA
MYCN	NA	PBTA, GMKF	NA	Schwannoma, PBTA (N = 19)	0.89	0.37	0.99	NA	NA	NA	NA
MYCN	NA	PBTA, GMKF	NA	Teratoma, PBTA (N = 8)	2.2	0.71	3.27	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Low-grade glioma/astrocytoma (N = 301)	2.83	2.4	2.09	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Adipose - Subcutaneous (N = 663)	1.76	1.66	0.82	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Adipose - Visceral (Omentum) (N = 541)	1.2	1.04	0.65	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Adrenal Gland (N = 258)	0.72	0.63	0.36	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Artery - Aorta (N = 432)	1.45	1.3	0.74	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Artery - Coronary (N = 240)	1.37	1.14	0.95	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Artery - Tibial (N = 663)	0.75	0.61	0.59	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Bladder (N = 21)	1.98	1.85	1.25	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Brain - Amygdala (N = 152)	2.29	2.22	0.86	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Brain - Anterior cingulate cortex (BA24) (N = 176)	1.86	1.78	0.65	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Brain - Caudate (basal ganglia) (N = 246)	1.35	1.35	0.5	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Brain - Cerebellar Hemisphere (N = 215)	3.12	2.79	1.83	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Brain - Cerebellum (N = 241)	3.27	2.77	1.98	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Brain - Cortex (N = 255)	1.63	1.53	0.57	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Brain - Frontal Cortex (BA9) (N = 209)	1.61	1.56	0.59	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Brain - Hippocampus (N = 197)	2.21	2.09	1	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Brain - Hypothalamus (N = 202)	1.58	1.45	0.83	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Brain - Nucleus accumbens (basal ganglia) (N = 246)	1.36	1.28	0.69	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Brain - Putamen (basal ganglia) (N = 205)	1.32	1.24	0.58	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Brain - Spinal cord (cervical c-1) (N = 159)	3.34	3.2	1.52	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Brain - Substantia nigra (N = 139)	1.74	1.59	0.96	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Breast - Mammary Tissue (N = 459)	2.27	1.88	1.62	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Cells - Cultured fibroblasts (N = 504)	1.3	1.21	0.6	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Cells - EBV-transformed lymphocytes (N = 174)	2.61	2.33	1.56	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Cervix - Ectocervix (N = 9)	4.63	3.68	2.91	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Cervix - Endocervix (N = 10)	5.14	3.64	4.09	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Colon - Sigmoid (N = 373)	1.67	1.55	0.83	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Colon - Transverse (N = 406)	2.02	1.92	0.87	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Esophagus - Gastroesophageal Junction (N = 375)	1.13	0.99	0.61	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Esophagus - Mucosa (N = 555)	1.16	1.04	0.59	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Esophagus - Muscularis (N = 515)	1.19	1.05	0.65	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Fallopian Tube (N = 9)	3.32	2.8	1.75	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Heart - Atrial Appendage (N = 429)	0.63	0.56	0.36	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Heart - Left Ventricle (N = 432)	0.44	0.34	0.42	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Kidney - Cortex (N = 85)	0.66	0.48	0.75	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Liver (N = 226)	0.17	0.12	0.2	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Lung (N = 578)	1.52	1.31	1.01	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Minor Salivary Gland (N = 162)	2.06	1.84	1.2	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Muscle - Skeletal (N = 803)	0.45	0.34	0.4	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Nerve - Tibial (N = 619)	3	2.89	1.11	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Ovary (N = 180)	5.42	4.51	3.52	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Pancreas (N = 328)	0.33	0.26	0.32	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Pituitary (N = 283)	2.24	2.04	1.12	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Prostate (N = 245)	2.24	2.08	1.05	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Skin - Not Sun Exposed (Suprapubic) (N = 604)	13.99	13.12	6.07	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Skin - Sun Exposed (Lower leg) (N = 701)	10.98	10.5	4.54	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Small Intestine - Terminal Ileum (N = 187)	2.74	2.13	2	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Spleen (N = 241)	3.1	2.8	1.43	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Stomach (N = 359)	0.76	0.65	0.46	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Testis (N = 361)	32.59	32.61	10.03	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Thyroid (N = 653)	1.07	0.95	0.6	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Uterus (N = 142)	6.07	4.65	4.41	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Vagina (N = 156)	3.16	2.98	1.37	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Low-grade glioma/astrocytoma (N = 301)	Whole Blood (N = 755)	1.04	0.8	1.81	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Adamantinomatous Craniopharyngioma (N = 20)	1.47	1.5	0.56	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Adipose - Subcutaneous (N = 663)	1.76	1.66	0.82	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Adipose - Visceral (Omentum) (N = 541)	1.2	1.04	0.65	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Adrenal Gland (N = 258)	0.72	0.63	0.36	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Artery - Aorta (N = 432)	1.45	1.3	0.74	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Artery - Coronary (N = 240)	1.37	1.14	0.95	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Artery - Tibial (N = 663)	0.75	0.61	0.59	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Bladder (N = 21)	1.98	1.85	1.25	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Brain - Amygdala (N = 152)	2.29	2.22	0.86	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Brain - Anterior cingulate cortex (BA24) (N = 176)	1.86	1.78	0.65	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Brain - Caudate (basal ganglia) (N = 246)	1.35	1.35	0.5	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Brain - Cerebellar Hemisphere (N = 215)	3.12	2.79	1.83	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Brain - Cerebellum (N = 241)	3.27	2.77	1.98	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Brain - Cortex (N = 255)	1.63	1.53	0.57	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Brain - Frontal Cortex (BA9) (N = 209)	1.61	1.56	0.59	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Brain - Hippocampus (N = 197)	2.21	2.09	1	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Brain - Hypothalamus (N = 202)	1.58	1.45	0.83	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Brain - Nucleus accumbens (basal ganglia) (N = 246)	1.36	1.28	0.69	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Brain - Putamen (basal ganglia) (N = 205)	1.32	1.24	0.58	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Brain - Spinal cord (cervical c-1) (N = 159)	3.34	3.2	1.52	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Brain - Substantia nigra (N = 139)	1.74	1.59	0.96	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Breast - Mammary Tissue (N = 459)	2.27	1.88	1.62	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Cells - Cultured fibroblasts (N = 504)	1.3	1.21	0.6	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Cells - EBV-transformed lymphocytes (N = 174)	2.61	2.33	1.56	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Cervix - Ectocervix (N = 9)	4.63	3.68	2.91	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Cervix - Endocervix (N = 10)	5.14	3.64	4.09	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Colon - Sigmoid (N = 373)	1.67	1.55	0.83	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Colon - Transverse (N = 406)	2.02	1.92	0.87	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Esophagus - Gastroesophageal Junction (N = 375)	1.13	0.99	0.61	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Esophagus - Mucosa (N = 555)	1.16	1.04	0.59	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Esophagus - Muscularis (N = 515)	1.19	1.05	0.65	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Fallopian Tube (N = 9)	3.32	2.8	1.75	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Heart - Atrial Appendage (N = 429)	0.63	0.56	0.36	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Heart - Left Ventricle (N = 432)	0.44	0.34	0.42	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Kidney - Cortex (N = 85)	0.66	0.48	0.75	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Liver (N = 226)	0.17	0.12	0.2	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Lung (N = 578)	1.52	1.31	1.01	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Minor Salivary Gland (N = 162)	2.06	1.84	1.2	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Muscle - Skeletal (N = 803)	0.45	0.34	0.4	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Nerve - Tibial (N = 619)	3	2.89	1.11	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Ovary (N = 180)	5.42	4.51	3.52	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Pancreas (N = 328)	0.33	0.26	0.32	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Pituitary (N = 283)	2.24	2.04	1.12	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Prostate (N = 245)	2.24	2.08	1.05	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Skin - Not Sun Exposed (Suprapubic) (N = 604)	13.99	13.12	6.07	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Skin - Sun Exposed (Lower leg) (N = 701)	10.98	10.5	4.54	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Small Intestine - Terminal Ileum (N = 187)	2.74	2.13	2	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Spleen (N = 241)	3.1	2.8	1.43	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Stomach (N = 359)	0.76	0.65	0.46	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Testis (N = 361)	32.59	32.61	10.03	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Thyroid (N = 653)	1.07	0.95	0.6	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Uterus (N = 142)	6.07	4.65	4.41	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Vagina (N = 156)	3.16	2.98	1.37	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Adamantinomatous Craniopharyngioma (N = 20)	Whole Blood (N = 755)	1.04	0.8	1.81	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Ewing sarcoma (N = 10)	Ewing sarcoma (N = 10)	5.94	4.57	5.56	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Ewing sarcoma (N = 10)	Adipose - Subcutaneous (N = 663)	1.76	1.66	0.82	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Ewing sarcoma (N = 10)	Adipose - Visceral (Omentum) (N = 541)	1.2	1.04	0.65	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Ewing sarcoma (N = 10)	Adrenal Gland (N = 258)	0.72	0.63	0.36	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Ewing sarcoma (N = 10)	Artery - Aorta (N = 432)	1.45	1.3	0.74	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Ewing sarcoma (N = 10)	Artery - Coronary (N = 240)	1.37	1.14	0.95	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Ewing sarcoma (N = 10)	Artery - Tibial (N = 663)	0.75	0.61	0.59	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Ewing sarcoma (N = 10)	Bladder (N = 21)	1.98	1.85	1.25	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Ewing sarcoma (N = 10)	Brain - Amygdala (N = 152)	2.29	2.22	0.86	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Ewing sarcoma (N = 10)	Brain - Anterior cingulate cortex (BA24) (N = 176)	1.86	1.78	0.65	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Ewing sarcoma (N = 10)	Brain - Caudate (basal ganglia) (N = 246)	1.35	1.35	0.5	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Ewing sarcoma (N = 10)	Brain - Cerebellar Hemisphere (N = 215)	3.12	2.79	1.83	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Ewing sarcoma (N = 10)	Brain - Cerebellum (N = 241)	3.27	2.77	1.98	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Ewing sarcoma (N = 10)	Brain - Cortex (N = 255)	1.63	1.53	0.57	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Ewing sarcoma (N = 10)	Brain - Frontal Cortex (BA9) (N = 209)	1.61	1.56	0.59	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Ewing sarcoma (N = 10)	Brain - Hippocampus (N = 197)	2.21	2.09	1	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Ewing sarcoma (N = 10)	Brain - Hypothalamus (N = 202)	1.58	1.45	0.83	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Ewing sarcoma (N = 10)	Brain - Nucleus accumbens (basal ganglia) (N = 246)	1.36	1.28	0.69	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Ewing sarcoma (N = 10)	Brain - Putamen (basal ganglia) (N = 205)	1.32	1.24	0.58	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Ewing sarcoma (N = 10)	Brain - Spinal cord (cervical c-1) (N = 159)	3.34	3.2	1.52	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Ewing sarcoma (N = 10)	Brain - Substantia nigra (N = 139)	1.74	1.59	0.96	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Ewing sarcoma (N = 10)	Breast - Mammary Tissue (N = 459)	2.27	1.88	1.62	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Ewing sarcoma (N = 10)	Cells - Cultured fibroblasts (N = 504)	1.3	1.21	0.6	NA	NA	NA	NA
GPC2	NA	PBTA, GTEx	Ewing sarcoma (N = 10)	Cells - EBV-transformed lymphocytes (N = 174)	2.61	2.33	1.56	NA	NA	NA	NA
