Gene_Symbol	Disease	Dataset	Total_alterations_Over_Patients_in_dataset	Frequency_in_overall_dataset	Total_primary_tumors_mutated_Over_Primary_tumors_in_dataset	Frequency_in_primary_tumors	Total_relapse_tumors_mutated_Over_Relapse_tumors_in_dataset	Frequency_in_relapse_tumors
MET	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
MET	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
KIAA1549	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	1/17	5.88%	0/3	0.00%
ATP6V0E2	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
KIAA1549	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	1/17	5.88%	0/3	0.00%
KIAA1549	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	1/17	5.88%	0/3	0.00%
KIAA1549	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	1/17	5.88%	0/3	0.00%
MLLT3	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	1/17	5.88%	0/3	0.00%
LINC01019	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	1/17	5.88%	0/3	0.00%
MYO3A	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	1/17	5.88%	0/3	0.00%
MLLT3	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	1/17	5.88%	0/3	0.00%
FOCAD	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	1/17	5.88%	0/3	0.00%
MET	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
MET	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
MET	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
LINC01510	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
MET	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
MET	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
MET	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
MET	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
MET	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
MET	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
MET	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
MET	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
MET	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
MET	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
KIAA1549	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	1/17	5.88%	0/3	0.00%
LINC01630	Adamantinomatous Craniopharyngioma	PBTA	2/22	9.09%	2/17	11.76%	0/3	0.00%
MET	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
MET	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
MET	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
FOCAD	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	1/17	5.88%	0/3	0.00%
MET	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
MET	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
LINC01510	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
MET	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
MET	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
MET	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
KIAA1549	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	1/17	5.88%	0/3	0.00%
KIAA1549	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	1/17	5.88%	0/3	0.00%
LINC01510	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
KIAA1549	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	1/17	5.88%	0/3	0.00%
AC090330.1	Adamantinomatous Craniopharyngioma	PBTA	2/22	9.09%	2/17	11.76%	0/3	0.00%
IRX1	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	1/17	5.88%	0/3	0.00%
MET	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
MET	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
MET	Adamantinomatous Craniopharyngioma	PBTA	1/22	4.55%	0/17	0.00%	1/3	33.33%
NRIP1	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
LINC02246	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
AL139099.5	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
RN7SL1	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
GNAS	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
GNAS	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
GNAS	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
COPB1	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
ROBO2	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
AL139099.5	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
RN7SL1	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
AL139099.5	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
RN7SL1	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
ROBO2	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
RRAS2	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
RRAS2	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
NRIP1	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
AL139099.5	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
RN7SL1	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
AL139099.5	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
RN7SL1	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
AL139099.5	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
COPB1	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
RRAS2	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
RRAS2	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
RRAS2	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
AL139099.5	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
RN7SL1	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
NRIP1	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
NRIP1	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
ROBO2	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
AL139099.5	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
RN7SL1	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
GNAS	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
GNAS	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
FRY	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
AC018523.2	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
COPB1	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
GNAS	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
ROBO2	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
GNAS	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
AL139099.5	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
RN7SL1	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
FRY	Adenoma	PBTA	1/4	25.00%	1/3	33.33%	0/0	
GNAQ	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
GNAQ	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
NF2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
NF2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
NF2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
BCR	Atypical Teratoid Rhabdoid Tumor	PBTA	3/28	10.71%	3/24	12.50%	0/6	0.00%
BCR	Atypical Teratoid Rhabdoid Tumor	PBTA	3/28	10.71%	3/24	12.50%	0/6	0.00%
BCR	Atypical Teratoid Rhabdoid Tumor	PBTA	3/28	10.71%	3/24	12.50%	0/6	0.00%
CABIN1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
COL11A1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
PITPNB	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
RMRP	Atypical Teratoid Rhabdoid Tumor	PBTA	2/28	7.14%	2/24	8.33%	0/6	0.00%
RMRP	Atypical Teratoid Rhabdoid Tumor	PBTA	2/28	7.14%	2/24	8.33%	0/6	0.00%
AUTS2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
MYH9	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
RMRP	Atypical Teratoid Rhabdoid Tumor	PBTA	2/28	7.14%	2/24	8.33%	0/6	0.00%
PPARD	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
PPARD	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
AUTS2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
AUTS2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
AUTS2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
CUX1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
CUX1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
CUX1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
PTPN12	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
PTPN12	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
PTPN12	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
CUX1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
CUX1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
NPAS3	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
NF2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
NF2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
AL138752.2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
AL138752.2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
CUX1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
CUX1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
NPAS3	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
SHB	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
SHB	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
ERC1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ERC1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
SMAD4	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
NF2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
NF2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
NF2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
NF2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
NF2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ERMN	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
AC139143.1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
ADAMTS14	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
MYH9	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
PTPN12	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
SFMBT2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
AL138752.2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
ERC1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ERC1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
GNAQ	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
GNAQ	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
PPARD	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ICAM1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ICAM1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
PPARD	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
RMRP	Atypical Teratoid Rhabdoid Tumor	PBTA	2/28	7.14%	2/24	8.33%	0/6	0.00%
ERC1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
NPAS3	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
ZNRF3	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ZNRF3	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ULK4	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ULK4	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
AUTS2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
NF2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
EIF3D	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
RN7SK	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
AUTS2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
CDCP1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
DYRK1A	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
DYRK1A	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
SRGAP1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
TFDP1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
TFDP1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
ZNF428	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
AC103746.1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
BCR	Atypical Teratoid Rhabdoid Tumor	PBTA	3/28	10.71%	3/24	12.50%	0/6	0.00%
BCR	Atypical Teratoid Rhabdoid Tumor	PBTA	3/28	10.71%	3/24	12.50%	0/6	0.00%
BCR	Atypical Teratoid Rhabdoid Tumor	PBTA	3/28	10.71%	3/24	12.50%	0/6	0.00%
ERC1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ERC1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
NR2F2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
NR2F2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
RMRP	Atypical Teratoid Rhabdoid Tumor	PBTA	2/28	7.14%	2/24	8.33%	0/6	0.00%
TBC1D22A	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
BCR	Atypical Teratoid Rhabdoid Tumor	PBTA	3/28	10.71%	3/24	12.50%	0/6	0.00%
NPAS3	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
NF2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
NF2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
SFMBT2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
PITPNB	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
AL138752.2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
AL138752.2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
SHB	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
SHB	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
SHB	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
ERC1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ERC1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ERC1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ERC1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ERC1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ERC1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ERC1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ERC1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ERC1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ERC1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
CABIN1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
CUX1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
CUX1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
PTPN12	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
PTPN12	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
AUTS2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
RMRP	Atypical Teratoid Rhabdoid Tumor	PBTA	2/28	7.14%	2/24	8.33%	0/6	0.00%
BCR	Atypical Teratoid Rhabdoid Tumor	PBTA	3/28	10.71%	3/24	12.50%	0/6	0.00%
NPAS3	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
ERC1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ERC1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
NF2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ZNRF3	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
AP000350.4	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
GALNT12	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
SLC2A11	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
GNAQ	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
COL11A1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
ANKS6	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
DYRK1A	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
DYRK1A	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
RMRP	Atypical Teratoid Rhabdoid Tumor	PBTA	2/28	7.14%	2/24	8.33%	0/6	0.00%
RN7SK	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
CROCC	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	1/24	4.17%	0/6	0.00%
CUX1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
CUX1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
CUX1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
CUX1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
AL138752.2	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
SHB	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
ARHGAP5	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
CUX1	Atypical Teratoid Rhabdoid Tumor	PBTA	1/28	3.57%	0/24	0.00%	1/6	16.67%
