gene1	gene2	mut11	mut10	mut01	mut00	odds_ratio	cooccur_sign	p	cooccur_score
KIR3DL1	HLA-DQA1	23	174	67	523	1.0318236404185968	1	0.8975234929760779	0.04695417479828814
KIR3DL1	MIR4300HG	27	170	59	531	1.4294117647058824	1	0.149076509220815	0.826590785249343
KIR3DL1	DISC1FP1	26	171	59	531	1.368421052631579	1	0.23266350626385476	0.6332717313292684
KIR3DL1	LILRB2	20	177	64	526	0.9286723163841808	-1	0.8941097568780653	-0.04860916590129268
KIR3DL1	LINC00871	28	169	55	535	1.6116191500806885	1	0.06063845764639968	1.2172518536190176
KIR3DL1	PKN2-AS1	26	171	56	534	1.449874686716792	1	0.14073811085533217	0.8515882828568059
KIR3DL1	DUX4L4	17	180	64	526	0.7762152777777778	-1	0.4186866904280034	-0.3781108446152128
KIR3DL1	OFCC1	22	175	57	533	1.1755388471177945	1	0.583936690120183	0.233634236144277
KIR3DL1	LINC00276	27	170	52	538	1.6432126696832579	1	0.05515426342903543	1.258420910927536
KIR3DL1	SGO1-AS1	27	170	52	538	1.6432126696832579	1	0.05515426342903543	1.258420910927536
KIR3DL1	KIR3DL3	31	166	42	548	2.4366035570854847	1	5.903805783848603e-4	3.228867937836472
KIR3DL1	HLA-DRB6	11	186	61	529	0.5128679710911335	-1	0.04608544742964611	-1.3364361917200676
KIR3DL1	FRG1-DT	19	178	51	539	1.1281119189248734	1	0.6659070272188665	0.17658640203751433
KIR3DL1	TAS2R30	21	176	48	542	1.3473011363636365	1	0.30820934081512624	0.5111542033755713
KIR3DL1	SOX2-OT	22	175	46	544	1.4867080745341614	1	0.1455504358946181	0.8369864895975931
KIR3DL1	RNF219-AS1	18	179	50	540	1.0860335195530726	1	0.7705574875293429	0.11319495514746479
KIR3DL1	TAS2R19	12	185	55	535	0.630958230958231	-1	0.18538853858109258	-0.731917119085001
KIR3DL1	TEX41	17	180	50	540	1.02	1	1	-0
KIR3DL1	AC007389.1	21	176	44	546	1.4806301652892562	1	0.17806564081356746	0.7494198730389335
KIR3DL1	AL390334.1	18	179	47	543	1.1617734458576012	1	0.6538387642750502	0.18452933488491557
KIR3DL1	AL357507.1	18	179	46	544	1.1892154481418509	1	0.5488936217215671	0.2605118157974008
KIR3DL1	DAB1	17	180	47	543	1.0911347517730496	1	0.7643627741693232	0.11670047201802032
KIR3DL1	MIR99AHG	18	179	45	545	1.217877094972067	1	0.5441097665178464	0.2643134786396919
KIR3DL1	LINC01470	16	181	47	543	1.0212765957446808	1	1	-0
KIR3DL1	AC016205.1	21	176	40	550	1.640625	1	0.09010360702489414	1.0452578230092617
KIR3DL1	LINC00907	15	182	46	544	0.9746774964166268	-1	1	0
KIR3DL1	MIR3681HG	17	180	43	547	1.2014211886304909	1	0.5370470615071165	0.269987655348288
KIR3DL1	DSCR9	14	183	45	545	0.9265330904675168	-1	0.8770010578938316	-0.05699988276032616
KIR3DL1	OR9G1	15	182	43	547	1.0484283158701764	1	0.875428968053075	0.05777908662688948
KIR3DL1	AL022068.1	13	184	45	545	0.8556763285024155	-1	0.7531808328627472	-0.12310074055109749
KIR3DL1	AC079160.1	23	174	35	555	2.0960591133004924	1	0.01114470434883047	1.952931448168454
KIR2DL1	KIR2DL3	72	122	89	504	3.3420519432676365	1	3.1850940519134617e-10	9.496877738956902
KIR2DL1	FRG2	39	155	119	474	1.0022228246137164	1	1	-0
KIR2DL1	PRSS1	44	150	109	484	1.302507645259939	1	0.20971139144120451	0.6783779781865993
KIR2DL1	LINC01658	36	158	111	482	0.9893944577488881	-1	1	0
KIR2DL1	AC007402.1	37	157	100	493	1.161847133757962	1	0.5129704443580095	0.28990765676342334
KIR2DL1	LILRA1	31	163	105	488	0.8839030090563833	-1	0.6618671009030521	-0.17922920563389758
KIR2DL1	HLA-DQA2	32	162	97	496	1.0100547282677867	1	1	-0
KIR2DL1	KIR3DL2	45	149	84	509	1.8300575263662513	1	0.004994899911910671	2.3014732097684094
KIR2DL1	HLA-C	28	166	98	495	0.8519793459552496	-1	0.5728866890648195	-0.24193126839946424
KIR2DL1	AC109466.1	26	168	80	513	0.9924107142857143	-1	1	0
KIR2DL1	MUC6	29	165	73	520	1.2519717725197177	1	0.38846420056006536	0.4106489980100352
KIR2DL1	HLA-B	19	175	82	511	0.6765853658536586	-1	0.17351499271791324	-0.7606629936492172
KIR2DL1	HLA-A	27	167	72	521	1.1699101796407185	1	0.53352940893288	0.2728416366232931
KIR2DL1	HLA-DQB2	27	167	70	523	1.2079555175363559	1	0.45106908325499667	0.34575693887855236
KIR2DL1	HLA-DRB5	27	167	70	523	1.2079555175363559	1	0.45106908325499667	0.34575693887855236
KIR2DL1	PTCHD1-AS	26	168	70	523	1.1562925170068028	1	0.530609616776389	0.2752248831228724
KIR2DL1	HLA-DQA1	23	171	67	526	1.0559483285327746	1	0.7965747957909705	0.09877343910428424
KIR2DL1	MIR4300HG	29	165	57	536	1.6527379053694844	1	0.046369401350461886	1.3337685110023902
KIR2DL1	DISC1FP1	29	165	56	537	1.6853896103896104	1	0.04470320493319074	1.3496613396218933
KIR2DL1	LILRB2	20	174	64	529	0.9500718390804598	-1	0.8943675341010324	-0.04848397423480088
KIR2DL1	LINC00871	26	168	57	536	1.4553049289891395	1	0.13997288868432728	0.8539560745717646
KIR2DL1	PKN2-AS1	24	170	58	535	1.3022312373225151	1	0.34296033715797963	0.46475610255032174
KIR2DL1	DUX4L4	22	172	59	534	1.1576665352778872	1	0.5871526771202422	0.23124895461402967
KIR2DL1	OFCC1	25	169	54	539	1.4765505150120535	1	0.13166180011691295	0.8805402114078646
KIR2DL1	LINC00276	19	175	60	533	0.9644761904761905	-1	0.9999999999999999	-4.821637332766436e-17
KIR2DL1	SGO1-AS1	23	171	56	537	1.2897869674185463	1	0.3368692247243691	0.4725386629366083
KIR2DL1	KIR3DL3	24	170	49	544	1.5673469387755101	1	0.08900758266007247	1.0505729937241681
KIR2DL1	HLA-DRB6	22	172	50	543	1.3890697674418604	1	0.2506404446164857	0.600948847721328
KIR2DL1	FRG1-DT	20	174	50	543	1.2482758620689656	1	0.46739095856377105	0.33031969306454917
KIR2DL1	TAS2R30	18	176	51	542	1.0868983957219251	1	0.7707836345210464	0.11306751497228809
KIR2DL1	SOX2-OT	18	176	50	543	1.110681818181818	1	0.7684564251021476	0.11438075389517127
KIR2DL1	RNF219-AS1	21	173	47	546	1.4101586520723157	1	0.23848030506305515	0.6225474814273011
KIR2DL1	TAS2R19	15	179	52	541	0.8718306832831972	-1	0.7672672178223132	-0.11505335702279998
KIR2DL1	TEX41	21	173	46	547	1.443453128926866	1	0.18471147279341152	0.7335061288362675
KIR2DL1	AC007389.1	12	182	53	540	0.6717810491395397	-1	0.2924115242437497	-0.5340055153775053
KIR2DL1	AL390334.1	18	176	47	546	1.1881044487427466	1	0.5496420117694694	0.2599200794740826
KIR2DL1	AL357507.1	18	176	46	547	1.2161561264822134	1	0.5449303483341547	0.26365900463573855
KIR2DL1	DAB1	19	175	45	548	1.32215873015873	1	0.36366207781167276	0.43930198422382966
KIR2DL1	MIR99AHG	19	175	44	549	1.3546753246753247	1	0.2887043486783732	0.5395466744053994
KIR2DL1	LINC01470	20	174	43	550	1.4701951349906441	1	0.17294582999586786	0.7620899050668913
KIR2DL1	AC016205.1	19	175	42	551	1.4243537414965985	1	0.21889527032084244	0.6597636221495209
KIR2DL1	LINC00907	16	178	45	548	1.0946317103620475	1	0.7582183179518411	0.1202057275733857
KIR2DL1	MIR3681HG	16	178	44	549	1.1215526046986721	1	0.7553056756266597	0.12187725185244376
KIR2DL1	DSCR9	20	174	39	554	1.6327733569112879	1	0.11478450702346756	0.9401167266443575
KIR2DL1	OR9G1	14	180	44	549	0.9704545454545455	-1	1	0
KIR2DL1	AL022068.1	13	181	45	548	0.8746470227133211	-1	0.7535431298424969	-0.12289188533137235
KIR2DL1	AC079160.1	17	177	41	552	1.2930963207937165	1	0.4285251333001582	0.36802370131728057
KIR2DL3	FRG2	41	120	117	509	1.4863960113960113	1	0.06098096431442498	1.2148057122579081
KIR2DL3	PRSS1	35	126	118	508	1.1958568738229756	1	0.43460761393644404	0.36190266949819583
KIR2DL3	LINC01658	34	127	113	513	1.215385687408543	1	0.3665322212916512	0.4358878411754565
KIR2DL3	AC007402.1	29	132	108	518	1.0537317620650954	1	0.8162695600686753	0.08816639869927607
KIR2DL3	LILRA1	30	131	106	520	1.1234336742042346	1	0.6403027771720151	0.19361461451525794
KIR2DL3	HLA-DQA2	23	138	106	520	0.8176100628930818	-1	0.47467853496381207	-0.323600406700729
KIR2DL3	KIR3DL2	38	123	91	535	1.8163137675332797	1	0.008310007725584507	2.0803985724641247
KIR2DL3	HLA-C	27	134	99	527	1.0725915875169607	1	0.8095849948059142	0.09173754982910613
KIR2DL3	AC109466.1	20	141	86	540	0.8906481939633845	-1	0.7957101020335108	-0.09924512826597823
KIR2DL3	MUC6	28	133	74	552	1.570412517780939	1	0.06595984424194258	1.180720378572466
KIR2DL3	HLA-B	25	136	76	550	1.3303018575851393	1	0.2899184519202993	0.5377241430025448
KIR2DL3	HLA-A	28	133	71	555	1.6456634544106745	1	0.04548708904663869	1.3421118550239186
KIR2DL3	HLA-DQB2	24	137	73	553	1.3270672932706729	1	0.2822441640500872	0.5493750291976685
KIR2DL3	HLA-DRB5	26	135	71	555	1.5054773082942097	1	0.10690824157993455	0.9709888136432263
KIR2DL3	PTCHD1-AS	22	139	74	552	1.1806338712813533	1	0.5024394641814036	0.29891625620735873
KIR2DL3	HLA-DQA1	18	143	72	554	0.9685314685314685	-1	1	0
KIR2DL3	MIR4300HG	23	138	63	563	1.4894179894179893	1	0.15550650072492417	0.8082514512033713
KIR2DL3	DISC1FP1	22	139	63	563	1.414411328080393	1	0.20047422690247824	0.6979414526373223
KIR2DL3	LILRB2	16	145	68	558	0.9054766734279919	-1	0.8861796212007086	-0.052478241329731015
KIR2DL3	LINC00871	17	144	66	560	1.0016835016835017	1	0.9999999999999999	4.821637332766436e-17
KIR2DL3	PKN2-AS1	25	136	57	569	1.8350103199174406	1	0.02085184509779469	1.6808555099786113
KIR2DL3	DUX4L4	19	142	62	564	1.2171740118128123	1	0.46932646554286667	0.32852495502434753
KIR2DL3	OFCC1	14	147	65	561	0.8219780219780219	-1	0.6589671880824506	-0.18113620966927102
KIR2DL3	LINC00276	18	143	61	565	1.165883297030838	1	0.559522232318632	0.2521826523322823
KIR2DL3	SGO1-AS1	19	142	60	566	1.262206572769953	1	0.38177094254000515	0.41819712983122315
KIR2DL3	KIR3DL3	21	140	52	574	1.6557692307692307	1	0.06878325866870168	1.162517252935185
KIR2DL3	HLA-DRB6	15	146	57	569	1.0255948089401585	1	0.8794610387685282	0.055783395572789204
KIR2DL3	FRG1-DT	13	148	57	569	0.876837363679469	-1	0.758014769674734	-0.120322332196779
KIR2DL3	TAS2R30	21	140	48	578	1.80625	1	0.04120326046987624	1.3850684162957725
KIR2DL3	SOX2-OT	15	146	53	573	1.1107521323339364	1	0.7532804162218747	0.12304332320505192
KIR2DL3	RNF219-AS1	18	143	50	576	1.45006993006993	1	0.20883860073627372	0.6801892253183939
KIR2DL3	TAS2R19	20	141	47	579	1.7473970122227251	1	0.05662435349389781	1.246996743489232
KIR2DL3	TEX41	21	140	46	580	1.891304347826087	1	0.02635289219908624	1.5791717145244781
KIR2DL3	AC007389.1	16	145	49	577	1.2993666432090076	1	0.42163057027258394	0.3750679081859834
KIR2DL3	AL390334.1	11	150	54	572	0.7767901234567901	-1	0.5239834312941501	-0.28068244548056354
KIR2DL3	AL357507.1	8	153	56	570	0.5322128851540616	-1	0.10775403436180285	-0.9675664606728566
KIR2DL3	DAB1	15	146	49	577	1.2098126922001677	1	0.5203764221633665	0.28368238919791955
KIR2DL3	MIR99AHG	15	146	48	578	1.2371575342465753	1	0.5149043526547539	0.28827343692407353
KIR2DL3	LINC01470	15	146	48	578	1.2371575342465753	1	0.5149043526547539	0.28827343692407353
KIR2DL3	AC016205.1	14	147	47	579	1.1732522796352585	1	0.6208221835663912	0.20703277301864495
KIR2DL3	LINC00907	17	144	44	582	1.5615530303030303	1	0.13873727809357464	0.8578068302382216
KIR2DL3	MIR3681HG	16	145	44	582	1.4595611285266459	1	0.24273330462931886	0.6148706314784904
KIR2DL3	DSCR9	13	148	46	580	1.1075205640423031	1	0.7384259880070876	0.13169302724559906
KIR2DL3	OR9G1	13	148	45	581	1.134084084084084	1	0.7351338625689392	0.13363357182512492
KIR2DL3	AL022068.1	7	154	51	575	0.5124777183600713	-1	0.1268106672112247	-0.8968442124155104
KIR2DL3	AC079160.1	15	146	43	583	1.3929595412551767	1	0.30996894949190085	0.5086818085519358
FRG2	PRSS1	34	124	119	510	1.1751152073732718	1	0.4998610062073452	0.3011507409219378
FRG2	LINC01658	31	127	116	513	1.079486831387456	1	0.7326969829707948	0.1350755967533832
FRG2	AC007402.1	26	132	111	518	0.9191919191919192	-1	0.814615418625998	-0.08904737406733305
FRG2	LILRA1	29	129	107	522	1.0967181047598349	1	0.72411145652745	0.14019458127610726
FRG2	HLA-DQA2	35	123	94	535	1.6195294931672721	1	0.04030940544244271	1.3945936075768073
FRG2	KIR3DL2	30	128	99	530	1.2547348484848484	1	0.3368120788721823	0.4726123420730053
FRG2	HLA-C	26	132	100	529	1.041969696969697	1	0.9034390392413946	0.044101146715966065
FRG2	AC109466.1	24	134	82	547	1.194757917728431	1	0.5144611071667428	0.288647451963402
FRG2	MUC6	19	139	83	546	0.8991938978937332	-1	0.7913920276500338	-0.10160832905740276
FRG2	HLA-B	29	129	72	557	1.7391257536606375	1	0.023859465241942848	1.6223392943235126
FRG2	HLA-A	23	135	76	553	1.2396686159844055	1	0.42098478470612716	0.3757336002155912
FRG2	HLA-DQB2	32	126	65	564	2.203663003663004	1	0.0016310714686100206	2.7875270090744104
FRG2	HLA-DRB5	23	135	74	555	1.2777777777777777	1	0.34450483275639004	0.4628046813769327
FRG2	PTCHD1-AS	13	145	83	546	0.5897798088907353	-1	0.1024518005364211	-0.989480404698991
FRG2	HLA-DQA1	19	139	71	558	1.0742729759854088	1	0.7806394354248942	0.10754951332273657
FRG2	MIR4300HG	16	142	70	559	0.8997987927565393	-1	0.7772373902559062	-0.10944631513449904
FRG2	DISC1FP1	22	136	63	566	1.453314659197012	1	0.15447987420778223	0.8111280928724233
FRG2	LILRB2	15	143	69	560	0.8513225904530253	-1	0.666971046395944	-0.1758930186522661
FRG2	LINC00871	19	139	64	565	1.2067221223021583	1	0.4723995365266724	0.3256905371465995
FRG2	PKN2-AS1	18	140	64	565	1.1350446428571428	1	0.6626959957075786	0.17868565359383778
FRG2	DUX4L4	16	142	65	564	0.9776814734561213	-1	0.9999999999999999	-4.821637332766436e-17
FRG2	OFCC1	18	140	61	568	1.1971896955503514	1	0.5536464445194945	0.25676748474987565
FRG2	LINC00276	14	144	65	564	0.8435897435897436	-1	0.6585117881408163	-0.1814364462470943
FRG2	SGO1-AS1	17	141	62	567	1.102608098833219	1	0.7671405019243124	0.11512508765174308
FRG2	KIR3DL3	15	143	58	571	1.0326742223293948	1	0.878974142361608	0.05602390080204893
FRG2	HLA-DRB6	16	142	56	573	1.152917505030181	1	0.6438365198033409	0.19122439282709688
FRG2	FRG1-DT	14	144	56	573	0.9947916666666666	-1	0.9999999999999999	-4.821637332766436e-17
FRG2	TAS2R30	12	146	57	572	0.8248017303532804	-1	0.6389601106242809	-0.1945262533854156
FRG2	SOX2-OT	15	143	53	576	1.1399920833883097	1	0.6373286757143916	0.19563654060635388
FRG2	RNF219-AS1	17	141	51	578	1.3664302600472813	1	0.34096330221417487	0.46729236148707226
FRG2	TAS2R19	17	141	50	579	1.3961702127659574	1	0.26529470835116403	0.5762714125009317
FRG2	TEX41	22	136	45	584	2.0993464052287583	1	0.010077897417834752	1.996630066608852
FRG2	AC007389.1	13	145	52	577	0.9948275862068966	-1	1	0
FRG2	AL390334.1	12	146	53	576	0.8932540708193332	-1	0.8717502159130924	-0.059607936386912155
FRG2	AL357507.1	8	150	56	573	0.5457142857142857	-1	0.14214105733930382	-0.8472804583116492
FRG2	DAB1	13	145	51	578	1.0160919540229885	1	1	-0
FRG2	MIR99AHG	15	143	48	581	1.269667832167832	1	0.41645429010899815	0.380432659666175
FRG2	LINC01470	9	149	54	575	0.6431767337807607	-1	0.2558679419632039	-0.5919841240410566
FRG2	AC016205.1	17	141	44	585	1.6029980657640233	1	0.13297934149141347	0.8762158219888807
FRG2	LINC00907	12	146	49	580	0.9728823036063741	-1	1	0
FRG2	MIR3681HG	12	146	48	581	0.9948630136986302	-1	1	0
FRG2	DSCR9	12	146	47	582	1.0177790731565142	1	1	-0
FRG2	OR9G1	16	142	42	587	1.5747820254862508	1	0.17114934841747953	0.766624749925063
FRG2	AL022068.1	12	146	46	583	1.0416914830256105	1	0.8658024701839917	0.06258117945408587
FRG2	AC079160.1	11	147	47	582	0.9266174554928355	-1	1	0
PRSS1	LINC01658	36	117	111	523	1.4497574497574497	1	0.10504660008540133	0.9786179993079474
PRSS1	AC007402.1	27	126	110	524	1.0207792207792208	1	0.9059465906393781	0.042897405054223944
PRSS1	LILRA1	31	122	105	529	1.2801717408274784	1	0.2845645514478324	0.5458192014739828
PRSS1	HLA-DQA2	23	130	106	528	0.881277213352685	-1	0.7151898132031682	-0.14557868003590727
PRSS1	KIR3DL2	27	126	102	532	1.1176470588235294	1	0.6279524388581477	0.20207324849794
PRSS1	HLA-C	27	126	99	535	1.158008658008658	1	0.5401696929051102	0.26746978625984086
PRSS1	AC109466.1	22	131	84	550	1.0996001454016722	1	0.6937193334065042	0.1588162018897432
PRSS1	MUC6	23	130	79	555	1.2429406037000974	1	0.4209818598927637	0.3757366175092393
PRSS1	HLA-B	21	132	80	554	1.1017045454545455	1	0.6879682325339783	0.16243161518559757
PRSS1	HLA-A	14	139	85	549	0.6505289885738468	-1	0.17526470380971332	-0.7563055367533339
PRSS1	HLA-DQB2	24	129	73	561	1.4297546989487098	1	0.170755785122462	0.7676245737125986
PRSS1	HLA-DRB5	21	132	76	558	1.1680622009569377	1	0.5837203163993773	0.23379519079710007
PRSS1	PTCHD1-AS	19	134	77	557	1.0256832719519287	1	0.8912634714772262	0.049993892714825544
PRSS1	HLA-DQA1	27	126	63	571	1.9421768707482994	1	0.010418062604647517	1.982213037115333
PRSS1	MIR4300HG	16	137	70	564	0.9409801876955162	-1	1	0
PRSS1	DISC1FP1	15	138	70	564	0.8757763975155279	-1	0.7719345265639284	-0.1124195338065477
PRSS1	LILRB2	17	136	67	567	1.0578358208955223	1	0.8840076338666997	0.05354398461151024
PRSS1	LINC00871	16	137	67	567	0.9883429567491012	-1	1	0
PRSS1	PKN2-AS1	20	133	62	572	1.3873393160320155	1	0.23905463848266698	0.6215028250789103
PRSS1	DUX4L4	12	141	69	565	0.6968855997533149	-1	0.3020705576913374	-0.5198916026158694
PRSS1	OFCC1	17	136	62	572	1.153225806451613	1	0.6529333473721973	0.18513115003562036
PRSS1	LINC00276	17	136	62	572	1.153225806451613	1	0.6529333473721973	0.18513115003562036
PRSS1	SGO1-AS1	17	136	62	572	1.153225806451613	1	0.6529333473721973	0.18513115003562036
PRSS1	KIR3DL3	16	137	57	577	1.1822256370854143	1	0.5384260463194864	0.26887393931301834
PRSS1	HLA-DRB6	12	141	60	574	0.8141843971631205	-1	0.6398673096735031	-0.19391007703369947
PRSS1	FRG1-DT	17	136	53	581	1.3702830188679245	1	0.27176717494015695	0.5658030001541292
PRSS1	TAS2R30	15	138	54	580	1.1674718196457328	1	0.6329835563940208	0.19860757191012915
PRSS1	SOX2-OT	16	137	52	582	1.3071308253790006	1	0.42196686802789385	0.37472164761070564
PRSS1	RNF219-AS1	6	147	62	572	0.37656352863726134	-1	0.023524747179688187	-1.628475035235725
PRSS1	TAS2R19	20	133	47	587	1.8780995040793473	1	0.03454294152095522	1.461640682636388
PRSS1	TEX41	22	131	45	589	2.19813401187447	1	0.005854686622050452	2.232496346015456
PRSS1	AC007389.1	16	137	49	585	1.394309548636973	1	0.2566653756813494	0.5906327139726723
PRSS1	AL390334.1	14	139	51	583	1.1513612639300324	1	0.6260148364016607	0.2034153739924157
PRSS1	AL357507.1	17	136	47	587	1.5611702127659575	1	0.13912703941907784	0.8565884564257161
PRSS1	DAB1	9	144	55	579	0.6579545454545455	-1	0.3229791610384021	-0.49082549791035246
PRSS1	MIR99AHG	14	139	49	585	1.2024665981500513	1	0.6180735668494397	0.20895982948195202
PRSS1	LINC01470	13	140	50	584	1.0845714285714285	1	0.7430473646203719	0.12898350180114682
PRSS1	AC016205.1	16	137	45	589	1.5286293592862936	1	0.1775024862042015	0.7507955595823869
PRSS1	LINC00907	12	141	49	585	1.0160660008684326	1	1	-0
