gene,disease_factor,mutant_samples
DNHD1,Diffuse midline glioma,1
DNHD1,Other high-grade glioma,5
DNHD1,Medulloblastoma,1
DNHD1,Other embryonal tumor,1
MAGEL2,Other high-grade glioma,6
MAGEL2,Medulloblastoma,1
MAGEL2,Other,1
COL4A3,Diffuse midline glioma,1
COL4A3,Other high-grade glioma,4
COL4A3,Atypical Teratoid Rhabdoid Tumor,1
COL4A3,Other embryonal tumor,1
COL4A3,Other,1
IGSF10,Diffuse midline glioma,1
IGSF10,Other high-grade glioma,4
IGSF10,Medulloblastoma,2
IGSF10,Other,1
PIK3R1,Diffuse midline glioma,1
PIK3R1,Other high-grade glioma,5
PIK3R1,Pilocytic astrocytoma,2
PRKDC,Other high-grade glioma,4
PRKDC,Medulloblastoma,1
PRKDC,Other embryonal tumor,1
PRKDC,Ependymoma,1
ADGRV1,Other high-grade glioma,4
ADGRV1,Other low-grade glioma,1
ADGRV1,Medulloblastoma,1
ADGRV1,Other embryonal tumor,1
KIAA1109,Other high-grade glioma,6
KIAA1109,Other embryonal tumor,1
LRP1,Diffuse midline glioma,1
LRP1,Other high-grade glioma,5
LRP1,Craniopharyngioma,1
MUC5AC,Diffuse midline glioma,1
MUC5AC,Other high-grade glioma,3
MUC5AC,Other embryonal tumor,1
MUC5AC,Ependymoma,1
MUC5AC,Other,1
MYH14,Other high-grade glioma,4
MYH14,Medulloblastoma,1
MYH14,Other embryonal tumor,2
RP1L1,Diffuse midline glioma,1
RP1L1,Other high-grade glioma,3
RP1L1,Medulloblastoma,1
RP1L1,Other embryonal tumor,2
CELSR1,Diffuse midline glioma,1
CELSR1,Other high-grade glioma,3
CELSR1,Medulloblastoma,1
CELSR1,Other embryonal tumor,1
CELSR1,Other,1
CENPF,Other high-grade glioma,4
CENPF,Pilocytic astrocytoma,1
CENPF,Other embryonal tumor,2
IGFN1,Other high-grade glioma,3
IGFN1,Pilocytic astrocytoma,1
IGFN1,Atypical Teratoid Rhabdoid Tumor,1
IGFN1,Other,2
TNC,Diffuse midline glioma,3
TNC,Other high-grade glioma,4
