Kids_First_Biospecimen_ID,gene,expression,cell_type,score,molecular_subtype,subtype_count
BS_DFWFBYSN,CD274,0.2509615735332188,T cell CD8+,0.0023358315711830314,"MB, Group4 (N = 50)",50
BS_EFE4YEK3,CD274,0.056583528366367514,T cell CD8+,0.004090201374429906,"MB, Group4 (N = 50)",50
BS_ERWT0ZWE,CD274,0.09761079662642234,T cell CD8+,0.0042076712750474,"MB, Group4 (N = 50)",50
BS_FCAKKZ20,CD274,0.32192809488736235,T cell CD8+,0,"MB, SHH (N = 31)",31
BS_G00FHF3Q,CD274,0.13750352374993502,T cell CD8+,0,"MB, Group4 (N = 50)",50
BS_GCQFGDTX,CD274,0.2630344058337938,T cell CD8+,8.568933726697048e-4,"MB, Group3 (N = 14)",14
BS_GE2RVZE6,CD274,0.2630344058337938,T cell CD8+,0,"MB, Group4 (N = 50)",50
BS_GNV89A5P,CD274,0.08406426478847455,T cell CD8+,0.0036023289019662913,"MB, Group4 (N = 50)",50
BS_GS1KR5PK,CD274,0.879705766282288,T cell CD8+,0,"MB, SHH (N = 31)",31
BS_H4B5Y6S0,CD274,0.7136958148433591,T cell CD8+,0.0018986083645375846,"MB, Group4 (N = 50)",50
BS_HB03GSHF,CD274,1.298658315564515,T cell CD8+,0,"MB, WNT (N = 10)",10
BS_HD4EJYE3,CD274,0.12432813500220176,T cell CD8+,0.0029122979828959806,"MB, Group4 (N = 50)",50
BS_HF3RNN2T,CD274,0.2630344058337938,T cell CD8+,0.005948677643042787,"MB, Group4 (N = 50)",50
BS_HHPA8NJ2,CD274,0.2750070474998698,T cell CD8+,5.121512119790661e-5,"MB, Group4 (N = 50)",50
BS_HKZENFDA,CD274,0.08406426478847455,T cell CD8+,0.0015418940319547427,"MB, Group4 (N = 50)",50
BS_HTEPAKCM,CD274,0.09761079662642234,T cell CD8+,0.00350608253937693,"MB, Group4 (N = 50)",50
BS_HZE3KYZ1,CD274,0.32192809488736235,T cell CD8+,0.0015411936136862775,"MB, Group4 (N = 50)",50
BS_HZRM07TW,CD274,0.1505596765753814,T cell CD8+,0.001611939203942138,"MB, Group4 (N = 50)",50
BS_J1AB8PMA,CD274,0.6870606883398922,T cell CD8+,0,"MB, SHH (N = 31)",31
BS_J8G4SH4Z,CD274,0.07038932789139801,T cell CD8+,0.0024087437952499064,"MB, Group4 (N = 50)",50
BS_JFB984RG,CD274,0.11103131238874395,T cell CD8+,0.005514178068577098,"MB, Group4 (N = 50)",50
BS_JT82QGXF,CD274,0.32192809488736235,T cell CD8+,3.2543901391799107e-4,"MB, Group4 (N = 50)",50
BS_JTMXAMB7,CD274,1.5260688116675876,T cell CD8+,0,"MB, WNT (N = 10)",10
BS_JZRM1S3T,CD274,0.4956951626240688,T cell CD8+,0,"MB, WNT (N = 10)",10
BS_K3ER45RV,CD274,0.18903382439001712,T cell CD8+,0,"MB, WNT (N = 10)",10
BS_K74PZET7,CD274,0.08406426478847455,T cell CD8+,1.8027021555245472e-4,"MB, Group4 (N = 50)",50
BS_K81DR8XG,CD274,0.07038932789139801,T cell CD8+,0,"MB, SHH (N = 31)",31
BS_KN92S7YQ,CD274,0.08406426478847455,T cell CD8+,0.0019263545269032722,"MB, Group4 (N = 50)",50
BS_KVNGNETA,CD274,0.04264433740849372,T cell CD8+,0.0011787220173757164,"MB, Group3 (N = 14)",14
BS_KYF0Q0E7,CD274,0.08406426478847455,T cell CD8+,0,"MB, Group4 (N = 50)",50
BS_M15PW2N0,CD274,0.28688114778816154,T cell CD8+,0,"MB, SHH (N = 31)",31
BS_M84H3KXA,CD274,0.5260688116675876,T cell CD8+,0,"MB, WNT (N = 10)",10
BS_M86ECPHK,CD274,0.34482849699744117,T cell CD8+,3.615891692743936e-4,"MB, Group3 (N = 14)",14
BS_NKRYMHEP,CD274,0,T cell CD8+,0.0019003770073568933,"MB, Group4 (N = 50)",50
BS_NZ71XCG3,CD274,0.13750352374993502,T cell CD8+,9.278179703446872e-4,"MB, Group4 (N = 50)",50
BS_QEYPFYHD,CD274,0.40053792958372886,T cell CD8+,0.0037500989474107166,"MB, Group4 (N = 50)",50
BS_QPPPGYP4,CD274,0.08406426478847455,T cell CD8+,0,"MB, Group4 (N = 50)",50
BS_QRDT19KS,CD274,0.1505596765753814,T cell CD8+,0,"MB, Group4 (N = 50)",50
BS_R6WNEEE4,CD274,0.09761079662642234,T cell CD8+,0,"MB, SHH (N = 31)",31
BS_RCC8BXVE,CD274,0.7398481026993274,T cell CD8+,0,"MB, SHH (N = 31)",31
BS_RD4D5F9F,CD274,0.20163386116965043,T cell CD8+,0,"MB, SHH (N = 31)",31
BS_RSRPX3S8,CD274,0.1505596765753814,T cell CD8+,0,"MB, SHH (N = 31)",31
BS_S1M423AB,CD274,0.056583528366367514,T cell CD8+,0,"MB, Group4 (N = 50)",50
BS_S69QZAJR,CD274,0.18903382439001712,T cell CD8+,0,"MB, SHH (N = 31)",31
BS_S6Q7NKA3,CD274,0.29865831556451516,T cell CD8+,0,"MB, SHH (N = 31)",31
BS_SKGJ5SY9,CD274,0.21412480535284734,T cell CD8+,2.8819813743882153e-4,"MB, Group4 (N = 50)",50
BS_TA9WP4TH,CD274,0.04264433740849372,T cell CD8+,0,"MB, Group4 (N = 50)",50
BS_TE0GVDNG,CD274,0.11103131238874395,T cell CD8+,0,"MB, Group4 (N = 50)",50
BS_TW8DQH8J,CD274,0.08406426478847455,T cell CD8+,0,"MB, SHH (N = 31)",31
BS_TYAYZ9ZW,CD274,0.07038932789139801,T cell CD8+,0.003546257515418104,"MB, Group4 (N = 50)",50
BS_TZVFR600,CD274,0.18903382439001712,T cell CD8+,0.004036526389776049,"MB, Group3 (N = 14)",14
BS_V96WVE3Z,CD274,0.11103131238874395,T cell CD8+,2.068598555940141e-5,"MB, SHH (N = 31)",31
BS_V9HVBBDW,CD274,0.1763227726404629,T cell CD8+,0.003115388746013149,"MB, Group3 (N = 14)",14
BS_VA5T4KAA,CD274,0.34482849699744117,T cell CD8+,2.1108689639158632e-4,"MB, Group3 (N = 14)",14
BS_VMEX27TN,CD274,0.13750352374993502,T cell CD8+,6.760605070265648e-4,"MB, Group4 (N = 50)",50
BS_VPBMDMQX,CD274,0.5160151470036647,T cell CD8+,0,"MB, SHH (N = 31)",31
BS_VT6C6N6K,CD274,0.23878685958711648,T cell CD8+,0,"MB, SHH (N = 31)",31
BS_VVFBW0YH,CD274,0.1763227726404629,T cell CD8+,0.002407022086053114,"MB, Group4 (N = 50)",50
BS_W311713R,CD274,0.12432813500220176,T cell CD8+,7.171281946912423e-4,"MB, Group4 (N = 50)",50
BS_W644VEVE,CD274,0.08406426478847455,T cell CD8+,0,"MB, SHH (N = 31)",31
BS_W9AT0MR7,CD274,0.20163386116965043,T cell CD8+,0.003166976997077725,"MB, Group4 (N = 50)",50
BS_WH5HDE0A,CD274,0.16349873228287956,T cell CD8+,0,"MB, SHH (N = 31)",31
BS_Y8D1F5WW,CD274,0.056583528366367514,T cell CD8+,5.098007614089647e-4,"MB, Group4 (N = 50)",50
BS_YEB88D32,CD274,0.20163386116965043,T cell CD8+,0,"MB, Group3 (N = 14)",14
BS_YETBN0RQ,CD274,0.9107326619029126,T cell CD8+,0,"MB, WNT (N = 10)",10
BS_Z45HD492,CD274,0.2509615735332188,T cell CD8+,0.0058953895783600795,"MB, Group3 (N = 14)",14
BS_Z7PKVY9J,CD274,0.29865831556451516,T cell CD8+,0.0016013808739086177,"MB, Group4 (N = 50)",50
BS_ZV68CES9,CD274,0.2630344058337938,T cell CD8+,9.775964160474793e-4,"MB, Group3 (N = 14)",14
BS_ZXYDSBM9,CD274,0.21412480535284734,T cell CD8+,0.002294413850094264,"MB, Group4 (N = 50)",50
