harmonized_diagnosis	cancer_group
Rosette-forming glioneuronal tumor,  other MAPK, FGFR	Rosette-forming glioneuronal tumor
Sarcoma	Sarcoma
Schwannoma	Schwannoma
Subependymal Giant Cell Astrocytoma, wildtype	Subependymal Giant Cell Astrocytoma
Subependymal Giant Cell Astrocytoma	Subependymal Giant Cell Astrocytoma
Teratoma	Teratoma
Non-germinomatous germ cell tumor;Teratoma	Teratoma
Benign tumor, osteoblastoma	NA
Benign tumor, cortical tubers	NA
Dysplasia/Gliosis	NA
Benign tumor, epidermoid cyst	NA
Benign tumor, meningioangiomatosis	NA
Benign tumor, hamartoma	NA
Benign tumor, dermoid cyst	NA
Benign tumor, ossifying fibroma	NA
Benign tumor, prolactinoma	NA
Benign tumor, dermoid inclusion cyst	NA
Benign tumor, inclusion cyst	NA
Benign tumor, perineuroma	NA
Benign tumor, rathke cleft cyst	NA
Benign tumor, fibroma	NA
Benign tumor, atypical lymphoid infiltrate	NA
