harmonized_diagnosis	cancer_group	has_subtype_removed	additional_modification
Ependymoma, Supratentorial, RELA fusion positive	Ependymoma	Yes	No
Ependymoma, Posterior Fossa, Type A	Ependymoma	Yes	No
Ependymoma, Supratentorial, YAP1 fusion positive	Ependymoma	Yes	No
Ependymoma, H3 K28-mutant	Ependymoma	Yes	No
Epilepsy, chronic rasmussen encephalitis	Epilepsy	Yes	No
Ewing sarcoma	Ewing sarcoma	No	No
Fibromyxoid lesion	Fibromyxoid lesion	No	No
Ganglioglioma, KIAA1549-BRAF	Ganglioglioma	Yes	No
Ganglioglioma, BRAF V600E	Ganglioglioma	Yes	No
Ganglioglioma, wildtype	Ganglioglioma	Yes	No
Ganglioglioma, IDH	Ganglioglioma	Yes	No
Ganglioglioma, RTK	Ganglioglioma	Yes	No
Ganglioglioma, other MAPK	Ganglioglioma	Yes	No
Ganglioglioma, other MAPK, IDH	Ganglioglioma	Yes	No
Ganglioglioma, H3	Ganglioglioma	Yes	No
Ganglioglioma	Ganglioglioma	No	No
Ganglioglioma, FGFR	Ganglioglioma	Yes	No
Ganglioglioma, MYB/MYBL1	Ganglioglioma	Yes	No
Ganglioglioma, BRAF V600E, CDKN2A/B	Ganglioglioma	Yes	No
Ganglioglioma, NF1-germline	Ganglioglioma	Yes	No
Ganglioglioma, NF1-somatic, BRAF V600E	Ganglioglioma	Yes	No
Ganglioneuroblastoma	Ganglioneuroblastoma	No	No
Ganglioneuroma	Ganglioneuroma	No	No
Germinoma	Germinoma	No	No
Germinoma;Teratoma	Germinoma-Teratoma	No	Yes
Glial-neuronal tumor NOS,  KIAA1549-BRAF	Glial-neuronal tumor NOS	Yes	No
Glial-neuronal tumor NOS	Glial-neuronal tumor NOS	No	No
Glial-neuronal tumor NOS,  other MAPK	Glial-neuronal tumor NOS	Yes	No
Gliomatosis cerebri, IDH	Gliomatosis cerebri	Yes	No
Hemangioblastoma	Hemangioblastoma	No	No
High-grade glioma/astrocytoma, H3 wildtype	High-grade glioma astrocytoma	Yes	Yes
High-grade glioma/astrocytoma, H3 G35-mutant	High-grade glioma astrocytoma	Yes	Yes
High-grade glioma/astrocytoma (WHO grade III/IV)	High-grade glioma astrocytoma	No	Yes
High-grade glioma/astrocytoma, IDH-mutant	High-grade glioma astrocytoma	Yes	Yes
Juvenile xanthogranuloma	Juvenile xanthogranuloma	No	No
Langerhans Cell histiocytosis	Langerhans Cell histiocytosis	No	No
Low-grade glioma/astrocytoma, other MAPK	Low-grade glioma astrocytoma	Yes	Yes
Low-grade glioma/astrocytoma, NF1-germline	Low-grade glioma astrocytoma	Yes	Yes
Low-grade glioma/astrocytoma, wildtype	Low-grade glioma astrocytoma	Yes	Yes
Low-grade glioma/astrocytoma, KIAA1549-BRAF	Low-grade glioma astrocytoma	Yes	Yes
Low-grade glioma/astrocytoma (WHO grade I/II)	Low-grade glioma astrocytoma	No	Yes
Low-grade glioma/astrocytoma, FGFR	Low-grade glioma astrocytoma	Yes	Yes
Low-grade glioma/astrocytoma, BRAF V600E	Low-grade glioma astrocytoma	Yes	Yes
Low-grade glioma/astrocytoma, MYB/MYBL1	Low-grade glioma astrocytoma	Yes	Yes
Low-grade glioma/astrocytoma, BRAF V600E, CDKN2A/B	Low-grade glioma astrocytoma	Yes	Yes
Low-grade glioma/astrocytoma, RTK	Low-grade glioma astrocytoma	Yes	Yes
Low-grade glioma/astrocytoma, NF1-germline, FGFR	Low-grade glioma astrocytoma	Yes	Yes
Low-grade glioma/astrocytoma, IDH	Low-grade glioma astrocytoma	Yes	Yes
Low-grade glioma/astrocytoma, NF1-somatic	Low-grade glioma astrocytoma	Yes	Yes
Malignant peripheral nerve sheath tumor (MPNST)	Malignant peripheral nerve sheath tumor	No	Yes
Medulloblastoma	Medulloblastoma	No	No
Medulloblastoma, group 4	Medulloblastoma	Yes	No
Medulloblastoma, group 3	Medulloblastoma	Yes	No
Medulloblastoma, SHH-activated	Medulloblastoma	Yes	No
Medulloblastoma, WNT-activated	Medulloblastoma	Yes	No
Melanocytic tumor	Melanocytic tumor	No	No
Meningioma	Meningioma	No	No
Atypical meningioma	Meningioma	No	Yes
Clear cell meningioma	Meningioma	No	Yes
Meningothelial meningioma	Meningioma	No	Yes
Anaplastic (malignant) meningioma	Meningioma	No	Yes
Metastatic secondary tumors	Metastatic secondary tumors	No	No
Metastatic secondary tumors;Neuroblastoma	Metastatic secondary tumors-Neuroblastoma	No	Yes
Myofibroblastoma	Myofibroblastoma	No	No
Myxoid spindle cell tumor	Myxoid spindle cell tumor	No	No
Neuroblastoma	Neuroblastoma	No	No
Neurocytoma	Neurocytoma	No	No
Neurofibroma/Plexiform	Neurofibroma Plexiform	No	Yes
Neurofibroma/Plexiform;Other	Neurofibroma Plexiform	No	Yes
Oligodendroglioma	Oligodendroglioma	No	No
Oligodendroglioma, wildtype	Oligodendroglioma	Yes	No
Pilocytic astrocytoma, other MAPK	Pilocytic astrocytoma	Yes	No
Pilocytic astrocytoma, KIAA1549-BRAF	Pilocytic astrocytoma	Yes	No
Pilocytic astrocytoma, wildtype	Pilocytic astrocytoma	Yes	No
Pilocytic astrocytoma, KIAA1549-BRAF, other MAPK	Pilocytic astrocytoma	Yes	No
Pilocytic astrocytoma, NF1-germline	Pilocytic astrocytoma	Yes	No
Pilocytic astrocytoma, BRAF V600E	Pilocytic astrocytoma	Yes	No
Pilocytic astrocytoma, FGFR	Pilocytic astrocytoma	Yes	No
Pilocytic astrocytoma, NF1-somatic, FGFR	Pilocytic astrocytoma	Yes	No
Pilocytic astrocytoma, RTK	Pilocytic astrocytoma	Yes	No
Pilocytic astrocytoma	Pilocytic astrocytoma	No	No
Pilocytic astrocytoma, NF1-germline, CDKN2A/B	Pilocytic astrocytoma	Yes	No
Pilocytic astrocytoma, NF1-somatic	Pilocytic astrocytoma	Yes	No
Pineoblastoma	Pineoblastoma	No	No
Pleomorphic xanthoastrocytoma, NF1-somatic, NF1-germline, CDKN2A/B	Pleomorphic xanthoastrocytoma	Yes	No
Pleomorphic xanthoastrocytoma, BRAF V600E	Pleomorphic xanthoastrocytoma	Yes	No
Pleomorphic xanthoastrocytoma	Pleomorphic xanthoastrocytoma	No	No
Pleomorphic xanthoastrocytoma, RTK, CDKN2A/B	Pleomorphic xanthoastrocytoma	Yes	No
Pleomorphic xanthoastrocytoma, wildtype	Pleomorphic xanthoastrocytoma	Yes	No
Pleomorphic xanthoastrocytoma, BRAF V600E, CDKN2A/B	Pleomorphic xanthoastrocytoma	Yes	No
Reactive connective tissue	Reactive connective tissue	No	No
Rhabdomyosarcoma	Rhabdomyosarcoma	No	No
Rosai-Dorfman disease	Rosai-Dorfman disease	No	No
Rosette-forming glioneuronal tumor,  other MAPK, FGFR	Rosette-forming glioneuronal tumor	Yes	No
Sarcoma	Sarcoma	No	No
Schwannoma	Schwannoma	No	No
Subependymal Giant Cell Astrocytoma, wildtype	Subependymal Giant Cell Astrocytoma	Yes	No
Subependymal Giant Cell Astrocytoma, RTK	Subependymal Giant Cell Astrocytoma	Yes	No
Subependymal Giant Cell Astrocytoma	Subependymal Giant Cell Astrocytoma	No	No
Teratoma	Teratoma	No	No
Non-germinomatous germ cell tumor;Teratoma	Teratoma	No	Yes
Dysplasia/Gliosis	NA	No	Yes
Benign tumor, osteoblastoma	NA	Yes	Yes
Benign tumor, cortical tubers	NA	Yes	Yes
Benign tumor, epidermoid cyst	NA	Yes	Yes
Benign tumor, meningioangiomatosis	NA	Yes	Yes
Benign tumor, hamartoma	NA	Yes	Yes
Benign tumor, dermoid cyst	NA	Yes	Yes
Benign tumor, ossifying fibroma	NA	Yes	Yes
Benign tumor, prolactinoma	NA	Yes	Yes
Benign tumor, dermoid inclusion cyst	NA	Yes	Yes
Benign tumor, inclusion cyst	NA	Yes	Yes
Benign tumor, perineuroma	NA	Yes	Yes
Benign tumor, rathke cleft cyst	NA	Yes	Yes
Benign tumor, fibroma	NA	Yes	Yes
Benign tumor, atypical lymphoid infiltrate	NA	Yes	Yes
