pathology_diagnosis	pathology_free_text_diagnosis	broad_histology	short_histology	harmonized_diagnosis	checked
Non-germinomatous germ cell tumor;Teratoma		Germ cell tumor	Teratoma	Non-germinomatous germ cell tumor- Teratoma	yes
Teratoma		Germ cell tumor	Teratoma	Teratoma	yes
Other	contains "xanthogranuloma" or "jxg"	Histiocytic tumor	Juvenile xanthogranuloma	Juvenile xanthogranuloma	yes
Langerhans Cell histiocytosis		Histiocytic tumor	Langerhans cell histiocytosis	Langerhans cell histiocytosis	yes
Other	rosai-dorfman disease	Histiocytic tumor	Rosai-Dorfman disease	Rosai-Dorfman disease	yes
Primary CNS lymphoma	burkitt's lymphoma	Lymphoma	CNS lymphoma	CNS Burkitt's lymphoma	not in WHO book
Other	malignant melanocytic neoplasm	Melanocytic tumor	Melanocytic tumor	Melanocytic tumor	not in WHO book
Meningioma	contains "atypical"	Meningioma	Meningioma	Atypical meningioma	yes
Meningioma	contains "anaplastic"	Meningioma	Meningioma	Anaplastic (malignant) meningioma	yes
Meningioma	contains "clear cell meningioma"	Meningioma	Meningioma	Clear cell meningioma	yes
Meningioma	contains "meningothelial"	Meningioma	Meningioma	Meningothelial meningioma	yes
Meningioma	does not contain "atypical", "anaplastic", "clear cell", "meningothelial", "fibrous", "transitional", "psammomatous", "angiomatous", "microcystic", "secretory", "lymphoplasmacyte-rich", "metaplastic", "chordoid", "papillary", "rhabdoid"	Meningioma	Meningioma	Meningioma	yes
Cavernoma		Mesenchymal non-meningothelial tumor	Hemangioma	Cavernous hemangioma	not in WHO book
Hemangioblastoma		Mesenchymal non-meningothelial tumor	Hemangioblastoma	Hemangioblastoma	yes
Rhabdomyosarcoma		Mesenchymal non-meningothelial tumor	CNS Rhabdomyosarcoma	CNS Rhabdomyosarcoma	yes
Sarcoma		Mesenchymal non-meningothelial tumor	CNS sarcoma	CNS Sarcoma	yes
Other	fibromyxoid lesion	Mesenchymal non-meningothelial tumor	Fibromyxoid lesion	Fibromyxoid lesion	not in WHO book
Other	myofibroblastic tumor	Mesenchymal non-meningothelial tumor	Myofibroblastoma	Myofibroblastoma	yes
if contains "Metastatic secondary tumors"		Metastatic secondary tumors	Other-metastatic	Metastatic secondary tumors	yes
Neurocytoma		Neuronal and mixed neuronal-glial tumor	Central neurocytoma	Central neurocytoma	yes
Dysembryoplastic neuroepithelial tumor (DNET)		Neuronal and mixed neuronal-glial tumor	DNET	Dysembryoplastic neuroepithelial tumor	yes
Dysembryoplastic neuroepithelial tumor (DNET);Dysplasia/Gliosis;Ganglioglioma		Neuronal and mixed neuronal-glial tumor	DNET	Dysembryoplastic neuroepithelial tumor	yes
Dysembryoplastic neuroepithelial tumor (DNET);Ganglioglioma		Neuronal and mixed neuronal-glial tumor	DNET	Dysembryoplastic neuroepithelial tumor	yes
Dysplasia/Gliosis;Glial-neuronal tumor NOS		Neuronal and mixed neuronal-glial tumor	LGMT	Low-grade mixed tumor	
Ganglioglioma		Neuronal and mixed neuronal-glial tumor	Ganglioglioma	Ganglioglioma	yes
Ganglioglioma;Low-grade glioma/astrocytoma (WHO grade I/II)		Neuronal and mixed neuronal-glial tumor	LGMT	Low-grade mixed tumor	
Glial-neuronal tumor NOS		Neuronal and mixed neuronal-glial tumor	Glial-neuronal tumor NOS	Glial-neuronal tumor NOS	
Other	glioneuronal tumor	Neuronal and mixed neuronal-glial tumor	Glial-neuronal tumor NOS	Glial-neuronal tumor NOS	
Other	neuroepithelial neoplasm	Neuronal and mixed neuronal-glial tumor	Glial-neuronal tumor NOS	Glial-neuronal tumor NOS	
Other	myxoid spindle cell tumor	Non-CNS tumor	Other-non CNS tumor	Myxoid spindle cell tumor	not in WHO book
Other	epilepsy, chronic rasmussen encephalitis	Non-tumor	Other-non-tumor	Epilepsy, chronic rasmussen encephalitis	not in WHO book
Other	reactive connective tissue	Non-tumor	Other-non-tumor	Reactive connective tissue	not in WHO book
Other	arteriovenous malformation	Non-tumor	Other-non-tumor	Arteriovenous malformation	not in WHO book
Other	ganglioneuroma	Other tumor	Other-tumor	Ganglioneuroma	not in WHO book
Dysplasia/Gliosis		Pre-cancerous lesion	Dysplasia	Dysplasia	not in WHO book
Malignant peripheral nerve sheath tumor (MPNST)		Tumor of cranial and paraspinal nerves	MPNST	Malignant peripheral nerve sheath tumor	yes
if contains "Neurofibroma/Plexiform"		Tumor of cranial and paraspinal nerves	Neurofibroma	Neurofibroma	yes
Schwannoma		Tumor of cranial and paraspinal nerves	Schwannoma	Schwannoma	yes
Pineoblastoma		Tumor of pineal region	Pineoblastoma	Pineoblastoma	yes
