sample_id	aliquot_id	parental_aliquot_id	extraction_type
7316-1187	577723	RNA [575893]	Same extraction
7316-119	573170	RNA [571295]	Same extraction
7316-120	571417	RNA [567510]	Same extraction
7316-121	571416	RNA [567509]	Same extraction
7316-1214	470430	RNA [455923]	Same extraction
7316-122	549561	RNA [447252]	Same extraction
7316-1226	731856	RNA [728438]	Same extraction
7316-123	717120	RNA [567511]	Same extraction
7316-124	573169	RNA [571294]	Different tissue aliquot
7316-125	739982	RNA [667629]	Same extraction
7316-1252	470433	RNA [455924]	Same extraction
7316-126	746063	RNA [475807]	Same tissue aliquot
7316-127	588296	RNA [580771]	Same extraction
7316-1279	470420	RNA [456743]	Same tissue aliquot
7316-128	571418	RNA [567512]	Same extraction
7316-13	717149	RNA [581548]	Same extraction
7316-1312	739930	RNA [603411]	Same extraction
7316-133	717143	RNA [580772]	Same extraction
7316-134	570120	RNA [563017]	Same extraction
7316-135	116318	This is a tissue aliquot	NA
7316-135	116311	This is a tissue aliquot	NA
7316-135	116304	This is a tissue aliquot	NA
7316-136	717145	RNA [685559]	Same extraction
7316-14	654201	RNA [645176]	Same extraction
7316-1455	994695	7316-1455-RNA [407008]	Different tissue aliquot
7316-1455	400856	Not found	Different tissue aliquot
7316-1456	717123	RNA [568035]	Same tissue aliquot
7316-1459	746101	RNA [744180]	Same extraction
7316-146	717187	RNA [677110]	Same extraction
7316-1460	1030647	Not found	Different tissue aliquot
7316-1461	731879	RNA [729721]	Same extraction
7316-1462	588355	RNA [583306]	Same extraction
7316-1463	571407	RNA [567601]	Different tissue aliquot
7316-1464	470021	RNA [416632]	Same extraction
7316-147	564462	RNA [559559]	Same extraction
7316-1473	470024	RNA [415511]	Same extraction
7316-1476	588298	RNA [581277]	Same extraction
7316-148	564460	RNA [555705]	Same extraction
7316-1480	470425	RNA [456745]	Same extraction
7316-152	717113	RNA [565698]	Same extraction
7316-153	549583	RNA [440137]	Same tissue aliquot
7316-154	588334	RNA [582979]	Same extraction
7316-155	406957	Not found	Different tissue aliquot
7316-156	588333	RNA [582978]	Same extraction
7316-158	1030653	Not found	Different tissue aliquot
7316-16	588306	RNA [581549]	Same extraction
7316-160	549587	RNA [466883]	Same extraction
7316-161	994696	RNA [466884]	Same extraction
7316-161	406959	Not found	Different tissue aliquot
7316-162	564459	RNA [555704]	Same extraction
7316-1635	731920	RNA [731328]	Same extraction
7316-1636	731857	RNA [728439]	Same extraction
7316-1637	654208	RNA [612280]	Same extraction
7316-164	734523	RNA [571288]	Different tissue aliquot
7316-1641	711695	RNA [587842]	Same extraction
7316-1643	601593	RNA [591129]	Same extraction
7316-1646	711669	RNA [665661]	Same extraction
7316-1648	711722	RNA [665950]	Same extraction
7316-1649	717181	RNA [665951]	Same extraction
7316-1650	608926	RNA [600528]	Same extraction
7316-1651	608927	RNA [600529]	Same extraction
7316-1652	654184	RNA [649216]	Same extraction
7316-1653	717103	RNA [649217]	Same extraction
7316-1654	573145	RNA [570514]	Same extraction
7316-1655	588454	RNA [585525]	Same extraction
7316-1656	711676	RNA [591124]	Same extraction
7316-1658	601589	RNA [591125]	Same extraction
7316-1659	731889	RNA [730398]	Same extraction
7316-166	573166	RNA [571289]	Same tissue aliquot
7316-1660	711653	RNA [655144]	Same extraction
7316-1661	711709	RNA [606896]	Same extraction
7316-1664	731890	RNA [730399]	Same extraction
7316-1666	731858	RNA [728440]	Same extraction
7316-1668	717160	RNA [645178]	Same extraction
7316-1669	654209	RNA [612281]	Same extraction
7316-167	734512	RNA [548880]	Same extraction
7316-1670	654193	RNA [612333]	Same extraction
7316-1671	654203	RNA [645179]	Same extraction
7316-1674	717182	RNA [665952]	Same extraction
7316-1675	717184	RNA [667950]	Same extraction
7316-1676	711755	RNA [677367]	Same extraction
7316-1678	711654	RNA [655145]	Same extraction
7316-1679	654185	RNA [649218]	Same extraction
7316-168	564463	RNA [559560]	Same extraction
7316-1680	588455	RNA [585526]	Same extraction
7316-1681	731875	RNA [728673]	Same extraction
7316-1683	588456	RNA [586303]	Same extraction
7316-1693	731859	RNA [728441]	Same extraction
7316-1694	470027	RNA [415512]	Same tissue aliquot
7316-1695	549605	RNA [489732]	Same extraction
7316-170	717109	RNA [559562]	Same extraction
7316-1700	564490	RNA [561568]	Same extraction
7316-1702	654191	RNA [644962]	Same extraction
7316-1703	654192	RNA [644963]	Same extraction
7316-1704	564456	RNA [555700]	Same extraction
7316-1705	588310	RNA [581555]	Same extraction
7316-1706	731909	RNA [731099]	Same extraction
7316-1708	746064	RNA [499991]	Same tissue aliquot
7316-171	564465	RNA [559563]	Same extraction
7316-1710	728274	RNA [727815]	Same extraction
7316-1711	739945	RNA [555699]	Same extraction
7316-1714	711680	RNA [652371]	Same extraction
7316-1715	711662	RNA [650580]	Same extraction
7316-172	564464	RNA [559561]	Same extraction
7316-1723	470023	RNA [416633]	Same extraction
7316-173	549618	RNA [533749]	Same tissue aliquot
7316-1744	717174	RNA [585516]	Same extraction
7316-1745	549619	RNA [533750]	Different tissue aliquot
7316-1746	574552	RNA [573677]	Different tissue aliquot
7316-1747	588447	RNA [585517]	Same extraction
7316-1748	573141	RNA [570508]	Same extraction
7316-175	564466	RNA [559564]	Same extraction
7316-1750	717128	RNA [570510]	Same extraction
7316-1751	588446	RNA [585479]	Same extraction
7316-1757	717183	RNA [667633]	Same extraction
7316-176	573167	RNA [571290]	Same extraction
7316-1760	588344	RNA [583407]	Same extraction
7316-1763	549574	RNA [467903]	Different tissue aliquot
7316-1765	728295	RNA [727785]	Different tissue aliquot
7316-1766	717142	RNA [644960]	Same extraction
7316-1767	654190	RNA [644961]	Same extraction
7316-1769	470030	RNA [415513]	Different tissue aliquot
7316-1771	549560	RNA [440132]	Same tissue aliquot
7316-1772	717124	RNA [569335]	Same extraction
7316-1773	717165	RNA [583408]	Same extraction
7316-1774	574549	RNA [573674]	Same extraction
7316-1775	571427	RNA [569336]	Same extraction
7316-1776	731860	RNA [728442]	Same extraction
7316-1778	549584	RNA [442025]	Different tissue aliquot
7316-1779	731884	RNA [729726]	Same extraction
7316-178	608917	RNA [466885]	Same extraction
7316-1781	549570	RNA [440136]	Different tissue aliquot
7316-1782	549614	RNA [502644]	Same extraction
7316-1783	728286	RNA [727864]	Same extraction
7316-1784	588345	RNA [583409]	Same extraction
7316-1785	588459	RNA [586306]	Same extraction
7316-1786	588460	RNA [586307]	Same extraction
7316-1789	608930	RNA [582686]	Same extraction
7316-1790	573148	RNA [570518]	Same extraction
7316-1792	573140	RNA [570435]	Same extraction
7316-1793	588448	RNA [585518]	Same extraction
7316-1794	731892	RNA [730401]	Same extraction
7316-1797	588326	RNA [582682]	Same extraction
7316-1799	470428	RNA [456746]	Same extraction
7316-1801	564481	RNA [560767]	Same extraction
7316-1802	731929	RNA [731557]	Same extraction
7316-1803	717139	RNA [580680]	Same extraction
7316-1805	731898	RNA [731063]	Same extraction
7316-1806	588281	RNA [569342]	Same extraction
7316-1808	571440	RNA [569516]	Same extraction
7316-182	739962	RNA [685561]	Same extraction
7316-183	717156	RNA [582036]	Same extraction
7316-184	717146	RNA [685562]	Same extraction
7316-1844	470026	RNA [416634]	Same extraction
7316-1845	571408	RNA [567602]	Same extraction
7316-185	570121	RNA [565700]	Same extraction
7316-1851	711733	RNA [667632]	Same extraction
7316-1854	728253	RNA [725580]	Same extraction
7316-1855	711731	RNA [667630]	Same extraction
7316-1856	746080	RNA [743298]	Same extraction
7316-186	570122	RNA [565701]	Same extraction
7316-1866	731899	RNA [731064]	Same extraction
7316-187	717110	RNA [559566]	Same extraction
7316-188	570099	RNA [559565]	Same extraction
7316-1884	1030648	Not found	Different tissue aliquot
7316-1886	711732	RNA [667631]	Same extraction
7316-1889	549576	RNA [415514]	Different tissue aliquot
7316-189	470426	RNA [455485]	Same extraction
7316-1890	731921	RNA [731329]	Same extraction
7316-1893	746067	RNA [551471]	Same extraction
7316-19	717106	RNA [554629]	Same extraction
7316-1926	571409	RNA [567603]	Same extraction
7316-1927	573139	RNA [570434]	Same extraction
7316-1928	654214	RNA [645185]	Same extraction
7316-193	601586	RNA [591120]	Same extraction
7316-1936	731922	RNA [731330]	Same extraction
7316-1937	731930	RNA [731558]	Same extraction
7316-1938	731900	RNA [731065]	Same extraction
7316-1940	588346	RNA [583410]	Same extraction
7316-1941	588347	RNA [583411]	Same extraction
7316-1942	654211	RNA [645182]	Same extraction
7316-1943	588304	RNA [581284]	Same extraction
7316-1944	588348	RNA [583412]	Same extraction
7316-1945	571428	RNA [569337]	Same extraction
7316-1946	654216	RNA [645100]	Same extraction
7316-1948	571429	RNA [569338]	Same extraction
7316-1949	728287	RNA [727865]	Same extraction
7316-195	564443	RNA [548798]	Different tissue aliquot
7316-1950	588370	RNA [584369]	Same extraction
7316-1952	571447	RNA [569684]	Same extraction
7316-1953	731901	RNA [731066]	Same extraction
7316-1954	588371	RNA [584370]	Same extraction
7316-1955	588307	RNA [581550]	Same extraction
7316-1956	564446	RNA [548801]	Same extraction
7316-1957	571448	RNA [569985]	Same extraction
7316-1958	588372	RNA [584371]	Same extraction
7316-1959	731878	RNA [729720]	Same extraction
7316-196	588335	RNA [582980]	Same extraction
7316-1960	728288	RNA [727866]	Same extraction
7316-1962	588449	RNA [585519]	Same extraction
7316-1963	601587	RNA [591122]	Same extraction
7316-1965	728289	RNA [727867]	Same extraction
7316-1968	717171	RNA [666256]	Same extraction
7316-1969	564448	RNA [548804]	Same extraction
7316-197	570123	RNA [565703]	Same extraction
7316-1970	728296	RNA [727787]	Same extraction
7316-1972	601588	RNA [591123]	Same extraction
7316-1975	601601	RNA [587844]	Same extraction
7316-1977	601602	RNA [587845]	Same extraction
7316-1978	731883	RNA [729725]	Same extraction
7316-198	549592	RNA [470150]	Same extraction
7316-1981	731872	RNA [728670]	Same extraction
7316-1983	573153	RNA [570806]	Same extraction
7316-1985	573160	RNA [571519]	Same extraction
7316-1986	717155	RNA [587846]	Same extraction
7316-1987	573161	RNA [571520]	Same extraction
7316-20	564452	RNA [554631]	Same extraction
7316-2005	573147	RNA [570517]	Same extraction
7316-2006	601590	RNA [591126]	Same extraction
7316-2009	470439	RNA [450683]	Same extraction
7316-202	564467	RNA [559567]	Same extraction
7316-204	398058	Not found	Different tissue aliquot
7316-205	570124	RNA [565704]	Same extraction
7316-206	570125	RNA [565705]	Same extraction
7316-2069	573154	RNA [571208]	Same extraction
7316-207	570126	RNA [565706]	Same extraction
7316-2071	717176	RNA [586309]	Same extraction
7316-2075	588360	RNA [584282]	Same extraction
7316-2079	731910	RNA [731100]	Same extraction
7316-2084	731882	RNA [729724]	Same extraction
7316-2085	577730	RNA [576850]	Same extraction
7316-209	717114	RNA [565702]	Same extraction
7316-2091	577718	RNA [574708]	Same extraction
7316-2092	739928	RNA [606566]	Same extraction
7316-2099	588369	RNA [584368]	Same extraction
7316-2100	574551	RNA [573676]	Same extraction
7316-2106	717162	RNA [582684]	Same extraction
7316-2107	570102	RNA [560769]	Same extraction
7316-2109	731893	RNA [730404]	Same extraction
7316-2110	731931	RNA [731559]	Same extraction
7316-2118	711663	RNA [650582]	Same extraction
7316-2125	717167	RNA [584287]	Same extraction
7316-2130	746069	RNA [541386]	Same tissue aliquot
7316-2133	717125	RNA [569517]	Same extraction
7316-2134	571441	RNA [569518]	Same extraction
7316-2135	571442	RNA [569519]	Same extraction
7316-2138	728297	RNA [727788]	Same extraction
7316-2139	571430	RNA [569339]	Same extraction
7316-214	717119	RNA [567503]	Same extraction
7316-2140	470436	RNA [455490]	Same extraction
7316-2141	571446	RNA [569683]	Same extraction
7316-2142	588361	RNA [584283]	Same extraction
7316-2144	734532	RNA [677115]	Same extraction
7316-2146	564445	RNA [548800]	Same extraction
7316-2147	588305	RNA [581285]	Same extraction
7316-2148	571431	RNA [569340]	Same extraction
7316-2149	717161	RNA [582681]	Same extraction
7316-215	571412	RNA [567502]	Same extraction
7316-2150	571432	RNA [569341]	Same extraction
7316-2151	711713	RNA [606900]	Same extraction
7316-2152	574550	RNA [573675]	Same extraction
7316-2153	571439	RNA [569515]	Same extraction
7316-2154	549612	RNA [535907]	Same tissue aliquot
7316-2155	564491	RNA [561569]	Same extraction
7316-2156	588365	RNA [584288]	Same extraction
7316-2157	588366	RNA [584289]	Same extraction
7316-2158	588367	RNA [584290]	Same extraction
7316-2159	571443	RNA [569520]	Same extraction
7316-216	717116	RNA [565708]	Same extraction
7316-2166	588368	RNA [584292]	Same extraction
7316-2167	571444	RNA [569681]	Same extraction
7316-2169	570101	RNA [560768]	Same extraction
7316-217	734530	RNA [541516]	Different tissue aliquot
7316-2170	728298	RNA [727789]	Same extraction
7316-2171	571445	RNA [569682]	Same extraction
7316-2172	571451	RNA [569988]	Same extraction
7316-2174	588373	RNA [584372]	Same extraction
7316-2176	588280	RNA [548802]	Same extraction
7316-2177	571452	RNA [569989]	Same extraction
7316-2178	564482	RNA [560770]	Same extraction
7316-2180	588374	RNA [584373]	Same extraction
7316-2181	588435	RNA [584374]	Same extraction
7316-2182	734542	RNA [734369]	Same tissue aliquot
7316-2183	571455	RNA [569993]	Same extraction
7316-2184	571456	RNA [569994]	Same extraction
7316-2186	654180	RNA [648541]	Same extraction
7316-2187	608922	RNA [548881]	Same extraction
7316-2189	734533	RNA [606559]	Same tissue aliquot
7316-219	1030641	DNA and RNA listed as virtual	NA
7316-2191	588450	RNA [585520]	Same extraction
7316-2193	588451	RNA [585521]	Same extraction
7316-2195	573144	RNA [570513]	Same extraction
7316-2197	731873	RNA [728671]	Same extraction
7316-22	564485	RNA [560773]	Same extraction
7316-220	571413	RNA [567504]	Same extraction
7316-2203	731874	RNA [728672]	Same extraction
7316-2204	731912	RNA [731102]	Same extraction
7316-2208	731894	RNA [730405]	Same extraction
7316-2215	731923	RNA [731332]	Same extraction
7316-2216	731932	RNA [731560]	Same extraction
7316-2217	731933	RNA [731561]	Same extraction
7316-222	571414	RNA [567505]	Same extraction
7316-2221	711677	RNA [655095]	Same extraction
7316-2224	571449	RNA [569986]	Same extraction
7316-2227	564492	RNA [561570]	Same extraction
7316-223	717172	RNA [681545]	Same extraction
7316-2230	564493	RNA [561571]	Same extraction
7316-2237	731903	RNA [731068]	Same extraction
7316-224	588336	RNA [582981]	Same extraction
7316-2240	731904	RNA [731069]	Same extraction
7316-2241	549573	RNA [508446]	Same extraction
7316-2243	746082	RNA [743301]	Same extraction
7316-2244	571453	RNA [569991]	Same extraction
7316-2245	571454	RNA [569992]	Same extraction
7316-2248	588282	RNA [570512]	Same extraction
7316-2249	573155	RNA [571209]	Same extraction
7316-2250	564483	RNA [560771]	Same extraction
7316-2251	573149	RNA [570801]	Same extraction
7316-2252	564484	RNA [560772]	Same extraction
7316-2255	717166	RNA [612272]	Same extraction
7316-226	601596	RNA [591580]	Same extraction
7316-2266	717104	RNA [649220]	Same extraction
7316-2267	711708	RNA [666255]	Same extraction
7316-2268	717136	RNA [644953]	Same extraction
7316-2269	717185	RNA [668172]	Same extraction
7316-2271	717138	RNA [644954]	Same extraction
7316-2274	728249	RNA [725631]	Same extraction
7316-2275	724090	RNA [723505]	Same extraction
7316-2276	711756	RNA [677368]	Same extraction
7316-2278	654197	RNA [612338]	Same extraction
7316-2285	717163	RNA [582685]	Same extraction
7316-2287	711707	RNA [666254]	Same extraction
7316-2288	577719	RNA [574709]	Same extraction
7316-2291	731905	RNA [731070]	Same extraction
7316-23	717107	RNA [554630]	Same extraction
7316-230	588314	RNA [582038]	Same extraction
7316-2300	571450	RNA [569987]	Same extraction
7316-2305	588436	RNA [584375]	Same extraction
7316-2306	731881	RNA [729723]	Same extraction
7316-2307	731934	RNA [731562]	Same extraction
7316-2308	731861	RNA [728443]	Same extraction
7316-2309	564494	RNA [561572]	Same extraction
7316-231	549571	RNA [478004]	Different tissue aliquot
7316-2310	588437	RNA [584376]	Same extraction
7316-2311	731913	RNA [731103]	Same extraction
7316-2313	717126	RNA [569995]	Same extraction
7316-2322	564495	RNA [561573]	Same extraction
7316-2324	717147	RNA [685566]	Same extraction
7316-2329	746072	RNA [741114]	Same extraction
7316-234	717141	RNA [580762]	Same extraction
7316-235	564458	RNA [555703]	Same extraction
7316-238	1030655	Not found	Same tissue aliquot
7316-240	746085	RNA [743304]	Same extraction
7316-242	750189	RNA [744904]	Same extraction
7316-245	711727	RNA [665958]	Same extraction
7316-247	588291	RNA [580763]	Same extraction
7316-249	577724	RNA [575894]	Same extraction
7316-2536	574557	RNA [573682]	Same extraction
7316-255	994697	RNA [924320]	Same tissue aliquot
7316-255	401560	Not found	Same extraction
7316-2554	564449	RNA [548805]	Same extraction
7316-2556	728254	RNA [725581]	Same extraction
7316-2557	731862	RNA [728444]	Same extraction
7316-2558	654219	RNA [645104]	Same extraction
7316-2561	577720	RNA [574710]	Same extraction
7316-2562	728255	RNA [725582]	Same extraction
7316-2566	717134	RNA [571500]	Same extraction
7316-2567	570103	RNA [561563]	Same extraction
7316-2569	717168	RNA [612276]	Same extraction
7316-257	711729	RNA [667627]	Same extraction
7316-2571	588452	RNA [585523]	Same extraction
7316-2572	588453	RNA [585524]	Same extraction
7316-2575	654215	RNA [645186]	Same extraction
7316-2576	654181	RNA [648542]	Same extraction
7316-2577	601591	RNA [591127]	Same extraction
7316-2578	588462	RNA [586310]	Same extraction
7316-258	717112	RNA [562101]	Same extraction
7316-2581	573156	RNA [571210]	Same extraction
7316-2582	573157	RNA [571211]	Same extraction
7316-2583	573158	RNA [571212]	Same extraction
7316-2588	588463	RNA [586311]	Same extraction
7316-2589	739960	RNA [705319]	Same tissue aliquot
7316-259	588315	RNA [582040]	Same extraction
7316-2590	717130	RNA [570800]	Different tissue aliquot
7316-2591	717151	RNA [587840]	Same extraction
7316-2594	574553	RNA [573678]	Same extraction
7316-2599	711766	RNA [607874]	Same extraction
7316-2608	717177	RNA [586312]	Same extraction
7316-2609	573159	RNA [571213]	Same extraction
7316-261	750191	RNA [744907]	Same extraction
7316-2610	577721	RNA [574711]	Same extraction
7316-2614	717175	RNA [585522]	Same extraction
7316-262	750190	RNA [744906]	Same extraction
7316-2622	717178	RNA [586313]	Same extraction
7316-2626	728290	RNA [727868]	Same extraction
7316-263	711706	RNA [666252]	Same extraction
7316-2632	711748	RNA [668177]	Same extraction
7316-264	549616	RNA [534723]	Same extraction
7316-2640	573150	RNA [570802]	Same extraction
7316-2641	717129	RNA [570683]	Same tissue aliquot
7316-2647	717152	RNA [587841]	Same extraction
7316-2648	573151	RNA [570803]	Same extraction
7316-265	549621	RNA [535803]	Same tissue aliquot
7316-2653	717131	RNA [570804]	Same extraction
7316-2658	654182	RNA [648543]	Same extraction
7316-2659	717140	RNA [580684]	Same extraction
7316-2660	577722	RNA [574712]	Different tissue aliquot
7316-2661	731863	RNA [728445]	Same extraction
7316-2662	717100	RNA [655140]	Same extraction
7316-2663	601603	RNA [587847]	Same extraction
7316-2664	711710	RNA [606893]	Same extraction
7316-2665	717135	RNA [571521]	Different tissue aliquot
7316-2666	711711	RNA [606895]	Same extraction
7316-2667	549620	RNA [533753]	Different tissue aliquot
7316-2668	573162	RNA [571522]	Same extraction
7316-2669	601604	RNA [587848]	Same extraction
7316-267	564455	RNA [555698]	Same extraction
7316-2671	573164	RNA [571524]	Same extraction
7316-2672	601592	RNA [591128]	Same extraction
7316-2673	711749	RNA [668178]	Same extraction
7316-2680	573163	RNA [571523]	Same extraction
7316-2686	717179	RNA [645103]	Same tissue aliquot
7316-2688	731924	RNA [731333]	Same extraction
7316-2689	728291	RNA [727869]	Same extraction
7316-2699	728275	RNA [727816]	Same extraction
7316-2703	739972	RNA [603420]	Same extraction
7316-2707	588356	RNA [583307]	Same extraction
7316-2708	711753	RNA [677365]	Same extraction
7316-2719	717132	RNA [571497]	Same extraction
7316-272	588287	RNA [578426]	Same extraction
7316-2720	717133	RNA [571498]	Same extraction
7316-2723	601605	RNA [587849]	Same extraction
7316-2724	717144	RNA [591583]	Same tissue aliquot
7316-2725	601594	RNA [591130]	Same extraction
7316-2729	728276	RNA [727817]	Same extraction
7316-2732	654204	RNA [612273]	Same extraction
7316-2737	711767	RNA [606564]	Same extraction
7316-2743	654205	RNA [612274]	Same extraction
7316-2744	654202	RNA [645177]	Same extraction
7316-275	731866	RNA [728664]	Same extraction
7316-2751	711698	RNA [658780]	Same extraction
7316-2753	728292	RNA [727870]	Same extraction
7316-2755	654207	RNA [612278]	Same extraction
7316-2756	731915	RNA [731105]	Same extraction
7316-2757	654206	RNA [612277]	Same extraction
7316-2758	717153	RNA [658779]	Same extraction
7316-2760	717164	RNA [658788]	Same extraction
7316-2777	739968	RNA [600532]	Same extraction
7316-278	257637	Not found	NA
7316-2780	608928	RNA [600530]	Same extraction
7316-2782	711735	RNA [667636]	Same extraction
7316-279	711726	RNA [665957]	Same extraction
7316-280	549615	RNA [502645]	Same extraction
7316-2809	717170	RNA [612279]	Same extraction
7316-2810	739977	RNA [606565]	Same extraction
7316-2811	711666	RNA [665658]	Same extraction
7316-2856	717157	RNA [612335]	Same extraction
7316-2857	654195	RNA [612336]	Same extraction
7316-2858	654196	RNA [612337]	Same extraction
7316-286	746103	RNA [744185]	Same extraction
7316-2860	711754	RNA [677366]	Same extraction
7316-2862	746097	RNA [743158]	Same extraction
7316-2864	739952	RNA [644956]	Same extraction
7316-2865	608924	RNA [600526]	Same extraction
7316-287	398451	Not found	Same extraction
7316-288	398450	Not found	Same extraction
7316-2893	711702	RNA [658787]	Same extraction
7316-2897	717105	RNA [649223]	Same extraction
7316-2899	711700	RNA [658784]	Same extraction
7316-29	564461	RNA [559558]	Same extraction
7316-290	711705	RNA [666251]	Same extraction
7316-2901	711701	RNA [658786]	Same tissue aliquot
7316-291	739981	RNA [665956]	Same extraction
7316-292	470438	RNA [459123]	Same extraction
7316-2933	654194	RNA [612334]	Same extraction
7316-2934	711703	RNA [666247]	Same extraction
7316-2935	654210	RNA [645180]	Same extraction
7316-2939	711667	RNA [665659]	Same extraction
7316-294	746104	RNA [744186]	Same extraction
7316-2959	711699	RNA [658783]	Same extraction
7316-2962	654187	RNA [649222]	Same extraction
7316-2966	739996	RNA [738043]	Same extraction
7316-297	564469	RNA [560229]	Same extraction
7316-2970	740003	RNA [738050]	Same extraction
7316-2971	711720	RNA [651935]	Same extraction
7316-2972	654186	RNA [649221]	Same extraction
7316-2980	731864	RNA [728446]	Same extraction
7316-2984	728277	RNA [727818]	Same extraction
7316-2986	711762	RNA [677494]	Same extraction
7316-2987	731906	RNA [731071]	Same extraction
7316-2988	731876	RNA [728674]	Same extraction
7316-2989	731916	RNA [731106]	Same extraction
7316-2990	731925	RNA [731334]	Same extraction
7316-3	470422	RNA [450677]	Same extraction
7316-30	564453	RNA [554635]	Same extraction
7316-3000	746068	RNA [608383]	Same extraction
7316-3010	711679	RNA [652369]	Same extraction
7316-3019	731877	RNA [729719]	Same extraction
7316-302	1030642	Not found	Different tissue aliquot
7316-3020	654198	RNA [612339]	Same extraction
7316-3022	734535	RNA [733616]	Same extraction
7316-3023	654199	RNA [612340]	Same extraction
7316-3025	711716	RNA [606903]	Same extraction
7316-3028	717101	RNA [655142]	Same extraction
7316-3029	654183	RNA [649215]	Same extraction
7316-3030	731895	RNA [730406]	Same extraction
7316-304	549598	RNA [468431]	Same extraction
7316-3040	654200	RNA [612341]	Same extraction
7316-3045	717158	RNA [658781]	Same extraction
7316-3048	739978	RNA [606894]	Same extraction
7316-305	711664	RNA [650583]	Same extraction
7316-3052	711652	RNA [655143]	Same extraction
7316-3054	739925	RNA [649219]	Same extraction
7316-3055	711655	RNA [655146]	Same extraction
7316-3057	711656	RNA [655147]	Same extraction
7316-3058	739933	RNA [729926]	Different tissue aliquot
7316-3058	739934	RNA [729927]	Same extraction
7316-3058	746065	RNA [566828]	Different tissue aliquot
7316-306	734529	RNA [667634]	Same extraction
7316-3060	734511	RNA [655148]	Same extraction
7316-3061	739956	RNA [689827]	Same extraction
7316-3062	711697	RNA [658778]	Same extraction
7316-3064	654220	RNA [645105]	Same extraction
7316-3065	654221	RNA [645106]	Same extraction
7316-3066	654222	RNA [645107]	Same extraction
7316-3067	654176	RNA [648536]	Same extraction
7316-3068	734528	RNA [606897]	Same extraction
7316-3069	654177	RNA [648537]	Same extraction
7316-307	549607	RNA [475622]	Same extraction
7316-3070	734513	RNA [648533]	Same extraction
7316-3071	711723	RNA [665953]	Same extraction
7316-3072	711725	RNA [665954]	Same extraction
7316-3073	711736	RNA [667945]	Same extraction
7316-3074	711758	RNA [677370]	Same extraction
7316-3075	717186	RNA [676941]	Same extraction
7316-3076	731865	RNA [728447]	Same extraction
7316-309	549595	RNA [470151]	Same extraction
7316-310	549588	RNA [467896]	Same extraction
7316-312	711657	RNA [650574]	Same extraction
7316-3122	739929	RNA [685601]	Same extraction
7316-313	549600	RNA [468960]	Same extraction
7316-3132	654188	RNA [644958]	Same extraction
7316-3138	711761	RNA [677490]	Same extraction
