symbol	geneID	prevSymbols	synonyms	name	organism
NUTM2B	729262	FAM22B	BA119F19.1	NUT FAMILY MEMBER 2B	human
RNF220	55182	C1ORF164	FLJ10597	RING FINGER PROTEIN 220	human
PRDM1	639	BLIMP1	PRDI-BF1	PR/SET DOMAIN 1	human
TNC	3371	HXB,DFNA56	TN,MGC167029	TENASCIN C	human
TFF2	7032	SML1		TREFOIL FACTOR 2	human
DDX43	55510		HAGE,DKFZP434H2114,CT13	DEAD-BOX HELICASE 43	human
REG3A	5068	PAP	HIP,REG-III,REG3,PBCGF,PAP1	REGENERATING FAMILY MEMBER 3 ALPHA	human
SMAD2	4087	MADH2	MADR2,JV18-1	SMAD FAMILY MEMBER 2	human
SOX11	6664			SRY-BOX 11	human
PTHLH	5744		PTHRP,HHM,PLP,PTHR	PARATHYROID HORMONE LIKE HORMONE	human
IGFBP6	3489			INSULIN LIKE GROWTH FACTOR BINDING PROTEIN 6	human
NAV1	89796		FLJ12560,FLJ14203,KIAA1151,MGC14961,POMFIL3,STEERIN-1,DKFZP781D0314	NEURON NAVIGATOR 1	human
PICK1	9463	PRKCABP	DJ1039K5,MGC15204	PROTEIN INTERACTING WITH PRKCA 1	human
ABCB5	340273		EST422562,ABCB5BETA,ABCB5ALPHA	ATP BINDING CASSETTE SUBFAMILY B MEMBER 5	human
ATF7IP	55729		FLJ10688,P621	ACTIVATING TRANSCRIPTION FACTOR 7 INTERACTING PROTEIN	human
IER2	9592		ETR101	IMMEDIATE EARLY RESPONSE 2	human
HLTF	6596	SNF2L3,SMARCA3	HIP116A,HLTF1,RNF80	HELICASE LIKE TRANSCRIPTION FACTOR	human
TGFB1	7040	TGFB,DPD1	CED,TGFBETA	TRANSFORMING GROWTH FACTOR BETA 1	human
CD44	960	MIC4,MDU2,MDU3	IN,MC56,PGP1,CD44R,HCELL,CSPG8	CD44 MOLECULE (INDIAN BLOOD GROUP)	human
TMSB10	9168		TB10	THYMOSIN BETA 10	human
CBLC	23624		CBL-3,CBL-SL,RNF57	CBL PROTO-ONCOGENE C	human
FAM57A	79850		FLJ22282,CT120	FAMILY WITH SEQUENCE SIMILARITY 57 MEMBER A	human
EGFR	1956	ERBB	ERBB1	EPIDERMAL GROWTH FACTOR RECEPTOR	human
MIR21	406991	MIRN21	HSA-MIR-21,MIR-21	MICRORNA 21	human
BCL11B	64919	ZNF856B	CTIP-2,CTIP2,HRIT1-ALPHA	B-CELL CLL/LYMPHOMA 11B	human
SERPINB1	1992	ELANH2	EI,PI2,ANTI-ELASTASE	SERPIN FAMILY B MEMBER 1	human
PVT1	5820		NCRNA00079,LINC00079,ONCO-LNCRNA-100	PVT1 ONCOGENE (NON-PROTEIN CODING)	human
MAF	4094		C-MAF	MAF BZIP TRANSCRIPTION FACTOR	human
DDX6	1656	HLR2	RCK	DEAD-BOX HELICASE 6	human
TRPM1	4308	MLSN1	LTRPC1,CSNB1C	TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL SUBFAMILY M MEMBER 1	human
CSNK2A1	1457			CASEIN KINASE 2 ALPHA 1	human
CMC4	100272147	MTCP1,MTCP1NB	P8MTCP1,P8	C-X9-C MOTIF CONTAINING 4	human
AKAP13	11214	LBC	HT31,BRX,AKAP-LBC,C-LBC,PROTO-LB,HA-3,ARHGEF13	A-KINASE ANCHORING PROTEIN 13	human
ICAM1	3383		BB2,CD54	INTERCELLULAR ADHESION MOLECULE 1	human
TOPORS	10210	RP31	TP53BPL,LUN	TOP1 BINDING ARGININE/SERINE RICH PROTEIN	human
MAPK1	5594	PRKM2,PRKM1	ERK,ERK2,P41MAPK,MAPK2	MITOGEN-ACTIVATED PROTEIN KINASE 1	human
SHC1	6464	SHC	P66,SHCA	SHC ADAPTOR PROTEIN 1	human
LIFR	3977		CD118	LEUKEMIA INHIBITORY FACTOR RECEPTOR ALPHA	human
MIR221	407006	MIRN221	HSA-MIR-221	MICRORNA 221	human
CSF3R	1441	CD114	GCSFR	COLONY STIMULATING FACTOR 3 RECEPTOR	human
UNC79	57578	KIAA1409		UNC-79 HOMOLOG (C. ELEGANS)	human
SKP1P2	728622	SKP1B	P19B	S-PHASE KINASE ASSOCIATED PROTEIN 1 PSEUDOGENE 2	human
RBBP5	5929		RBQ3,SWD1	RB BINDING PROTEIN 5, HISTONE LYSINE METHYLTRANSFERASE COMPLEX SUBUNIT	human
PPP1R13L	10848		RAI,IASPP	PROTEIN PHOSPHATASE 1 REGULATORY SUBUNIT 13 LIKE	human
NRAS	4893		N-RAS	NEUROBLASTOMA RAS VIRAL ONCOGENE HOMOLOG	human
PPP1R16B	26051		KIAA0823,TIMAP,ANKRD4	PROTEIN PHOSPHATASE 1 REGULATORY SUBUNIT 16B	human
FCRL4	83417		FCRH4,IRTA1,IGFP2,CD307D	FC RECEPTOR LIKE 4	human
SKI	6497			SKI PROTO-ONCOGENE	human
WDR11	55717	BRWD2	KIAA1351,FLJ10506,WDR15,HH14,DR11,SRI1	WD REPEAT DOMAIN 11	human
AGAP2	116986	CENTG1		ARFGAP WITH GTPASE DOMAIN, ANKYRIN REPEAT AND PH DOMAIN 2	human
TNFRSF13B	23495		TACI,CD267,IGAD2	TNF RECEPTOR SUPERFAMILY MEMBER 13B	human
MEG3	55384		GTL2,NCRNA00023,LINC00023,ONCO-LNCRNA-83	MATERNALLY EXPRESSED 3 (NON-PROTEIN CODING)	human
SOX10	6663		DOM,WS4,WS2E	SRY-BOX 10	human
MYBL1	4603		AMYB,A-MYB	MYB PROTO-ONCOGENE LIKE 1	human
SRSF6	6431	SFRS6	SRP55,B52	SERINE AND ARGININE RICH SPLICING FACTOR 6	human
MLLT11	10962		AF1Q	MYELOID/LYMPHOID OR MIXED-LINEAGE LEUKEMIA; TRANSLOCATED TO, 11	human
DIRAS3	9077	ARHI	NOEY2	DIRAS FAMILY GTPASE 3	human
CHD2	1106		FLJ38614,DKFZP547I1315,DKFZP781D1727,DKFZP686E01200	CHROMODOMAIN HELICASE DNA BINDING PROTEIN 2	human
FOXE1	2304	FKHL15,TITF2,FOXE2	TTF-2,HFKH4	FORKHEAD BOX E1	human
ABCB8	11194		EST328128,M-ABC1,MABC1	ATP BINDING CASSETTE SUBFAMILY B MEMBER 8	human
BCRP2	400892	BCR2,BCRL2	BCR-2	BREAKPOINT CLUSTER REGION PSEUDOGENE 2	human
CIC	23152		KIAA0306	CAPICUA TRANSCRIPTIONAL REPRESSOR	human
BID	637			BH3 INTERACTING DOMAIN DEATH AGONIST	human
MAPK14	1432	CSPB1,CSBP1,CSBP2	PRKM14,P38,MXI2,PRKM15	MITOGEN-ACTIVATED PROTEIN KINASE 14	human
FRMD8	83786		FLJ90369,FKSG44	FERM DOMAIN CONTAINING 8	human
TNFSF10	8743		TRAIL,APO-2L,TL2,CD253	TUMOR NECROSIS FACTOR SUPERFAMILY MEMBER 10	human
BCL10	8915		CARMEN,CIPER,ME10,C-E10,CLAP	B-CELL CLL/LYMPHOMA 10	human
DRAM1	55332		FLJ11259,DRAM	DNA DAMAGE REGULATED AUTOPHAGY MODULATOR 1	human
PCNA	5111			PROLIFERATING CELL NUCLEAR ANTIGEN	human
TRIP11	9321		CEV14,TRIP230,GMAP-210,GMAP210	THYROID HORMONE RECEPTOR INTERACTOR 11	human
NFKBIA	4792	NFKBI	IKBA,MAD-3,IKAPPABALPHA	NFKB INHIBITOR ALPHA	human
TOB2	10766	TROB2	TOBL,TOB4,BK223H9,APRO5	TRANSDUCER OF ERBB2, 2	human
PTMA	5757	TMSA		PROTHYMOSIN, ALPHA	human
SPPL2B	56928		IMP4,PSL1,KIAA1532	SIGNAL PEPTIDE PEPTIDASE LIKE 2B	human
CRLF2	64109		CRL2,TSLPR	CYTOKINE RECEPTOR-LIKE FACTOR 2	human
TRAF1	7185		EBI6	TNF RECEPTOR ASSOCIATED FACTOR 1	human
CRK	1398			CRK PROTO-ONCOGENE, ADAPTOR PROTEIN	human
CCR7	1236	CMKBR7,EBI1	BLR2,CDW197,CD197	C-C MOTIF CHEMOKINE RECEPTOR 7	human
ADAM9	8754	CORD9	MDC9,KIAA0021,MCMP,MLTNG	ADAM METALLOPEPTIDASE DOMAIN 9	human
ID3	3399		HEIR-1,BHLHB25	INHIBITOR OF DNA BINDING 3, HLH PROTEIN	human
DYRK1A	1859	DYRK1,DYRK,MNBH		DUAL SPECIFICITY TYROSINE PHOSPHORYLATION REGULATED KINASE 1A	human
PDCD6	10016		ALG-2,PEF1B	PROGRAMMED CELL DEATH 6	human
CTNNA1	1495		CAP102	CATENIN ALPHA 1	human
POLH	5429		RAD30A,XP-V	DNA POLYMERASE ETA	human
ERICH1	157697			GLUTAMATE RICH 1	human
KCNK5	8645		K2P5.1,TASK-2	POTASSIUM TWO PORE DOMAIN CHANNEL SUBFAMILY K MEMBER 5	human
SKP1	6500	SKP1A	EMC19,OCP2,TCEB1L,MGC34403,OCP-II,P19A	S-PHASE KINASE ASSOCIATED PROTEIN 1	human
CFLAR	8837	CASP8AP1	CASH,CASPER,CLARP,FLAME,FLIP,I-FLICE,MRIT,C-FLIP	CASP8 AND FADD LIKE APOPTOSIS REGULATOR	human
IGK	50802	IGK@		IMMUNOGLOBULIN KAPPA LOCUS	human
FGFR1OP	11116		FOP	FGFR1 ONCOGENE PARTNER	human
ETV6	2120		TEL	ETS VARIANT 6	human
MLLT6	4302		AF17,FLJ23480	MLLT6, PHD FINGER DOMAIN CONTAINING	human
RPA2	6118			REPLICATION PROTEIN A2	human
MST1	4485	D3F15S2,HGFL,DNF15S2	MSP,NF15S2	MACROPHAGE STIMULATING 1	human
CBFB	865		PEBP2B	CORE-BINDING FACTOR BETA SUBUNIT	human
NMT1	4836		NMT	N-MYRISTOYLTRANSFERASE 1	human
THRAP3	9967		TRAP150	THYROID HORMONE RECEPTOR ASSOCIATED PROTEIN 3	human
MYH1	4619		MYHSA1,MYHA,MYHC-2X/D,MGC133384	MYOSIN HEAVY CHAIN 1	human
STEAP1	26872	STEAP	PRSS24	STEAP FAMILY MEMBER 1	human
PDE4A	5141	DPDE2		PHOSPHODIESTERASE 4A	human
HPSE	10855		HPA,HSE1,HPSE1	HEPARANASE	human
XDH	7498		XOR,XO	XANTHINE DEHYDROGENASE	human
HSPG2	3339	SJS1	PERLECAN,PRCAN	HEPARAN SULFATE PROTEOGLYCAN 2	human
ERCC3	2071		XPB,BTF2,RAD25,TFIIH,GTF2H	ERCC EXCISION REPAIR 3, TFIIH CORE COMPLEX HELICASE SUBUNIT	human
TRAP1	10131		HSP75,HSP90L	TNF RECEPTOR ASSOCIATED PROTEIN 1	human
PPP1CA	5499	PPP1A	PP1A,PP-1A,PP1ALPHA	PROTEIN PHOSPHATASE 1 CATALYTIC SUBUNIT ALPHA	human
PATZ1	23598	ZNF278	MAZR,DJ400N23,ZBTB19,ZSG,RIAZ,PATZ	POZ/BTB AND AT HOOK CONTAINING ZINC FINGER 1	human
OPCML	4978		OPCM,OBCAM,IGLON1	OPIOID BINDING PROTEIN/CELL ADHESION MOLECULE LIKE	human
CDH20	28316		CDH7L3,CDH7	CADHERIN 20	human
NEIL1	79661		FLJ22402,HFPG1,NEI1,FPG1	NEI LIKE DNA GLYCOSYLASE 1	human
FGF12	2257	FGF12B	FHF1	FIBROBLAST GROWTH FACTOR 12	human
GHRL	51738		MTLRP,GHRELIN,OBESTATIN	GHRELIN AND OBESTATIN PREPROPEPTIDE	human
PSEN2	5664	AD4	AD3L,STM2,PS2	PRESENILIN 2	human
ZNF608	57507		KIAA1281,DKFZP434M098,NY-REN-36	ZINC FINGER PROTEIN 608	human
BFSP2	8419		CP47,CP49,LIFL-L,PHAKININ	BEADED FILAMENT STRUCTURAL PROTEIN 2	human
DDB2	1643		DDBB,UV-DDB2,FLJ34321,XPE	DAMAGE SPECIFIC DNA BINDING PROTEIN 2	human
NET1	10276		ARHGEF8,NET1A	NEUROEPITHELIAL CELL TRANSFORMING 1	human
IFNGR2	3460	IFNGT1	AF-1	INTERFERON GAMMA RECEPTOR 2	human
ERC2	26059		CAST,CAST1,KIAA0378,SPBC110,SPC110,ELKSL	ELKS/RAB6-INTERACTING/CAST FAMILY MEMBER 2	human
COL4A3	1285			COLLAGEN TYPE IV ALPHA 3 CHAIN	human
GSDMA	284110	GSDM,GSDM1	FLJ39120	GASDERMIN A	human
GHR	2690		GHBP	GROWTH HORMONE RECEPTOR	human
ETS1	2113	EWSR2	FLJ10768,ETS-1	ETS PROTO-ONCOGENE 1, TRANSCRIPTION FACTOR	human
ALOX12	239		12S-LOX	ARACHIDONATE 12-LIPOXYGENASE, 12S TYPE	human
NFATC1	4772		NF-ATC,NFATC,NFAT2	NUCLEAR FACTOR OF ACTIVATED T-CELLS 1	human
IL9	3578		IL-9,HP40,P40	INTERLEUKIN 9	human
CSE1L	1434		CAS,XPO2,CSE1	CHROMOSOME SEGREGATION 1 LIKE	human
PTPRK	5796		R-PTP-KAPPA	PROTEIN TYROSINE PHOSPHATASE, RECEPTOR TYPE K	human
EPHA1	2041	EPHT,EPHT1	EPH	EPH RECEPTOR A1	human
FIP1L1	81608		DKFZP586K0717,FIP1	FACTOR INTERACTING WITH PAPOLA AND CPSF1	human
EYA4	2070	DFNA10,CMD1J		EYA TRANSCRIPTIONAL COACTIVATOR AND PHOSPHATASE 4	human
TM4SF1	4071	M3S1	L6	TRANSMEMBRANE 4 L SIX FAMILY MEMBER 1	human
HSPH1	10808		HSP105B,KIAA0201,HSP105A,NY-CO-25	HEAT SHOCK PROTEIN FAMILY H (HSP110) MEMBER 1	human
UBE2C	11065		UBCH10	UBIQUITIN CONJUGATING ENZYME E2 C	human
HNRNPA3	220988	HNRPA3		HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN A3	human
TSHR	7253		LGR3	THYROID STIMULATING HORMONE RECEPTOR	human
TJP2	9414	DFNA51	ZO-2,X104,ZO2	TIGHT JUNCTION PROTEIN 2	human
ACTB	60			ACTIN BETA	human
IGF2	3481	C11ORF43	FLJ44734,IGF-II	INSULIN LIKE GROWTH FACTOR 2	human
PGGHG	80162	ATHL1	FLJ22635	PROTEIN-GLUCOSYLGALACTOSYLHYDROXYLYSINE GLUCOSIDASE	human
CMTM7	112616	CKLFSF7	FLJ30992	CKLF LIKE MARVEL TRANSMEMBRANE DOMAIN CONTAINING 7	human
FAS	355	FAS1,APT1,TNFRSF6	CD95,APO-1	FAS CELL SURFACE DEATH RECEPTOR	human
CHRNB4	1143			CHOLINERGIC RECEPTOR NICOTINIC BETA 4 SUBUNIT	human
BCL7B	9275			BCL TUMOR SUPPRESSOR 7B	human
P2RY14	9934	GPR105	KIAA0001	PURINERGIC RECEPTOR P2Y14	human
NR4A3	8013		CSMF,CHN,NOR1,MINOR	NUCLEAR RECEPTOR SUBFAMILY 4 GROUP A MEMBER 3	human
KNL1	57082	MCPH4,CASC5	D40,AF15Q14,CT29,KIAA1570,HKNL-1,HSPC105,PPP1R55,SPC7	KINETOCHORE SCAFFOLD 1	human
TNF	7124	TNFA	TNFSF2,DIF,TNF-ALPHA	TUMOR NECROSIS FACTOR	human
ABL1	25	ABL	JTK7,C-ABL,P150	ABL PROTO-ONCOGENE 1, NON-RECEPTOR TYROSINE KINASE	human
TBX21	30009		TBLYM,T-BET	T-BOX 21	human
ELAVL1	1994	HUR	HUR,HUA,MELG	ELAV LIKE RNA BINDING PROTEIN 1	human
MVP	9961		LRP,VAULT1	MAJOR VAULT PROTEIN	human
PHOX2B	8929	PMX2B	PHOX2B,NBPHOX	PAIRED LIKE HOMEOBOX 2B	human
RSPO1	284654		FLJ40906,RSPONDIN	R-SPONDIN 1	human
ADARB2	105		RED2,HRED2,ADAR3	ADENOSINE DEAMINASE, RNA SPECIFIC B2 (INACTIVE)	human
ACCS	84680		PHACS,ACS	1-AMINOCYCLOPROPANE-1-CARBOXYLATE SYNTHASE HOMOLOG (INACTIVE)	human
ZDHHC14	79683		FLJ20984,NEW1CP	ZINC FINGER DHHC-TYPE CONTAINING 14	human
CYP7B1	9420	SPG5A		CYTOCHROME P450 FAMILY 7 SUBFAMILY B MEMBER 1	human
HOXB8	3218	HOX2,HOX2D		HOMEOBOX B8	human
FHL2	2274		SLIM3,DRAL	FOUR AND A HALF LIM DOMAINS 2	human
ERCC8	1161	CKN1	CSA	ERCC EXCISION REPAIR 8, CSA UBIQUITIN LIGASE COMPLEX SUBUNIT	human
FANCG	2189	XRCC9	FAG	FANCONI ANEMIA COMPLEMENTATION GROUP G	human
EIF4EBP1	1978		PHAS-I,4E-BP1	EUKARYOTIC TRANSLATION INITIATION FACTOR 4E BINDING PROTEIN 1	human
LRGUK	136332		FLJ32786,CFAP246	LEUCINE RICH REPEATS AND GUANYLATE KINASE DOMAIN CONTAINING	human
ST13	6767		SNC6,HSPABP1,HIP,P48,FAM10A1	SUPPRESSION OF TUMORIGENICITY 13 (COLON CARCINOMA) (HSP70 INTERACTING PROTEIN)	human
SAV1	60485		WW45,WWP4,SALVADOR	SALVADOR FAMILY WW DOMAIN CONTAINING PROTEIN 1	human
PTK7	5754		CCK4	PROTEIN TYROSINE KINASE 7 (INACTIVE)	human
TFG	10342		TF6,FLJ36137,SPG57	TRK-FUSED GENE	human
CASP1	834	IL1BC	ICE	CASPASE 1	human
PKIG	11142			CAMP-DEPENDENT PROTEIN KINASE INHIBITOR GAMMA	human
RSF1	51773	HBXAP	XAP8,RSF-1,P325	REMODELING AND SPACING FACTOR 1	human
TNFSF18	8995		AITRL,TL6,HGITRL	TUMOR NECROSIS FACTOR SUPERFAMILY MEMBER 18	human
