hugo_symbol	oncokb_category
SDHA	TSG
SDHB	TSG
SDHC	TSG
SDHD	TSG
SOX2	Oncogene
SPEN	TSG
SRC	Oncogene
STAT3	Oncogene
SUFU	TSG
SYK	Oncogene
TENT5C	TSG
TGFBR2	TSG
TNFRSF14	TSG
TSC2	TSG
TSHR	Oncogene
XPO1	Oncogene
AKT3	Oncogene
ARAF	Oncogene
ARID1B	TSG
AURKA	Oncogene
AURKB	Oncogene
AXL	Oncogene
BCL10	TSG
BCORL1	TSG
BCR	Oncogene
BLM	TSG
BTG1	TSG
CDK8	Oncogene
CDKN2B	TSG
CHEK1	TSG
CRKL	Oncogene
CYLD	TSG
DOT1L	Oncogene
EED	TSG
EIF4A2	Oncogene
EPHA3	TSG
EPHB1	TSG
ERCC4	TSG
ETV1	Oncogene
FAS	TSG
FGF19	Oncogene
FGF3	Oncogene
FGF4	Oncogene
FH	TSG
FLT1	Oncogene
FLT4	Oncogene
FOXO1	TSG
FOXP1	Oncogene/TSG
GRIN2A	TSG
GSK3B	Oncogene
HGF	Oncogene
ID3	TSG
IGF1R	Oncogene
IKBKE	Oncogene
IL7R	Oncogene
INPP4B	TSG
IRS2	Oncogene
KLF4	Oncogene/TSG
LMO1	Oncogene
MAP3K13	Oncogene
MCL1	Oncogene
MEF2B	Oncogene
MRE11	TSG
MSH3	TSG
MSI2	Oncogene
NBN	TSG
NCOR1	TSG
NFKBIA	TSG
NSD1	Oncogene/TSG
NT5C2	Oncogene
NTRK2	Oncogene
P2RY8	TSG
PDCD1	Oncogene
PIK3CB	Oncogene
PMS2	TSG
POLD1	TSG
POLE	TSG
POT1	TSG
PPARG	Oncogene
RAC1	Oncogene
RAD51	TSG
RAD51B	TSG
RBM10	TSG
REL	Oncogene
RHOA	Oncogene
RICTOR	Oncogene
RPTOR	Oncogene
SETBP1	Oncogene
SOX9	Oncogene/TSG
STAT5B	Oncogene
SUZ12	TSG
TBX3	TSG
TCF3	TSG
TERT	Oncogene
TET1	TSG
TOP1	TSG
TP63	Oncogene/TSG
ACVR1	Oncogene
ALOX12B	Oncogene/TSG
AXIN2	TSG
BCL11B	TSG
BMPR1A	TSG
CDKN1A	TSG
CIITA	TSG
CUL3	TSG
CUX1	TSG
DDX3X	TSG
DICER1	TSG
DIS3	TSG
DNMT1	Oncogene
EPHA7	Oncogene/TSG
ERCC2	TSG
ERCC3	TSG
ERCC5	TSG
ERRFI1	TSG
ETV4	Oncogene
ETV5	Oncogene
EWSR1	Oncogene
FANCD2	TSG
FAT1	TSG
FBXO11	TSG
FOXA1	Oncogene/TSG
GLI1	Oncogene
GNA13	Oncogene
HDAC1	Oncogene
HLA-A	TSG
INHBA	Oncogene/TSG
LATS1	TSG
LATS2	TSG
LYN	Oncogene
MAP3K14	Oncogene
MAX	TSG
MST1R	Oncogene
MYOD1	TSG
NOTCH3	Oncogene/TSG
PARP1	TSG
PHOX2B	TSG
PIK3CG	Oncogene
PIK3R2	TSG
PLCG2	Oncogene
PPM1D	Oncogene
PPP6C	TSG
PRKCI	Oncogene
PRKN	TSG
PTPRT	TSG
RAD50	TSG
RAD51C	TSG
RAD51D	TSG
RECQL4	TSG
RUNX1T1	Oncogene
SDHAF2	TSG
SGK1	Oncogene
SH2B3	TSG
SMAD3	TSG
STAT5A	Oncogene
STAT6	Oncogene
TBL1XR1	TSG
TCF7L2	TSG
TMEM127	TSG
VEGFA	Oncogene
WWTR1	Oncogene
XRCC2	TSG
ZFHX3	TSG
ABL2	Oncogene
ABRAXAS1	TSG
ANKRD11	TSG
ARID5B	TSG
ASXL2	TSG
ATF1	Oncogene
BBC3	TSG
BCL2L11	TSG
BCL9	Oncogene
CCNQ	TSG
CD276	Oncogene
CD58	TSG
CDC42	Oncogene
COP1	Oncogene
CTLA4	Oncogene
CYSLTR2	Oncogene
DCUN1D1	Oncogene
DEK	Oncogene
DNMT3B	TSG
DTX1	TSG
DUSP22	TSG
DUSP4	TSG
E2F3	Oncogene
EGFL7	Oncogene
EIF4E	Oncogene
ELF3	Oncogene/TSG
EPCAM	TSG
ERF	TSG
EZH1	Oncogene
FANCL	TSG
FLI1	Oncogene
FYN	Oncogene
GNA12	Oncogene
GNB1	Oncogene
GPS2	TSG
GREM1	Oncogene
H1-3	TSG
H1-4	Oncogene
H2AC17	Oncogene
HDAC4	Oncogene/TSG
HDAC7	Oncogene
HIF1A	Oncogene
HLA-B	TSG
HOXB13	Oncogene/TSG
ICOSLG	Oncogene
IFNGR1	TSG
IGF1	Oncogene
IGF2	Oncogene
IKZF3	Oncogene/TSG
INHA	TSG
INPPL1	TSG
INSR	Oncogene
IRF1	TSG
IRF8	TSG
IRS1	Oncogene
JARID2	Oncogene/TSG
KMT2B	TSG
LCK	Oncogene
LMO2	Oncogene
LZTR1	TSG
MAFB	Oncogene
MAPK3	Oncogene
MECOM	Oncogene
MGA	TSG
MLLT10	Oncogene
MSI1	Oncogene
MST1	TSG
MTAP	TSG
NCOA3	Oncogene
NCSTN	Oncogene
NKX3-1	TSG
NOTCH4	Oncogene/TSG
NR4A3	Oncogene
NTHL1	TSG
NUF2	Oncogene
NUP98	Oncogene
PAK1	Oncogene
PAK5	Oncogene
PDGFB	Oncogene
PGR	Oncogene
PIK3CD	Oncogene
PIK3R3	TSG
PLCG1	Oncogene
PMAIP1	TSG
PMS1	TSG
PTPN2	TSG
PTPRD	TSG
PTPRS	TSG
RAB35	Oncogene
RAC2	Oncogene
RASA1	TSG
RBM15	Oncogene/TSG
RECQL	TSG
RHEB	Oncogene
RIT1	Oncogene
RPS6KA4	Oncogene
RPS6KB2	Oncogene
RRAGC	Oncogene
RRAS	Oncogene
RRAS2	Oncogene
RTEL1	TSG
RYBP	TSG
SESN1	TSG
SESN2	TSG
SESN3	TSG
SETDB1	Oncogene/TSG
SH2D1A	TSG
SHOC2	Oncogene
SHQ1	TSG
SLX4	TSG
SMARCE1	Oncogene/TSG
SMC1A	TSG
SMC3	TSG
SMYD3	Oncogene
SOS1	Oncogene
SOX17	TSG
SPRED1	TSG
SS18	Oncogene
STK19	Oncogene
TAL1	Oncogene
TCL1A	Oncogene
TFE3	Oncogene
TGFBR1	TSG
TLX1	Oncogene
TLX3	Oncogene
TP53BP1	TSG
TRAF3	TSG
TRAF5	TSG
TYK2	Oncogene
UBR5	Oncogene
USP8	Oncogene
XBP1	Oncogene
XIAP	Oncogene
YAP1	Oncogene
YES1	Oncogene
ACTG1	TSG
AGO1	Oncogene
APLNR	Oncogene/TSG
ARHGAP35	Oncogene/TSG
ARHGEF28	Oncogene
ARID3A	TSG
ARID3B	Oncogene
ARID4A	TSG
ARID4B	TSG
ATP6V1B2	TSG
ATXN2	TSG
ATXN7	Oncogene
BACH2	TSG
CD28	Oncogene
CMTR2	TSG
CRBN	TSG
CREB1	Oncogene
CTR9	TSG
CYP19A1	Oncogene
ECT2L	TSG
EGR1	TSG
EP400	TSG
EPOR	Oncogene
ESCO2	TSG
ETAA1	TSG
EZHIP	Oncogene
FOXF1	Oncogene/TSG
FURIN	Oncogene
GAB1	Oncogene
GAB2	Oncogene
GTF2I	Oncogene
H1-5	TSG
HLA-C	TSG
IL3	Oncogene
KLF5	Oncogene
KSR2	Oncogene
LTB	Oncogene/TSG
MAD2L2	Oncogene/TSG
MGAM	Oncogene
MOB3B	TSG
NADK	Oncogene
NFE2	Oncogene
NRG1	Oncogene
PAX8	Oncogene
PDS5B	TSG
PGBD5	Oncogene
PIGA	TSG
PPP2R2A	TSG
PRKACA	Oncogene
PTPN1	Oncogene/TSG
REST	TSG
ROBO1	TSG
SAMHD1	TSG
SCG5	Oncogene
SERPINB3	Oncogene/TSG
SETD1A	Oncogene
SETDB2	TSG
SLFN11	TSG
SMARCA2	TSG
SMG1	TSG
SOCS3	TSG
SP140	TSG
SPRTN	TSG
STAG1	TSG
TET3	TSG
TRA	Oncogene
TRB	Oncogene
TRD	Oncogene
TRG	Oncogene
TRIP13	Oncogene/TSG
VAV1	Oncogene
VAV2	Oncogene
WIF1	TSG
ZNRF3	TSG
AJUBA	TSG
CCNB3	Oncogene
DDX4	Oncogene
DDX41	TSG
KLF2	TSG
KLF3	TSG
LRP5	Oncogene/TSG
LRP6	Oncogene
MBD6	TSG
MEF2D	Oncogene
MIDEAS	TSG
SFRP1	TSG
SFRP2	Oncogene/TSG
TCL1B	Oncogene
YY1	Oncogene
ZBTB20	Oncogene/TSG
ZFP36L1	TSG
ZNF750	TSG
