Kids_First_Biospecimen_ID	sample_id	BRAF_V600E_mut	FGFR_mut	IDH_mut	H3.1_mut	H3.2_mut	H3.3_mut	MAPK_mut	RTK_mut	NF1_mut
BS_49JD1V3S	7316-1963	No	No	No	No	No	No	No	No	No
BS_4DTX295Z	7316-3345	No	No	Yes	No	No	No	No	No	No
BS_4M0ZMCDC	7316-400	No	No	No	No	No	No	No	No	No
BS_4P25NNZD	7316-1942	No	No	No	No	No	No	No	No	No
BS_4QFSH7C4	7316-399	No	No	No	No	No	No	No	No	No
BS_4RS1SC48	7316-101	No	No	No	No	No	No	No	No	No
BS_4ZKN0WGS	7316-1978	No	No	No	No	No	No	No	No	No
BS_50XV7CTQ	7316-436	No	No	No	No	No	No	No	No	No
BS_5BNV7MCF	7316-1648	No	No	No	No	No	No	No	No	No
BS_5NAKYS1S	7316-2589	No	No	No	No	No	No	No	No	No
BS_5R0HHQ1Y	7316-2583	Yes	No	No	No	No	No	No	No	No
BS_5TT6TT4K	7316-898	No	No	No	No	No	No	No	No	No
BS_5V2FBYQG	7316-1854	No	No	No	No	No	No	No	No	No
BS_5Y2Q63Y4	7316-1658	No	No	No	No	No	No	No	No	No
BS_5Z4XQC9X	7316-193	Yes	No	No	No	No	No	No	No	No
BS_6FV7BDE3	7316-1953	No	No	No	No	No	No	No	No	No
BS_6GTKRGNK	7316-3917	No	No	No	No	No	No	No	No	No
BS_6GV08HTE	7316-1711	No	No	No	No	No	No	No	No	No
BS_6Q9PMNWY	7316-206	No	No	No	No	No	No	No	No	No
BS_6X2BQQGE	7316-319	No	No	Yes	No	No	No	No	No	No
BS_6X3Z0AVR	7316-1643	No	No	No	No	No	No	No	No	No
BS_6XHDR1WS	7316-1652	No	No	No	No	No	No	No	No	No
BS_6XP91JM2	7316-175	No	No	No	No	No	No	No	No	No
BS_6Y7FX7QJ	7316-91	No	No	No	No	No	No	Yes	No	No
BS_78TQS4Y3	7316-2723	No	No	No	No	No	No	No	No	No
BS_797V83YM	7316-1108	Yes	No	No	No	No	No	No	No	No
BS_7HC4W4SA	7316-1086	No	No	Yes	No	No	No	No	No	No
BS_7M5272WN	7316-2689	No	No	No	No	No	No	No	No	No
BS_7M7JNG00	7316-2990	No	No	No	No	No	No	No	No	Yes
BS_895FJ34T	7316-1681	No	No	No	No	No	No	No	No	No
BS_89RCN9PF	7316-923	No	No	No	No	No	No	Yes	No	No
BS_8B1YF57H	7316-1866	Yes	No	No	No	No	No	No	No	No
BS_8EB1S8MK	7316-2006	No	No	No	No	No	No	No	No	No
BS_8S2CZBA6	7316-344	No	No	No	No	No	No	No	No	No
BS_8TFBNHT0	7316-2897	No	No	No	No	No	No	No	No	No
BS_8W0FNBWF	7316-437	No	No	No	No	No	No	No	No	No
BS_93B38HPS	7316-1636	Yes	No	No	No	No	No	No	No	No
BS_94AP61Q5	7316-321	No	No	No	No	No	No	Yes	No	No
BS_95RRF4NE	7316-361	Yes	No	No	No	No	No	No	No	No
BS_9E6Q11G2	7316-470	No	No	No	No	No	No	No	No	No
BS_9GSWPZ44	7316-393	No	No	No	No	No	No	No	No	No
BS_9HDPJT21	7316-1668	No	No	No	No	No	No	No	No	No
BS_9HEMB7RK	7316-230	No	No	Yes	No	No	No	Yes	No	No
BS_9M49SGAQ	7316-1952	No	No	No	No	No	No	No	No	No
BS_9NF39QAW	7316-1760	Yes	No	No	No	No	No	No	No	No
BS_9W6FK6X4	7316-2005	No	No	No	No	No	No	No	No	No
BS_ABENB1H2	7316-2197	No	No	No	No	No	No	No	No	No
BS_AEMRNSQX	7316-3566	No	No	No	No	No	No	No	No	No
BS_AGGH3QGS	7316-3751	No	No	No	No	No	No	No	No	No
BS_AJ0T7DJ7	7316-882	No	Yes	No	No	No	No	No	No	No
BS_AJAH8KG5	7316-177	Yes	No	No	No	No	No	No	No	No
BS_APAQ2X2S	7316-1851	No	No	No	No	No	No	No	No	No
BS_AR2BH0Z4	7316-452	Yes	No	No	No	No	No	No	No	No
BS_ARE4EM81	7316-1660	No	No	No	No	No	No	No	No	No
BS_AXM96K20	7316-2591	No	No	No	No	No	No	No	No	No
BS_AXW0XBH8	7316-359	No	No	No	No	No	No	No	No	No
BS_B558FJXC	7316-324	Yes	No	No	No	No	No	No	No	No
BS_B6K0N6HS	7316-2135	No	No	No	No	No	No	No	No	No
BS_B6KCJF2B	7316-1985	No	No	No	No	No	No	No	No	No
BS_B94G701Q	7316-1940	Yes	No	No	No	No	No	No	No	No
BS_BNFCXVYZ	7316-186	No	No	No	No	No	No	No	No	No
BS_BZWM455T	7316-3067	Yes	No	No	No	No	No	No	No	No
BS_C1RRDNF5	7316-2664	No	No	No	No	No	No	No	No	No
BS_C5RDMCCS	7316-1965	No	No	No	No	No	No	No	No	No
BS_C6GBYR17	7316-275	No	No	No	No	No	No	No	No	No
BS_CGCNC41M	7316-1659	Yes	No	No	No	No	No	No	No	No
BS_CP435MAC	7316-2324	No	No	No	No	No	No	No	No	No
BS_CPYV7AHD	7316-884	Yes	No	No	No	No	No	No	No	No
BS_CQ8C6X4X	7316-3575	No	No	No	No	No	No	No	No	No
BS_D09VWF8H	7316-184	No	No	No	No	No	No	No	No	No
BS_D2BZ25FW	7316-3169	No	No	No	No	No	No	No	No	No
BS_D59VEERR	7316-2691	No	No	No	No	No	No	No	No	No
BS_DC7XYYG8	7316-936	No	No	No	No	No	No	No	No	No
BS_DT92H1MJ	7316-397	No	No	No	No	No	No	No	No	No
BS_DW1CYEXP	7316-173	No	No	No	No	No	No	No	No	No
BS_E2RXQ3JW	7316-1779	No	No	No	No	No	No	No	No	No
BS_E5H6CFYT	7316-2255	No	No	No	Yes	No	No	No	No	No
BS_E7HEQZ1K	7316-350	Yes	No	No	No	No	No	No	No	No
BS_E9ATGWME	7316-2642	No	No	No	No	No	No	No	No	No
BS_E9M7TDB6	7316-3074	No	No	No	No	No	No	No	No	No
BS_EQE19CB0	7316-666	No	No	No	No	No	No	No	No	No
BS_ERMGD2N5	7316-2154	No	No	No	No	No	No	No	No	No
BS_ETTZM63Y	7316-2306	No	No	No	No	No	No	No	No	No
BS_F1B71HTZ	7316-460	No	No	No	No	No	No	No	No	No
BS_F48RA7QF	7316-3040	No	No	No	No	No	No	No	No	No
BS_F4D169Q7	7316-924	No	No	No	No	No	No	No	No	No
BS_F969DNHD	7316-32	Yes	No	No	No	No	No	No	No	No
BS_F9ZTZ4YS	7316-1977	No	No	No	No	No	No	No	No	No
BS_FFD25TTK	7316-2099	No	No	No	No	No	No	No	No	No
BS_FHE6Z73G	7316-3060	Yes	No	No	No	No	No	No	No	No
BS_FHFVCQ41	7316-1958	No	No	No	No	No	No	No	No	No
BS_FJEBFQHG	7316-2216	Yes	No	No	No	No	No	No	No	No
BS_FNF1TCSW	7316-373	No	No	No	No	No	No	No	No	No
BS_FQ2ZBMPA	7316-495	No	No	No	No	No	No	No	No	No
BS_G2016BE5	7316-2663	No	No	No	No	No	No	No	No	No
BS_G61CN2V0	7316-1783	Yes	No	No	No	No	No	No	No	No
BS_GAA327FP	7316-3491	No	No	No	No	No	No	No	No	No
BS_GCQEB05M	7316-3055	No	No	No	No	No	No	No	No	No
BS_GDPZN3SD	7316-332	No	No	No	No	No	No	No	No	No
BS_GFS9JEE6	7316-3065	No	No	No	No	No	No	No	No	No
BS_GKN0B47F	7316-475	No	No	No	No	No	No	No	No	No
BS_GRS3T427	7316-2988	No	No	No	No	No	No	No	Yes	No
BS_GS9JCK55	7316-2680	No	No	No	No	No	No	No	No	No
BS_GXACEYKB	7316-914	No	No	No	No	No	No	No	No	No
BS_H50HR85Y	7316-1845	No	No	No	No	No	No	No	No	No
BS_HTGDSPQA	7316-389	Yes	No	No	No	No	No	No	No	No
BS_HW4J7JM8	7316-77	No	Yes	No	No	No	No	No	No	No
BS_HW4MYBZ2	7316-84	No	No	No	No	No	No	No	No	No
BS_J037K4BM	7316-2193	No	No	No	No	No	No	No	No	No
BS_J5J0EA7Y	7316-1745	No	No	No	No	No	No	No	No	No
BS_J6VRW67C	7316-726	Yes	No	No	No	No	No	No	No	No
BS_JA3XXP1Y	7316-2147	No	No	No	No	No	No	No	No	No
BS_JBHQ6G3J	7316-1793	Yes	No	No	No	No	No	No	No	No
BS_JHGFJR3D	7316-136	Yes	No	No	No	No	No	No	No	No
BS_JJNSP29S	7316-2984	No	No	No	No	No	No	No	No	No
BS_JJWC13GG	7316-2174	No	No	No	No	No	No	No	No	No
BS_JJZPY3BG	7316-146	No	No	No	No	No	No	No	No	No
BS_JQNF0FQP	7316-120	No	No	No	No	No	No	No	No	No
BS_JSMAT49K	7316-642	No	Yes	No	No	No	No	No	No	No
BS_K049HVGR	7316-70	No	No	No	No	No	No	No	No	No
BS_K3YT05M7	7316-3054	No	No	No	No	No	No	No	No	No
BS_K6BMXTW5	7316-127	No	No	No	No	No	No	No	No	No
BS_KCN7NG92	7316-1767	No	No	No	No	No	No	No	No	Yes
BS_KG1YMTA4	7316-1664	No	No	No	No	No	No	No	No	No
BS_KH0NFCWF	7316-3068	No	No	No	No	No	No	No	No	No
BS_KKWQW01N	7316-2725	Yes	No	No	No	No	No	No	No	No
BS_KM878Y43	7316-152	No	No	No	No	No	No	No	No	No
BS_KT9H4B1N	7316-3150	Yes	No	No	No	No	No	No	No	No
BS_KVV3G6NP	7316-643	No	No	No	No	No	No	No	No	No
BS_KVYCH9PB	7316-2809	No	No	No	No	No	No	No	No	No
BS_KYG3H6C6	7316-2172	No	No	No	No	No	No	No	No	No
BS_KYPZRS4S	7316-2755	No	No	No	No	No	No	No	No	No
BS_M8EBKZDG	7316-1928	No	No	No	No	No	No	No	No	No
BS_MBYEK6HV	7316-3061	No	No	No	No	No	No	No	No	No
BS_ME97J1GA	7316-2744	No	No	No	No	No	No	No	No	No
BS_MJJZJMTK	7316-880	No	No	No	No	No	No	No	No	No
BS_MT5ZSRG4	7316-346	No	No	No	No	No	No	No	No	No
BS_MW6YMRBJ	7316-2245	No	No	No	No	No	No	No	No	No
BS_MWKJF6XH	7316-874	No	No	No	No	No	No	No	No	No
BS_MZB884N9	7316-2622	No	No	No	No	No	No	No	No	No
BS_MZJJRDZF	7316-3203	No	No	No	No	No	No	No	No	No
BS_N0Z6V2YG	7316-875	No	No	No	No	No	No	No	No	No
BS_N2JD3VX6	7316-1077	No	No	No	No	No	No	No	No	No
BS_N8D9FH6M	7316-1134	No	No	No	No	No	No	No	No	No
BS_N8WXTFN4	7316-2203	No	No	No	No	No	No	No	No	No
BS_N9N1X78X	7316-50	No	No	No	No	No	No	No	No	No
BS_NB509KST	7316-2571	Yes	No	No	No	No	No	No	No	No
BS_NCGGFG6H	7316-3923	Yes	No	No	No	No	No	No	No	No
BS_NEX92KQH	7316-148	No	No	No	No	No	No	No	No	No
BS_NG0CR0EP	7316-2228	Yes	No	No	No	No	No	No	No	Yes
BS_NHRNZRQV	7316-934	Yes	No	No	No	No	No	No	No	No
BS_NZRJE7QA	7316-1678	Yes	No	No	No	No	No	No	No	No
BS_P0KQFXNC	7316-3504	No	No	No	No	No	No	No	No	No
BS_P36C0ABE	7316-733	No	No	No	No	No	No	No	No	No
BS_P3EVK3C2	7316-362	No	No	No	No	No	No	No	No	No
BS_P3KD5EQG	7316-2566	No	No	No	No	No	No	No	No	No
BS_PC2YQ4F6	7316-938	No	No	No	No	No	No	No	No	No
BS_PEDGRK8S	7316-9	Yes	No	No	No	No	No	No	No	No
BS_PEFRDKDZ	7316-3139	No	No	No	No	No	No	No	No	No
BS_PMSZKZP7	7316-2195	No	No	No	No	No	No	No	No	No
BS_PP4WJBNR	7316-954	No	No	No	No	No	No	No	No	No
BS_PV130A29	7316-2305	No	No	No	No	No	No	No	No	No
BS_Q0XBZP88	7316-2167	No	No	No	No	No	No	Yes	No	No
BS_Q3ANJDVG	7316-896	No	No	No	No	No	No	No	No	No
BS_Q50P97Y0	7316-1805	No	No	No	No	No	No	No	No	No
BS_Q5XKTB1V	7316-516	No	No	No	No	No	No	No	No	No
BS_QA0W86WP	7316-1943	No	No	No	No	No	No	No	No	No
BS_QC5FNXGH	7316-499	Yes	No	No	No	No	No	No	No	No
BS_QD22MJJ5	7316-3570	No	No	No	No	No	No	No	No	No
BS_QDGHHS4S	7316-932	Yes	No	No	No	No	No	No	No	No
BS_QE5B0T7R	7316-1679	No	No	No	No	No	No	No	No	No
BS_QK61ST4T	7316-1090	No	No	No	No	No	No	No	No	No
BS_QM1Z8R38	7316-1926	No	No	No	No	No	No	No	No	No
BS_QMG7XNEW	7316-1635	Yes	No	No	No	No	No	No	No	No
BS_QXZTRMWM	7316-3627	Yes	No	No	No	No	No	No	No	No
BS_QYWGB52C	7316-3515	No	No	No	No	No	No	No	No	No
BS_QZTPJ8YW	7316-1646	No	No	No	No	No	No	No	No	No
BS_R726FKHP	7316-2632	No	No	No	No	No	No	No	No	No
BS_R913E3VB	7316-1949	No	No	No	No	No	No	No	No	No
BS_R94EDP5H	7316-502	No	No	No	No	No	No	No	No	No
BS_R9V82BC1	7316-3622	No	No	No	No	No	No	No	No	No
BS_RA0VCMWC	7316-917	No	No	No	No	No	No	No	No	No
BS_RB8VSEVG	7316-390	No	No	No	No	No	No	No	No	No
BS_RGSJMSRE	7316-2275	No	No	No	No	No	No	Yes	No	No
BS_RZNNEX1Y	7316-345	No	No	No	No	No	No	No	No	No
BS_S88G7BXH	7316-217	No	No	No	No	No	No	No	No	No
BS_SD28E0SC	7316-2075	Yes	No	No	No	No	No	No	No	No
BS_SDT1J3A7	7316-395	No	No	No	No	No	No	No	No	No
BS_SE82EQF8	7316-235	Yes	No	No	No	No	No	No	No	No
BS_SK949N33	7316-134	No	No	No	No	No	No	No	No	No
BS_SMCPASF0	7316-2572	No	No	No	No	No	No	No	No	No
BS_SYGKQD8M	7316-156	No	No	No	No	No	No	No	No	No
BS_T5T21G7N	7316-944	Yes	No	No	No	No	No	No	No	No
BS_T97EP8H0	7316-297	No	No	No	No	No	No	No	No	No
BS_THH0CE5A	7316-2184	No	No	No	No	No	No	No	No	No
BS_TZPJHKQR	7316-267	Yes	No	No	No	No	No	No	No	No
BS_V3ZNXRHK	7316-2575	Yes	No	No	No	No	No	No	No	No
BS_VA07453Z	7316-741	No	Yes	No	No	No	No	No	No	No
BS_VDSR4X6N	7316-2300	No	No	No	No	No	No	No	No	No
BS_VPJ9CARN	7316-2291	No	No	No	No	No	No	No	No	No
BS_VQC2PE2B	7316-1226	No	No	No	No	No	No	No	No	No
BS_VW96PFKQ	7316-20	No	No	No	No	No	No	No	No	No
BS_VXNT1TDB	7316-946	No	No	No	No	No	No	No	No	No
BS_W9FW1PAE	7316-2667	No	Yes	No	No	No	No	No	No	No
BS_W9P0PFDH	7316-677	No	No	No	No	No	No	No	No	No
BS_WB8P21ED	7316-957	No	No	No	No	No	No	No	No	No
BS_WD7AQV83	7316-1957	No	No	No	No	No	No	No	No	No
BS_WDTT7PG2	7316-2753	No	No	No	No	No	No	No	Yes	No
BS_WJ7GMQTF	7316-3572	No	No	No	No	No	No	No	No	No
BS_WQ19Z6MD	7316-207	No	No	No	No	No	No	No	No	No
BS_WRJNMEX2	7316-162	No	No	No	No	No	No	No	No	No
BS_WSFB4SA2	7316-97	No	No	No	No	No	No	No	No	No
BS_WXKCR17Q	7316-168	No	No	No	No	No	No	No	No	No
BS_X9PJ715R	7316-1794	No	No	No	No	No	No	No	No	No
BS_XBBBE8V2	7316-3556	No	No	No	No	No	No	No	No	No
BS_XHAQXDR0	7316-368	No	No	No	No	No	No	No	No	No
BS_XKE77TR4	7316-1071	No	No	No	No	No	No	No	No	No
BS_XKP747AS	7316-891	No	No	No	No	No	No	No	No	No
BS_XM302FF4	7316-2628	Yes	No	No	No	No	No	No	No	No
BS_XSWF2MR1	7316-119	No	No	No	No	No	No	No	No	No
BS_XVBX7ZK1	7316-1683	No	No	No	No	No	No	No	No	No
BS_XVYRXN8J	7316-2669	No	No	No	No	No	No	No	No	No
BS_XW26N96W	7316-2901	No	No	No	No	No	No	No	No	No
BS_Y2C78JC4	7316-3076	No	No	No	No	No	No	No	No	No
BS_Y3ETG5AE	7316-658	No	No	No	No	No	No	No	No	Yes
BS_Y43VC4VG	7316-1710	No	No	No	No	No	No	No	No	No
BS_Y4ZX0YX7	7316-482	No	No	No	No	No	No	No	No	No
BS_YEWX69X4	7316-1084	Yes	No	No	No	No	No	No	No	No
BS_YGQS4660	7316-442	No	No	No	No	No	No	No	No	No
BS_YH4DYNQ2	7316-264	No	Yes	No	No	No	No	No	No	No
BS_YMDPFK0V	7316-1803	No	No	No	No	No	No	No	No	No
BS_YXCVR90M	7316-459	No	No	No	No	No	No	No	No	No
BS_YZ2YNEJJ	7316-1095	No	No	No	No	No	No	No	No	No
BS_Z4Q8RH5M	7316-121	No	No	No	No	No	No	No	No	No
BS_Z7R92XX6	7316-3762	No	No	No	No	No	No	No	No	No
BS_Z9PKZ4RT	7316-2310	Yes	No	No	No	No	No	No	No	No
BS_ZAH4FHV2	7316-1972	No	Yes	No	No	No	No	No	No	Yes
BS_ZJZFT0AJ	7316-2962	No	No	No	No	No	No	No	No	No
BS_ZKFEMJZ8	7316-2760	No	No	No	No	No	No	No	No	No
BS_ZKZACPVV	7316-476	No	No	No	No	No	No	No	No	No
BS_ZP89F1JY	7316-370	No	No	No	No	No	No	No	No	No
