LGAT,Source,Embryonal tumor,Source,HGAT,Source,Ependymal tumor,Source,Other,Source
FGFR3,RYALL 2020,FOXO3,LAMBO 2020,MET,MACKAY 2017,,,NF2,BI 2017
MAP2K1,RYALL 2020,IGFN1,LAMBO 2020,IGF1R,MACKAY 2017,,,SMARCB1,BI 2017
ALK,RYALL 2020,BCOR,LAMBO 2020,BRAF,MACKAY 2017,,,AKT1,BI 2017
ROS1,RYALL 2020,TTYH1,LAMBO 2020,IDH1,MACKAY 2017,,,AKT3,BI 2017
QKI,RYALL 2020,MIR17HG,LAMBO 2020,MYCN,MACKAY 2017,,,PIK3CA,BI 2017
KRAS,RYALL 2020,LIN28A,LAMBO 2020,CDK4,MACKAY 2017,,,SMP,BI 2017
TP53,RYALL 2020,CTNNB1,NORTHCOTT 2017,ID2,MACKAY 2017,,,SUFU,BI 2017
ATRX,RYALL 2020,APC,NORTHCOTT 2017,MYC,MACKAY 2017,,,POLRA2,BI 2017
CDKN2A,RYALL 2020,CSNK2B,NORTHCOTT 2017,TOP3A,MACKAY 2017,,,BAP1,BI 2017
,,PTCH1,NORTHCOTT 2017,CDK6,MACKAY 2017,,,TERT,BI 2017
,,SUFU,NORTHCOTT 2017,ASXL1,MACKAY 2017,,,KLF4,YOUNGBLOOD 2019
,,SMO,NORTHCOTT 2017,KRAS,MACKAY 2017,,,TP53,YOUNGBLOOD 2019
,,KMT2D,NORTHCOTT 2017,MDM2,MACKAY 2017,,,LYST,YOUNGBLOOD 2019
,,SMARCA4,NORTHCOTT 2017,TERT,MACKAY 2017,,,CDKN2A,YOUNGBLOOD 2019
,,PRDM6,NORTHCOTT 2017,MAFK,MACKAY 2017,,,PIK3CA,YOUNGBLOOD 2019
,,KMT2C,NORTHCOTT 2017,PDGFA,MACKAY 2017,,,PTEN,YOUNGBLOOD 2019
,,KDM6A,NORTHCOTT 2017,PIK3C2B,MACKAY 2017,,,PIK3R1,YOUNGBLOOD 2019
,,CREBBP,NORTHCOTT 2017,PLAGL2,MACKAY 2017,,,PBRM1,YOUNGBLOOD 2019
,,ZMYM3,NORTHCOTT 2017,GAB2,MACKAY 2017,,,SETD2,YOUNGBLOOD 2019
,,GSE1,NORTHCOTT 2017,AURKB,MACKAY 2017,,,ARID1A,YOUNGBLOOD 2019
,,BCOR,NORTHCOTT 2017,NFIB,MACKAY 2017,,,TERT,YOUNGBLOOD 2019
,,ARID1A,NORTHCOTT 2017,PIK3C2G,MACKAY 2017,,,SMAD4,YOUNGBLOOD 2019
,,MED12,NORTHCOTT 2017,AKT1,MACKAY 2017,,,SDHA,YOUNGBLOOD 2019
,,ARID1A,NORTHCOTT 2017,CCND1,MACKAY 2017,,,DDB2,YOUNGBLOOD 2019
,,GFIB,NORTHCOTT 2017,ID3,MACKAY 2017,,,PRPRD,YOUNGBLOOD 2019
,,MYCN,NORTHCOTT 2017,APOBEC3H,MACKAY 2017,,,CDC27,YOUNGBLOOD 2019
,,MYCN,NORTHCOTT 2017,AKT2,MACKAY 2017,,,ARHGAP26,YOUNGBLOOD 2019
,,OTX2,NORTHCOTT 2017,GOLPH3,MACKAY 2017,,,ERBB4,YOUNGBLOOD 2019
,,TCF4,NORTHCOTT 2017,FGFR2,MACKAY 2017,,,BLM,YOUNGBLOOD 2019
,,ZIC1,NORTHCOTT 2017,BCOR,MACKAY 2017,,,USP9X,YOUNGBLOOD 2019
,,GFI1,NORTHCOTT 2017,CDKN1B,MACKAY 2017,,,TERT,THOMAS 2020
,,TBR1,NORTHCOTT 2017,CDKN1C,MACKAY 2017,,,PRKCA,THOMAS 2020
,,TERT,NORTHCOTT 2017,RB1,MACKAY 2017,,,TP53,THOMAS 2020
,,TP53,NORTHCOTT 2017,SMARCE1,MACKAY 2017,,,CCDC47,THOMAS 2020
,,BRCA2,NORTHCOTT 2017,CDKN2C,MACKAY 2017,,,BRAF,KROOKS 2018
,,ATM,NORTHCOTT 2017,CIC,MACKAY 2017,,,,
,,PTEN,NORTHCOTT 2017,DIS3L2P1,MACKAY 2017,,,,
,,PIK3CA,NORTHCOTT 2017,CDKN2B,MACKAY 2017,,,,
,,PRKAR1A,NORTHCOTT 2017,SETD2,MACKAY 2017,,,,
,,BAI3,NORTHCOTT 2017,KDM6B,MACKAY 2017,,,,
,,EPHA7,NORTHCOTT 2017,NTRK1,MACKAY 2017,,,,
,,KBTBD4,NORTHCOTT 2017,NTRK2,MACKAY 2017,,,,
,,CTDNEP1,NORTHCOTT 2017,NTRK3,MACKAY 2017,,,,
,,DDX3X,NORTHCOTT 2017,HIST1H3C,MACKAY 2017,,,,
,,SYNCRIP,NORTHCOTT 2017,HIST2H3C,MACKAY 2017,,,,
,,IDH1,NORTHCOTT 2017,DDX11,MUELLER 2019,,,,
,,CDK6,NORTHCOTT 2017,TSC2,MUELLER 2019,,,,
,,SNCAIP,NORTHCOTT 2017,DDR2,MUELLER 2019,,,,
,,FOXR2,LASTOWSKA 2020,TOP2A,MUELLER 2019,,,,
,,BCOR,LASTOWSKA 2020,FOSB,MUELLER 2019,,,,
,,BEND2,LASTOWSKA 2020,VEGFA,MUELLER 2019,,,,
,,MN1,LASTOWSKA 2020,NRAS,PNOC003 MANUSCRIPT 2021,,,,
,,SMARCB1,,MTOR,PNOC003 MANUSCRIPT 2021,,,,
,,SMARCA4,,PTPN11,PNOC003 MANUSCRIPT 2021,,,,
,,,,FANCA,PNOC003 MANUSCRIPT 2021,,,,
,,,,SLCO1B3,PNOC003 MANUSCRIPT 2021,,,,
,,,,PDGFC,PNOC003 MANUSCRIPT 2021,,,,
,,,,YES1,PNOC003 MANUSCRIPT 2021,,,,
,,,,FYN,PNOC003 MANUSCRIPT 2021,,,,
,,,,POLE,PNOC003 MANUSCRIPT 2021,,,,
,,,,HIST1H2BE,PNOC003 MANUSCRIPT 2021,,,,
,,,,KMT2C,PNOC003 MANUSCRIPT 2021,,,,
,,,,TDRD9,PNOC003 MANUSCRIPT 2021,,,,
