Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
SAMD1	0	0	0	0	78	1	0	0	0	79	73	73
C2orf16	1	1	0	0	83	2	0	0	0	87	72	72
F5	0	0	0	0	87	0	0	0	0	87	72	72
ZNF708	0	0	0	0	76	6	0	0	0	82	72	72
ATPAF1	0	0	0	0	72	0	0	0	2	74	72	72
IVL	0	0	0	0	75	0	0	0	0	75	69	69
PRB4	0	0	0	0	77	1	0	0	0	78	67	67
ACAN	0	0	0	0	76	0	0	0	0	76	67	67
DEAF1	0	0	1	0	66	0	0	0	0	67	65	65
BDP1	0	0	0	1	76	0	0	0	0	77	64	64
FAM120B	0	0	0	0	76	0	0	0	0	76	64	64
CDHR5	0	0	0	0	66	1	0	0	0	67	63	63
TUBGCP6	0	0	0	0	66	0	0	0	0	66	62	62
MUC21	0	0	0	0	65	0	0	0	0	65	62	62
NPAS3	0	0	0	0	63	0	0	0	0	63	62	62
KMT2D	3	3	1	0	75	3	0	2	0	87	61	61
ZNF208	0	0	0	0	71	1	3	0	0	75	61	61
ZNF343	0	0	0	0	64	3	0	0	0	67	61	61
SAP30	0	0	0	0	63	0	0	0	0	63	61	61
BRAF	0	0	0	8	55	0	0	0	0	63	60	60
ISM2	0	0	0	0	69	0	0	0	0	69	59	59
KMT2A	0	0	1	0	76	2	0	0	1	80	58	58
HLA-A	28	1	0	0	47	1	0	0	0	77	58	58
PLIN4	1	1	0	0	66	0	0	0	0	68	58	58
ZNF729	0	0	0	0	61	10	0	0	0	71	57	57
PRSS3	5	3	0	0	54	1	0	0	0	63	56	56
ZNF93	0	2	0	0	56	4	4	0	0	66	55	55
POTEG	0	3	0	0	60	0	0	0	0	63	55	55
MUC5B	1	1	3	0	87	1	0	0	0	93	54	54
ZNF696	0	0	0	0	68	0	0	0	0	68	54	54
ZNF91	3	0	0	0	55	5	0	0	0	63	53	53
GOLGA6L2	0	0	3	6	50	1	0	0	0	60	53	53
NACAD	0	0	0	0	60	0	0	0	0	60	53	53
ZNF461	0	0	0	0	58	0	0	0	0	58	53	53
CAST	0	0	0	0	57	0	0	1	0	58	52	52
GOLGA6L7	0	0	0	0	52	5	0	0	0	57	52	52
NR0B1	0	0	0	0	42	12	0	0	0	54	52	52
ZNF681	0	0	0	0	48	8	0	0	0	56	51	51
MTX1	0	0	0	0	51	0	0	0	0	51	51	51
PPM1E	1	0	5	0	45	0	0	0	0	51	50	50
SLC9B1	1	0	5	0	52	27	0	0	0	85	49	49
SLC10A4	0	0	0	0	49	0	0	0	0	49	49	49
SUSD2	0	0	0	0	63	0	0	0	0	63	48	48
ATRX	11	3	2	0	24	14	0	3	0	57	48	48
ZNF865	0	0	0	0	56	0	0	1	0	57	48	48
MUC3A	0	0	0	0	54	2	0	0	0	56	48	48
FLG	0	0	0	0	61	1	0	0	0	62	47	47
ARID1B	0	2	11	1	39	1	0	0	0	54	47	47
CITED4	0	0	0	0	50	0	0	0	0	50	47	47
MT-ND5	4	0	0	0	40	3	0	0	0	47	47	47
SLC25A5	0	0	0	0	65	0	0	0	0	65	46	46
HYAL3	0	0	0	0	41	5	0	0	0	46	46	46
NIPA1	0	0	0	0	1	0	0	0	45	46	46	46
ZNF680	0	0	0	0	43	17	0	0	0	60	45	45
ZNF732	0	0	0	0	51	6	0	0	0	57	45	45
ZNF761	0	0	0	0	56	0	0	0	0	56	45	45
ADAMTS2	1	0	2	0	48	0	0	1	0	52	45	45
MED16	50	16	1	0	5	0	0	1	0	73	44	44
NF1	17	4	1	0	13	20	0	4	0	59	44	44
SRRM3	0	0	0	1	48	0	0	1	0	50	44	44
ZNF845	0	0	0	0	49	1	0	0	0	50	44	44
PRG4	0	0	0	0	47	2	0	0	0	49	44	44
ZNF99	0	0	0	0	43	4	0	0	0	47	44	44
ZNF544	0	0	0	0	42	7	0	0	0	49	43	43
SLC35G5	0	0	0	0	52	0	0	0	0	52	42	42
SHANK1	0	0	1	0	45	3	0	0	0	49	42	42
TGOLN2	0	0	0	0	48	0	0	0	0	48	42	42
ZNF626	0	0	0	0	48	0	0	0	0	48	42	42
MAGEE1	0	0	1	0	43	2	0	0	0	46	42	42
QRICH2	0	0	0	0	46	0	0	0	0	46	42	42
ZNF678	0	0	0	0	45	1	0	0	0	46	42	42
NRBP2	0	0	0	0	44	0	0	0	0	44	42	42
CRNN	0	0	0	0	43	0	0	0	0	43	42	42
TIGD5	0	0	0	0	43	0	0	0	0	43	42	42
SLC35E2A	0	0	0	0	42	0	0	0	0	42	42	42
ZNF717	0	4	2	0	46	5	1	0	0	58	41	41
TAS2R43	3	2	0	0	47	2	0	0	0	54	41	41
MEGF8	0	1	0	0	48	0	0	0	0	49	41	41
ZNF697	0	0	0	0	48	0	0	0	0	48	41	41
GCNA	0	0	0	0	43	0	0	0	0	43	41	41
KLF13	0	0	0	0	47	0	0	0	0	47	40	40
MYO15B	0	0	1	0	42	0	0	0	0	43	40	40
ZNF493	0	0	0	0	46	1	0	0	0	47	39	39
ZNF430	0	0	0	0	44	0	0	0	0	44	39	39
ZNF71	1	0	0	0	42	1	0	0	0	44	39	39
ZNF737	0	0	0	0	41	0	0	0	0	41	39	39
MUC7	0	0	0	0	40	0	0	0	0	40	39	39
KMT2C	2	4	0	0	42	5	0	0	0	53	38	38
DACH1	0	0	3	1	38	0	0	0	0	42	38	38
SLC12A4	0	0	0	1	6	0	0	0	34	41	38	38
TPRX1	0	0	0	0	40	0	0	0	0	40	38	38
SAA2	0	0	0	0	55	0	0	0	0	55	37	37
MUC12	0	0	0	0	47	0	0	0	0	47	37	37
SPEG	0	0	0	0	45	0	0	1	0	46	37	37
CNTNAP3	3	0	0	0	37	0	0	0	0	40	37	37
LARGE2	1	0	1	0	36	0	0	1	0	39	37	37
CTNNB1	0	0	0	0	37	0	0	0	0	37	37	37
OBSCN	0	0	1	0	65	3	0	1	0	70	36	36
MAP3K1	0	0	2	0	40	0	0	0	0	42	36	36
MADCAM1	0	0	0	0	39	0	0	0	0	39	36	36
CSF2RA	0	0	0	0	38	0	0	0	0	38	36	36
LRP3	0	0	0	0	15	0	0	0	23	38	36	36
UBC	0	0	2	0	36	0	0	0	0	38	36	36
CCNB3	0	0	0	0	37	0	0	0	0	37	36	36
GOLGA6L6	0	1	5	0	30	1	0	0	0	37	36	36
RBMXL1	2	0	0	0	40	2	0	0	0	44	35	35
TCOF1	0	0	3	0	35	3	0	0	0	41	35	35
ZNF283	0	0	0	0	27	11	0	0	0	38	35	35
KRTAP10-6	0	1	0	0	36	0	0	0	0	37	35	35
GPR6	0	0	0	0	35	0	0	0	0	35	35	35
PPM1D	5	12	0	0	4	14	0	0	0	35	35	35
CASKIN1	0	0	3	0	31	0	0	0	13	47	34	34
FCGBP	2	0	0	7	37	1	0	0	0	47	34	34
LILRA1	0	0	0	0	43	0	0	0	0	43	34	34
SVIL	0	0	0	0	43	0	0	0	0	43	34	34
C9orf85	0	0	0	0	39	0	0	1	0	40	34	34
SOGA3	0	0	0	0	39	0	0	0	0	39	34	34
MUC22	0	0	0	0	37	0	0	0	0	37	34	34
SRRM5	0	0	0	0	36	1	0	0	0	37	34	34
MFHAS1	0	0	0	0	36	0	0	0	0	36	34	34
ZNF100	0	0	0	0	36	0	0	0	0	36	34	34
ZNF347	0	0	0	0	35	1	0	0	0	36	34	34
ZNF709	0	0	0	0	36	0	0	0	0	36	34	34
MT-CYB	0	0	0	0	32	3	0	0	0	35	34	34
PPP1R35	0	0	0	0	33	1	0	0	0	34	34	34
ZFP36L2	0	0	3	0	31	0	0	0	0	34	34	34
ZNF728	0	0	0	0	33	1	0	0	0	34	34	34
HLA-C	0	0	0	0	48	0	0	0	0	48	33	33
AEBP1	0	0	0	0	11	0	0	4	28	43	33	33
PHLPP1	0	0	12	0	29	1	0	0	0	42	33	33
TNRC18	0	1	5	0	35	0	0	1	0	42	33	33
ADPRHL1	0	0	0	0	37	1	0	0	0	38	33	33
CYP4F2	0	0	0	0	38	0	0	0	0	38	33	33
UMODL1	0	0	0	0	35	1	0	0	0	36	33	33
NPIPB11	0	0	2	0	33	0	0	0	0	35	33	33
PAN3	0	0	0	0	35	0	0	0	0	35	33	33
ARGLU1	0	0	0	0	34	0	0	0	0	34	33	33
GAS1	0	0	0	0	5	0	0	0	29	34	33	33
GTPBP6	0	0	0	0	33	0	0	0	0	33	33	33
OLIG1	2	0	2	0	29	0	0	0	0	33	33	33
ZNF675	0	0	0	0	33	4	0	0	0	37	32	32
KCNC3	0	0	0	0	36	0	0	0	0	36	32	32
PDCD7	0	0	0	1	33	2	0	0	0	36	32	32
SNED1	0	0	0	0	30	6	0	0	0	36	32	32
PIK3CA	0	0	5	0	30	0	0	0	0	35	32	32
SRF	0	0	0	0	34	0	0	0	0	34	32	32
HOXD9	0	0	0	0	33	0	0	0	0	33	32	32
SIX3	0	0	0	0	32	1	0	0	0	33	32	32
ENPP1	0	1	0	0	31	0	0	0	0	32	32	32
PTGDR2	0	0	1	0	31	0	0	0	0	32	32	32
ZNF716	2	0	0	0	13	17	0	0	0	32	32	32
ZNF814	3	0	1	0	28	0	0	0	0	32	32	32
NCOR2	0	1	0	2	35	1	0	3	0	42	31	31
KMT2B	4	0	0	0	33	0	0	3	0	40	31	31
SLC9A3	0	0	0	0	21	0	0	1	17	39	31	31
MEX3D	0	0	3	0	32	0	0	0	0	35	31	31
VGF	0	0	0	0	32	3	0	0	0	35	31	31
FOXG1	0	0	0	0	33	0	0	0	0	33	31	31
RYR1	0	0	2	0	52	2	0	0	0	56	30	30
PABPC1	1	0	0	0	38	7	0	2	0	48	30	30
TAS2R19	0	0	0	0	45	0	0	0	0	45	30	30
DGKZ	0	0	0	0	36	0	0	0	1	37	30	30
DSPP	0	0	9	0	24	0	0	0	0	33	30	30
ZNF534	0	2	0	0	30	1	0	0	0	33	30	30
ZNF724	1	0	0	0	30	2	0	0	0	33	30	30
MUC1	0	0	0	0	31	0	0	0	0	31	30	30
H1FX	0	0	0	0	29	0	0	0	1	30	30	30
SMARCA5	0	0	0	0	30	0	0	0	0	30	30	30
LILRB3	0	0	0	0	44	2	0	0	0	46	29	29
TUBB8P12	0	0	0	0	40	0	0	0	0	40	29	29
HRNR	0	0	0	0	34	3	0	0	1	38	29	29
ZNF775	0	0	0	0	35	1	0	0	0	36	29	29
PRR36	0	0	0	0	34	1	0	0	0	35	29	29
TAS2R31	0	0	0	0	33	1	0	0	0	34	29	29
ZNF92	0	1	0	0	31	2	0	0	0	34	29	29
RHPN2	4	5	0	0	22	1	0	0	0	32	29	29
ZNF700	0	0	0	0	32	0	0	0	0	32	29	29
FOXB2	0	0	1	0	29	0	0	0	0	30	29	29
RUVBL1	0	0	0	0	29	1	0	0	0	30	29	29
KRTAP16-1	0	0	0	0	29	0	0	0	0	29	29	29
PLEC	0	1	0	0	76	2	0	0	0	79	28	28
ADAMTS7	0	9	0	0	37	2	0	0	0	48	28	28
TAS2R46	0	0	0	0	39	1	0	0	0	40	28	28
SPATA31E1	2	0	0	0	30	0	0	0	0	32	28	28
ZNF66	0	0	0	0	31	1	0	0	0	32	28	28
DYRK1B	0	0	0	0	7	0	0	24	0	31	28	28
MAZ	0	1	0	0	29	0	1	0	0	31	28	28
CDK13	0	1	0	0	28	1	0	0	0	30	28	28
ZNF117	0	0	0	0	27	3	0	0	0	30	28	28
ERFE	0	0	0	0	29	0	0	0	0	29	28	28
MARCH11	0	0	0	0	21	1	0	0	7	29	28	28
PRX	0	0	1	0	27	0	0	0	0	28	28	28
ZNF676	0	0	0	0	28	0	0	0	0	28	28	28
PKD1	1	0	0	0	47	0	0	0	0	48	27	27
SCRIB	0	0	0	0	39	0	0	0	0	39	27	27
FIGN	18	13	0	0	6	0	0	0	0	37	27	27
GSE1	0	4	3	0	25	0	0	0	1	33	27	27
MAST4	0	0	0	0	31	1	0	0	1	33	27	27
PROB1	0	0	0	0	30	1	0	0	0	31	27	27
ZNF586	0	0	0	0	31	0	0	0	0	31	27	27
TRIM24	0	0	0	0	24	0	0	1	5	30	27	27
MT-ND4	2	0	0	0	23	4	0	0	0	29	27	27
BPTF	0	0	5	0	23	0	0	0	0	28	27	27
FMNL1	0	0	1	0	27	0	0	0	0	28	27	27
ZNF442	0	0	0	0	22	6	0	0	0	28	27	27
PRSS12	0	0	0	0	27	0	0	0	0	27	27	27
PABPC3	0	0	0	0	35	0	0	0	0	35	26	26
SEMA6B	0	0	0	0	31	0	0	1	0	32	26	26
UNCX	0	0	1	0	29	0	0	0	0	30	26	26
RBM15B	0	0	0	0	27	2	0	0	0	29	26	26
ADGRB1	0	0	4	0	23	0	0	0	1	28	26	26
ANO8	0	0	0	0	28	0	0	0	0	28	26	26
CCDC8	0	0	0	0	28	0	0	0	0	28	26	26
PIK3R1	0	0	1	1	21	2	0	3	0	28	26	26
CHST14	0	0	0	0	27	0	0	0	0	27	26	26
DRD4	0	0	0	0	19	0	0	0	8	27	26	26
FMN2	0	0	0	0	27	0	0	0	0	27	26	26
ZNF431	0	0	0	0	27	0	0	0	0	27	26	26
DUSP9	0	0	0	0	26	0	0	0	0	26	26	26
KRTAP4-2	0	0	0	0	26	0	0	0	0	26	26	26
SOCS2	0	0	0	0	25	0	0	0	1	26	26	26
C5orf60	15	19	0	0	6	0	0	0	0	40	25	25
MAP1B	1	0	0	0	29	0	0	0	0	30	25	25
OBSL1	1	1	0	0	26	0	0	0	0	28	25	25
RBMX	0	18	0	0	10	0	0	0	0	28	25	25
ZNF837	0	0	0	0	27	0	0	0	0	27	25	25
DNAAF1	0	0	0	0	18	8	0	0	0	26	25	25
FOXQ1	0	0	0	0	26	0	0	0	0	26	25	25
GATA6	0	0	6	0	20	0	0	0	0	26	25	25
ZNF57	0	0	0	0	26	0	0	0	0	26	25	25
CYS1	0	0	0	0	4	0	0	2	19	25	25	25
FAM207A	0	0	0	0	23	0	0	0	2	25	25	25
GAL3ST2	0	0	2	0	23	0	0	0	0	25	25	25
NANOS1	0	0	2	0	23	0	0	0	0	25	25	25
SMURF2	0	0	0	0	23	0	0	2	0	25	25	25
ZNF705A	0	0	0	0	25	0	0	0	0	25	25	25
MYCBP2	1	0	0	0	24	0	0	11	0	36	24	24
CACNA1E	1	0	0	0	34	0	0	0	0	35	24	24
EPPK1	0	0	2	5	22	4	0	0	0	33	24	24
ADARB2	0	0	0	0	32	0	0	0	0	32	24	24
COL22A1	0	0	0	0	30	0	0	0	0	30	24	24
ZNF808	0	0	0	0	29	0	0	0	0	29	24	24
SCARF2	0	0	0	0	8	0	0	0	19	27	24	24
SOX4	0	0	2	0	25	0	0	0	0	27	24	24
TBXA2R	0	0	0	0	27	0	0	0	0	27	24	24
CCDC71L	0	0	0	0	26	0	0	0	0	26	24	24
STRN3	0	0	0	0	18	0	0	0	8	26	24	24
ZNF3	0	0	0	0	25	1	0	0	0	26	24	24
CABP1	0	0	1	0	22	2	0	0	0	25	24	24
IRF2BP2	0	0	0	0	25	0	0	0	0	25	24	24
KRTAP5-3	0	0	0	0	24	1	0	0	0	25	24	24
MT-ND2	1	1	0	0	21	2	0	0	0	25	24	24
EGLN1	0	0	0	0	20	0	0	0	4	24	24	24
FOXF2	0	0	10	0	14	0	0	0	0	24	24	24
KRTAP10-4	0	0	0	0	23	1	0	0	0	24	24	24
MT-ND1	1	1	1	0	16	5	0	0	0	24	24	24
LRP1	0	0	0	0	27	3	0	18	0	48	23	23
CACNA1A	0	0	1	0	38	3	0	0	0	42	23	23
SSPO	2	0	0	0	34	1	0	1	0	38	23	23
PRSS2	0	1	0	0	25	0	0	7	0	33	23	23
IGF2R	0	0	0	0	26	1	0	1	1	29	23	23
ECEL1	0	0	0	0	27	0	0	0	0	27	23	23
PRAMEF19	0	0	0	0	27	0	0	0	0	27	23	23
LILRB4	0	0	0	0	26	0	0	0	0	26	23	23
IRX1	0	0	0	0	24	0	0	0	1	25	23	23
NELFB	0	0	0	0	24	0	0	0	0	24	23	23
NR4A3	0	0	0	0	23	1	0	0	0	24	23	23
AL136295.3	0	0	0	0	23	0	0	0	0	23	23	23
KRTAP10-11	0	0	0	0	23	0	0	0	0	23	23	23
BSN	0	0	0	0	33	3	0	0	1	37	22	22
FGFR1	1	4	1	2	26	0	0	0	0	34	22	22
AATK	0	0	0	0	33	0	0	0	0	33	22	22
ZNF517	0	0	0	0	31	0	0	1	0	32	22	22
ZNF749	0	0	0	0	29	0	0	0	0	29	22	22
IGHV4-61	0	0	0	0	28	0	0	0	0	28	22	22
SLC4A3	1	1	0	0	21	0	0	0	5	28	22	22
NF2	9	2	1	0	4	6	0	4	0	26	22	22
MYT1	0	2	7	0	16	0	0	0	0	25	22	22
HS6ST1	0	0	0	0	24	0	0	0	0	24	22	22
ZIC2	0	0	7	1	16	0	0	0	0	24	22	22
ZNF25	0	0	0	0	24	0	0	0	0	24	22	22
CPEB2	0	0	2	1	19	1	0	0	0	23	22	22
NAGPA	4	0	0	0	19	0	0	0	0	23	22	22
NEURL1	0	0	0	0	23	0	0	0	0	23	22	22
REEP2	0	0	0	0	6	0	0	0	17	23	22	22
TRBV7-4	0	0	0	0	23	0	0	0	0	23	22	22
ZNF169	0	0	0	0	22	1	0	0	0	23	22	22
ZNF765	0	0	0	0	23	0	0	0	0	23	22	22
FUT4	0	0	0	0	22	0	0	0	0	22	22	22
KRT10	0	0	16	2	4	0	0	0	0	22	22	22
MEX3B	0	0	1	0	21	0	0	0	0	22	22	22
PNMA6E	0	0	0	0	22	0	0	0	0	22	22	22
POU4F1	0	0	11	0	11	0	0	0	0	22	22	22
PRRT1B	0	0	0	0	16	0	0	1	5	22	22	22
ZNF721	0	0	0	0	22	0	0	0	0	22	22	22
RYR2	0	2	0	0	35	4	0	2	0	43	21	21
COL5A1	0	0	4	0	14	1	0	14	2	35	21	21
ARID1A	2	1	3	0	22	2	0	1	0	31	21	21
KIAA1522	0	0	0	0	28	0	0	0	2	30	21	21
IGFBP7	0	0	0	0	26	0	0	0	0	26	21	21
MUC20	0	0	0	0	26	0	0	0	0	26	21	21
SRCIN1	0	0	0	0	25	0	0	0	1	26	21	21
ZNF629	0	0	0	0	26	0	0	0	0	26	21	21
MAP6	0	0	0	0	25	0	0	0	0	25	21	21
DACT3	0	1	0	0	23	0	0	0	0	24	21	21
DMRTB1	0	0	0	1	23	0	0	0	0	24	21	21
GPR158	0	0	0	0	24	0	0	0	0	24	21	21
LILRA2	0	0	0	0	23	1	0	0	0	24	21	21
ZNF723	0	0	0	0	19	5	0	0	0	24	21	21
B3GNT7	0	0	0	0	5	0	0	0	18	23	21	21
COL8A2	0	2	0	0	21	0	0	0	0	23	21	21
FAM47A	0	0	0	0	23	0	0	0	0	23	21	21
SEC24B	0	0	0	0	20	0	0	1	2	23	21	21
XKR6	0	0	0	0	23	0	0	0	0	23	21	21
CLIC6	0	0	0	0	22	0	0	0	0	22	21	21
ZNF777	0	0	0	0	22	0	0	0	0	22	21	21
APOLD1	0	0	0	0	21	0	0	0	0	21	21	21
C6orf141	0	0	0	0	21	0	0	0	0	21	21	21
FSCB	0	0	0	0	21	0	0	0	0	21	21	21
ZNF429	0	0	0	0	20	1	0	0	0	21	21	21
TRBV5-5	0	0	0	0	33	5	0	0	0	38	20	20
ABCA13	2	3	0	1	27	0	0	0	0	33	20	20
LAMA5	3	0	0	0	28	1	0	0	0	32	20	20
ANKRD36C	0	1	0	0	29	0	0	1	0	31	20	20
KIF26A	1	0	0	0	29	0	0	0	0	30	20	20
PCNT	0	0	0	0	28	2	0	0	0	30	20	20
NBPF3	0	0	0	0	29	0	0	0	0	29	20	20
HLA-DRB1	3	4	0	0	20	0	0	0	0	27	20	20
GRIN2D	1	0	0	0	23	0	0	0	1	25	20	20
KIF26B	1	0	0	0	24	0	0	0	0	25	20	20
KIR3DL1	0	2	0	0	17	6	0	0	0	25	20	20
PTCH1	7	4	1	0	8	1	0	1	3	25	20	20
FRMPD3	0	0	10	0	12	2	0	0	0	24	20	20
DDX51	0	0	1	0	21	0	0	0	0	22	20	20
SCRT1	0	0	0	0	22	0	0	0	0	22	20	20
SIAH2	0	0	1	0	21	0	0	0	0	22	20	20
SOX10	5	1	0	0	10	6	0	0	0	22	20	20
ATAD3B	0	0	0	0	21	0	0	0	0	21	20	20
ATP11B	2	0	0	0	3	0	0	1	15	21	20	20
PRB1	0	0	1	0	18	0	0	2	0	21	20	20
RBM25	14	0	1	0	5	0	0	1	0	21	20	20
SEMG2	0	0	0	0	21	0	0	0	0	21	20	20
ZNF791	0	0	0	0	14	7	0	0	0	21	20	20
CERK	0	0	0	0	4	0	0	8	8	20	20	20
CXXC4	0	0	1	0	19	0	0	0	0	20	20	20
MEGF9	0	0	0	0	20	0	0	0	0	20	20	20
PRR18	0	0	0	0	20	0	0	0	0	20	20	20
TROAP	0	0	0	0	20	0	0	0	0	20	20	20
WASHC1	0	0	0	5	15	0	0	0	0	20	20	20
ZNF282	0	0	0	0	20	0	0	0	0	20	20	20
ZNF595	0	0	0	0	15	5	0	0	0	20	20	20
CCDC168	1	1	0	0	26	3	0	0	0	31	19	19
OR2T4	0	0	0	0	30	0	0	0	0	30	19	19
CACNA1B	0	1	1	0	24	1	0	0	1	28	19	19
PCLO	1	0	0	0	24	2	0	0	0	27	19	19
MDN1	0	0	0	0	26	0	0	0	0	26	19	19
PLXNA1	0	0	0	0	23	2	0	0	0	25	19	19
ZC3H4	0	0	0	0	24	0	0	1	0	25	19	19
CAMSAP3	0	0	0	0	16	1	0	0	7	24	19	19
GLI3	1	1	0	0	22	0	0	0	0	24	19	19
HLA-DQA2	0	0	0	0	24	0	0	0	0	24	19	19
SYT7	0	0	0	0	22	0	0	2	0	24	19	19
ZNF665	0	0	0	0	24	0	0	0	0	24	19	19
ZNF878	0	0	0	0	15	7	0	0	0	22	19	19
BCOR	10	2	0	0	4	3	0	2	0	21	19	19
CKAP4	0	0	4	0	17	0	0	0	0	21	19	19
IGLV3-25	0	0	0	0	21	0	0	0	0	21	19	19
RUBCN	0	0	0	0	20	0	0	0	1	21	19	19
SCRT2	0	0	0	0	21	0	0	0	0	21	19	19
SP5	0	0	0	0	21	0	0	0	0	21	19	19
VWA5B2	0	0	0	0	20	0	0	1	0	21	19	19
ADAMTS8	0	0	0	0	20	0	0	0	0	20	19	19
ADRA1B	0	0	0	0	20	0	0	0	0	20	19	19
C11orf95	0	0	6	0	14	0	0	0	0	20	19	19
KIAA1211L	1	0	0	0	18	1	0	0	0	20	19	19
MT-CO1	2	2	1	0	15	0	0	0	0	20	19	19
SELPLG	0	0	0	0	20	0	0	0	0	20	19	19
ZNF253	0	0	0	0	19	1	0	0	0	20	19	19
ZNF28	0	0	0	0	20	0	0	0	0	20	19	19
ZNF543	0	0	0	0	20	0	0	0	0	20	19	19
C6orf132	0	0	0	0	19	0	0	0	0	19	19	19
CRYBG2	0	0	1	0	18	0	0	0	0	19	19	19
KRTAP4-7	0	0	0	0	19	0	0	0	0	19	19	19
MLLT1	0	0	0	0	19	0	0	0	0	19	19	19
RPL10	0	0	0	0	19	0	0	0	0	19	19	19
SPRED3	0	0	14	0	4	1	0	0	0	19	19	19
TERT	0	0	0	0	19	0	0	0	0	19	19	19
ZNF107	0	0	0	0	18	1	0	0	0	19	19	19
ITPR3	0	0	2	3	29	2	0	0	0	36	18	18
WNK2	1	0	0	0	33	0	0	0	0	34	18	18
ATM	5	0	0	0	24	1	0	1	0	31	18	18
CASZ1	1	0	0	0	29	0	0	0	0	30	18	18
DNHD1	0	0	5	0	19	2	0	1	0	27	18	18
TTBK1	0	0	2	0	24	1	0	0	0	27	18	18
ZNF469	0	1	0	0	25	1	0	0	0	27	18	18
CHD3	0	1	10	0	15	0	0	0	0	26	18	18
MAGEL2	0	0	0	0	24	2	0	0	0	26	18	18
SON	0	2	1	0	22	0	0	0	0	25	18	18
ZFHX3	0	1	4	2	18	0	0	0	0	25	18	18
ARHGAP23	0	0	0	0	22	0	0	1	1	24	18	18
MAP1A	1	0	0	0	20	3	0	0	0	24	18	18
CUX2	0	0	0	0	23	0	0	0	0	23	18	18
PRAMEF1	0	0	0	0	21	2	0	0	0	23	18	18
KIR3DL3	0	0	0	0	22	0	0	0	0	22	18	18
SHANK3	0	0	0	0	18	0	0	4	0	22	18	18
OR2T33	0	3	1	0	17	0	0	0	0	21	18	18
DDX54	0	0	1	0	7	0	0	0	12	20	18	18
MIB1	0	0	0	0	11	0	0	0	9	20	18	18
NPIPB2	0	0	0	2	18	0	0	0	0	20	18	18
ZNF337	0	0	0	0	18	2	0	0	0	20	18	18
ARTN	0	0	0	0	16	0	0	3	0	19	18	18
CKB	0	0	0	0	6	0	0	13	0	19	18	18
FSCN2	0	0	0	0	19	0	0	0	0	19	18	18
GLYAT	0	0	0	0	19	0	0	0	0	19	18	18
LRP5	0	0	5	0	7	0	0	5	2	19	18	18
POTEF	0	0	0	0	19	0	0	0	0	19	18	18
ZNF530	0	0	0	0	19	0	0	0	0	19	18	18
ACVR1	0	1	0	0	17	0	0	0	0	18	18	18
CABLES1	0	0	0	0	11	0	0	0	7	18	18	18
