module	author
molecular-subtyping-pathology	Joshua Shapiro
molecular-subtyping-pathology	Jo Lynne Rokita
molecular-subtyping-pathology	Krutika Gaonkar
mutational-signatures	Candace Savonen
mutational-signatures	Jaclyn Taroni
mutational-signatures	Joshua Shapiro
mutational-signatures	Jo Lynne Rokita
mutational-signatures	Stephanie J. Spielman
mutational-signatures	Yuankun Zhu
oncoprint-landscape	Candace Savonen
oncoprint-landscape	Chante Bethell
oncoprint-landscape	Jaclyn Taroni
oncoprint-landscape	Joshua Shapiro
oncoprint-landscape	Jo Lynne Rokita
oncoprint-landscape	Krutika Gaonkar
oncoprint-landscape	Run Jin
oncoprint-landscape	Stephanie J. Spielman
oncoprint-landscape	Yuankun Zhu
run-gistic	Jaclyn Taroni
run-gistic	Krutika Gaonkar
run-gistic	Run Jin
snv-callers	Candace Savonen
snv-callers	Jaclyn Taroni
snv-callers	Joshua Shapiro
snv-callers	Krutika Gaonkar
snv-callers	Stephanie J. Spielman
snv-callers	Yuankun Zhu
survival-analysis	Candace Savonen
survival-analysis	Jaclyn Taroni
survival-analysis	Joshua Shapiro
survival-analysis	Jo Lynne Rokita
survival-analysis	Krutika Gaonkar
survival-analysis	Run Jin
survival-analysis	Stephanie J. Spielman
telomerase-activity-prediction	Bailey Farrow
telomerase-activity-prediction	Candace Savonen
telomerase-activity-prediction	Joshua Shapiro
telomerase-activity-prediction	Komal Rathi
telomerase-activity-prediction	Nighat Noureen
telomerase-activity-prediction	Stephanie J. Spielman
tmb-compare	Candace Savonen
tmb-compare	Stephanie J. Spielman
tp53_nf1_score	Candace Savonen
tp53_nf1_score	Jaclyn Taroni
tp53_nf1_score	Joshua Shapiro
tp53_nf1_score	Jo Lynne Rokita
tp53_nf1_score	Komal Rathi
tp53_nf1_score	Krutika Gaonkar
tp53_nf1_score	Stephanie J. Spielman
transcriptomic-dimension-reduction	Candace Savonen
transcriptomic-dimension-reduction	Chante Bethell
transcriptomic-dimension-reduction	Jaclyn Taroni
transcriptomic-dimension-reduction	Krutika Gaonkar
transcriptomic-dimension-reduction	Yuankun Zhu
