Kids_First_Biospecimen_ID	count_regions_any_conf	count_regions_high_conf	count_regions_low_conf	any_regions	any_regions_logical
BS_XNTQBZAJ	0	0	0	No Calls	FALSE
BS_C19DFVR5	0	0	0	No Calls	FALSE
BS_P8WN8XEQ	2	2	0	High Confidence	TRUE
BS_NJV6A585	0	0	0	No Calls	FALSE
BS_ZECKZTFC	0	0	0	No Calls	FALSE
BS_SNC5WMVN	0	0	0	No Calls	FALSE
BS_Z7R92XX6	0	0	0	No Calls	FALSE
BS_2J4FG4HV	3	1	2	High Confidence	TRUE
BS_FYJMNRGK	0	0	0	No Calls	FALSE
BS_AGGH3QGS	0	0	0	No Calls	FALSE
BS_0XR7GYAV	0	0	0	No Calls	FALSE
BS_8EB1S8MK	0	0	0	No Calls	FALSE
BS_WD37M8SD	0	0	0	No Calls	FALSE
BS_1EQGGHHQ	0	0	0	No Calls	FALSE
BS_R5G3QP11	1	1	0	High Confidence	TRUE
BS_FQ2ZBMPA	0	0	0	No Calls	FALSE
BS_NXZSD2KK	0	0	0	No Calls	FALSE
BS_XBBBE8V2	0	0	0	No Calls	FALSE
BS_0J5GC803	0	0	0	No Calls	FALSE
BS_SMCPASF0	0	0	0	No Calls	FALSE
BS_6SA5B35V	0	0	0	No Calls	FALSE
BS_MDVMT75X	0	0	0	No Calls	FALSE
BS_042DVDQM	0	0	0	No Calls	FALSE
BS_AYPBAHJ6	0	0	0	No Calls	FALSE
BS_FKQ7F6D1	1	1	0	High Confidence	TRUE
BS_M4E4H6NG	1	0	1	Low Confidence	TRUE
BS_GS9JCK55	0	0	0	No Calls	FALSE
BS_06GPPDHZ	0	0	0	No Calls	FALSE
BS_3BMGF6GN	1	0	1	Low Confidence	TRUE
BS_KFRBXXV7	0	0	0	No Calls	FALSE
BS_A70G7S2W	0	0	0	No Calls	FALSE
BS_YVFFHJ1Q	0	0	0	No Calls	FALSE
BS_3C4YAMKJ	0	0	0	No Calls	FALSE
BS_PC2YQ4F6	0	0	0	No Calls	FALSE
BS_XVBX7ZK1	0	0	0	No Calls	FALSE
BS_3QDRWJCF	0	0	0	No Calls	FALSE
BS_Y3ETG5AE	0	0	0	No Calls	FALSE
BS_C3KDA5ZC	0	0	0	No Calls	FALSE
BS_PV130A29	0	0	0	No Calls	FALSE
BS_9R82A3VT	0	0	0	No Calls	FALSE
BS_JSNJZERZ	0	0	0	No Calls	FALSE
BS_XCNGQ25H	0	0	0	No Calls	FALSE
BS_NHRNZRQV	0	0	0	No Calls	FALSE
BS_R8ZKDFWH	0	0	0	No Calls	FALSE
BS_FG649AWK	0	0	0	No Calls	FALSE
BS_59FR1NC2	0	0	0	No Calls	FALSE
BS_MW6YMRBJ	0	0	0	No Calls	FALSE
BS_W2QCHQ7E	2	0	2	Low Confidence	TRUE
BS_6ZP2KRPW	1	1	0	High Confidence	TRUE
BS_WPCBK1EG	1	0	1	Low Confidence	TRUE
BS_MGY2V5N4	0	0	0	No Calls	FALSE
BS_FNF1TCSW	0	0	0	No Calls	FALSE
BS_ZZJF26C4	0	0	0	No Calls	FALSE
BS_VF099E8S	3	2	1	High Confidence	TRUE
BS_J33YVP27	0	0	0	No Calls	FALSE
BS_245CTSH9	0	0	0	No Calls	FALSE
BS_T5HPW4Z0	0	0	0	No Calls	FALSE
BS_7F07M7JG	0	0	0	No Calls	FALSE
BS_GRS3T427	0	0	0	No Calls	FALSE
BS_BR1X3R68	0	0	0	No Calls	FALSE
BS_MT5ZSRG4	0	0	0	No Calls	FALSE
BS_PEFRDKDZ	0	0	0	No Calls	FALSE
BS_P6NWC51S	0	0	0	No Calls	FALSE
BS_2RJN5Z4W	0	0	0	No Calls	FALSE
BS_6T87HSPX	1	1	0	High Confidence	TRUE
BS_CPZZR2R7	0	0	0	No Calls	FALSE
BS_AGD2ATY1	0	0	0	No Calls	FALSE
BS_78TQS4Y3	0	0	0	No Calls	FALSE
BS_2E81A3FT	0	0	0	No Calls	FALSE
