frontal_lobe	parietal_lobe	temporal_lobe	spinal_cord	ventricles	cerebellum	occipital_lobe	suprasellar_hypothalamic_pituitary	skull	brain_stem_midbrain	thalamus	brain_stem_medulla	spine	pons	pineal_gland	meninges	basal_ganglia	optic_pathway	hippocampus	cranial_nerves
Dysplasia;Gliosis;Glial-neuronal tumor NOS	Gliomatosis Cerebri	Dysembryoplastic neuroepithelial tumor (DNET);Ganglioglioma	High-grade glioma;astrocytoma (WHO grade III/IV)	CNS embryonal tumor	Dysplasia;Gliosis	Ewings Sarcoma	Supratentorial or Spinal Cord PNET	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Embryonal tumor with multilayer rosettes NOS	Medulloblastoma	Embryonal tumor with multilayer rosettes NOS	Low-grade glioma;astrocytoma (WHO grade I/II)	Craniopharyngioma	Ependymoblastoma	Supratentorial or Spinal Cord PNET	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gliomatosis Cerebri	Metastatic secondary tumors	Ewings Sarcoma	Metastatic secondary tumors	Ganglioglioma	Ganglioglioma;Low-grade glioma/astrocytoma (WHO grade I/II)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Malignant melanocytic neoplasm	Myxoid spindle cell tumor	Glial-neuronal tumor NOS	Osteoblastoma	Glial-neuronal tumor NOS	Glial-neuronal tumor NOS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Medulloblastoma	Neurocytoma	Gliomatosis Cerebri	Supratentorial or Spinal Cord PNET	Meningioangiomatosis	Meningioma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Meningioangiomatosis	NeuroInflammatory systemic disease	Medulloblastoma	Teratoma	Myofibroblastoma	Myofibroblastoma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Metastatic secondary tumors	Non-Langerhans Histiocytosis;JXG	Meningioangiomatosis	Ganglioglioma	Non-germinomatous germ cell tumor;Teratoma	Pineoblastoma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Myofibroblastoma	Rosai-Dorfman Disease	Metastatic secondary tumors	Meningioma	Supratentorial or Spinal Cord PNET	Supratentorial or Spinal Cord PNET	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neuroblastoma	Sarcoma	NeuroInflammatory systemic disease	Neuroblastoma	Medulloepithelioma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oligodendroglioma	Supratentorial or Spinal Cord PNET	Non-Langerhans Histiocytosis;JXG	NA	Teratoma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Reactive Gliosis	Cavernoma	Oligodendroglioma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dysembryoplastic neuroepithelial tumor (DNET);Dysplasia/Gliosis;Ganglioglioma	Ewings Sarcoma	Primary CNS lymphoma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Glial-neuronal tumor NOS	Glial-neuronal tumor NOS	Teratoma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Papillary glioneuronal tumor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
