harmonized_diagnosis	count	percent
Juvenile xanthogranuloma	2	0.2%
Low-grade glioma/astrocytoma, MYB/MYBL1	2	0.2%
Low-grade glioma/astrocytoma, NF1-somatic	2	0.2%
Neuroblastoma	2	0.2%
Oligodendroglioma	2	0.2%
Rhabdomyosarcoma	2	0.2%
Anaplastic (malignant) meningioma	1	0.1%
Arteriovenous malformation	1	0.1%
Benign tumor, atypical lymphoid infiltrate	1	0.1%
Benign tumor, cortical tubers	1	0.1%
Benign tumor, dermoid inclusion cyst	1	0.1%
Benign tumor, epidermoid cyst	1	0.1%
Benign tumor, fibroma	1	0.1%
Benign tumor, hamartoma	1	0.1%
Benign tumor, inclusion cyst	1	0.1%
Benign tumor, ossifying fibroma	1	0.1%
Benign tumor, perineuroma	1	0.1%
Benign tumor, prolactinoma	1	0.1%
Benign tumor, rathke cleft cyst	1	0.1%
Choroid plexus cyst	1	0.1%
Clear cell meningioma	1	0.1%
CNS Burkitt's lymphoma	1	0.1%
CNS Embryonal tumor, HGNET-MN1	1	0.1%
Desmoplastic infantile astrocytoma and ganglioglioma, BRAF V600E	1	0.1%
Desmoplastic infantile astrocytoma and ganglioglioma, RTK	1	0.1%
Diffuse fibrillary astrocytoma	1	0.1%
Diffuse leptomeningeal glioneuronal tumor,  KIAA1549-BRAF	1	0.1%
Dysembryoplastic neuroepithelial tumor (DNET);Dysplasia/Gliosis;Ganglioglioma	1	0.1%
Dysembryoplastic neuroepithelial tumor (DNET);Ganglioglioma	1	0.1%
Dysplasia/Gliosis;Glial-neuronal tumor NOS	1	0.1%
Embryonal tumor with multilayer rosettes, NOS	1	0.1%
Ependymoma, H3 K28-mutant	1	0.1%
Epilepsy, chronic rasmussen encephalitis	1	0.1%
Fibromyxoid lesion	1	0.1%
Ganglioglioma, BRAF V600E, CDKN2A/B	1	0.1%
Ganglioglioma, FGFR	1	0.1%
Ganglioglioma, H3	1	0.1%
Ganglioglioma, IDH	1	0.1%
Ganglioglioma, MYB/MYBL1	1	0.1%
Ganglioglioma, NF1-germline	1	0.1%
Ganglioglioma, NF1-somatic, BRAF V600E	1	0.1%
Ganglioglioma, other MAPK, IDH	1	0.1%
Ganglioneuroma	1	0.1%
Germinoma;Teratoma	1	0.1%
Glial-neuronal tumor NOS,  KIAA1549-BRAF	1	0.1%
Glial-neuronal tumor NOS,  other MAPK	1	0.1%
Low-grade glioma/astrocytoma, KIAA1549-BRAF, other MAPK	1	0.1%
Low-grade glioma/astrocytoma, NF1-germline, CDKN2A/B	1	0.1%
Low-grade glioma/astrocytoma, NF1-germline, FGFR	1	0.1%
Low-grade glioma/astrocytoma, NF1-somatic, FGFR	1	0.1%
Low-grade glioma/astrocytoma, NF1-somatic, NF1-germline, CDKN2A/B	1	0.1%
Low-grade glioma/astrocytoma, RTK, CDKN2A/B	1	0.1%
Melanocytic tumor	1	0.1%
Meningothelial meningioma	1	0.1%
Myofibroblastoma	1	0.1%
Myxoid spindle cell tumor	1	0.1%
Neurofibroma/Plexiform;Other	1	0.1%
Non-germinomatous germ cell tumor;Teratoma	1	0.1%
Pleomorphic xanthoastrocytoma	1	0.1%
Pleomorphic xanthoastrocytoma, BRAF V600E	1	0.1%
Reactive connective tissue	1	0.1%
Rosai-Dorfman disease	1	0.1%
Rosette-forming glioneuronal tumor,  other MAPK, FGFR	1	0.1%
Subependymal Giant Cell Astrocytoma	1	0.1%
