frontal.lobe	parietal.lobe	temporal.lobe	spinal.cord	ventricles	cerebellum	occipital.lobe	suprasellar.hypothalamic.pituitary	skull	brain.stem	thalamus	spine	pons	pineal.gland	meninges	basal.ganglia	optic.pathway	hippocampus	cranial.nerves
Cavernoma	Dysembryoplastic neuroepithelial tumor	Sarcoma	Chondrosarcoma	Brainstem glioma;Diffuse intrinsic pontine glioma	Choroid plexus papilloma	Myxoid spindle cell tumor	Schwannoma	Primary CNS lymphoma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Choroid plexus carcinoma	Dysplasia;Gliosis	Gliomatosis Cerebri	Chordoma	Choroid plexus carcinoma	Cyst	Reactive Gliosis	Prolactinoma	Supratentorial or Spinal Cord PNET	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cortical Tubers	Embryonal tumor with multilayer rosettes NOS	Choroid plexus carcinoma	Cyst	Choroid plexus cyst	Dysplasia;Gliosis	Ewings Sarcoma	Supratentorial or Spinal Cord PNET	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dysembryoplastic neuroepithelial tumor (DNET);Dysplasia/Gliosis;Ganglioglioma	Ganglioneuroblastoma	Choroid plexus papilloma	Ewings Sarcoma	CNS embryonal tumor	Ependymoblastoma	Oligodendroglioma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dysplasia;Gliosis;Glial-neuronal tumor NOS	Gliosarcoma	Dysembryoplastic neuroepithelial tumor (DNET);Ganglioglioma	High-grade glioma;astrocytoma (WHO grade III/IV)	Craniopharyngioma	Ganglioglioma;Low-grade glioma/astrocytoma (WHO grade I/II)	Supratentorial or Spinal Cord PNET	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Embryonal tumor with multilayer rosettes NOS	Medulloblastoma	Embryonal tumor with multilayer rosettes NOS	Low-grade glioma;astrocytoma (WHO grade I/II)	Ganglioglioma	Glial-neuronal tumor NOS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gliomatosis Cerebri	Metastatic secondary tumors	Ewings Sarcoma	Meningioma	Glial-neuronal tumor NOS	Meningioma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gliosarcoma	Myxoid spindle cell tumor	Glial-neuronal tumor NOS	Metastatic secondary tumors	Medulloepithelioma	Myofibroblastoma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Malignant melanocytic neoplasm	Neurocytoma	Medulloblastoma	Neuroblastoma	Meningioangiomatosis	Pineoblastoma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Medulloblastoma	NeuroInflammatory systemic disease	Meningioangiomatosis	Osteoblastoma	Myofibroblastoma	Supratentorial or Spinal Cord PNET	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Meningioangiomatosis	Non-Langerhans Histiocytosis;JXG	NeuroInflammatory systemic disease	Teratoma	Non-germinomatous germ cell tumor;Teratoma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Myofibroblastoma	Rosai-Dorfman Disease	Non-Langerhans Histiocytosis;JXG	Ganglioglioma	Teratoma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Neuroblastoma	Sarcoma	Oligodendroglioma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oligodendroglioma	Supratentorial or Spinal Cord PNET	Primary CNS lymphoma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Reactive Gliosis	Ewings Sarcoma	Teratoma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Glial-neuronal tumor NOS	Glial-neuronal tumor NOS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Papillary glioneuronal tumor	Oligodendroglioma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
